horse_id	生年月日	調教師	馬主	生産者	産地	セリ取引価格	獲得賞金	通算成績
2013104801	2013-03-25	雑賀正光	井上基之	フジワラファーム	新ひだか町	-	0	0-0-0-8
2013100271	2013-06-13	大江原哲	坂本肇	佐々木康治	日高町	-	0	0-0-0-2
2013110087	2013-04-14	宮徹	ノルマンディーサラブレッドレーシング	Buck Pond Farm Inc	米	-	500000	0-0-0-8
2013103810	2013-04-01	高市圭二	ミルファーム	ミルファーム	浦河町	-	770000	1-4-0-23
2013103476	2013-04-10	小林俊彦	欠畑圭一	駿河牧場	浦河町	5720000	19010040000	8-6-11-39
2013104625	2013-04-08	田中剛	穐吉正孝	西村和夫	新ひだか町	-	10400000	1-1-0-15
2013100405	2013-04-10	岩元市三	ライオンレースホース	ＳｈａｌｌＦａｒｍ	日高町	-	400000	2-0-0-21
2013102482	2013-04-18	清水英克	井村誉志雄	平野牧場	新ひだか町	5400000	0	0-0-0-6
2013103657	2013-04-03	小林俊彦	前田敏文	日進牧場	浦河町	-	6520000	15-16-12-52
2013100140	2013-03-18	松島寿	竹原孝昭	大西ステイブル	日高町	1720000	3280000	8-11-12-74
2013100962	2013-03-17	佐々木仁	（有）トニー企画	増尾牧場	日高町	-	501140000	1-0-1-8
2013101133	2013-04-17	碇清次郎	羽地律雄	中川隆	平取町	10800000	7506030000	8-11-14-63
2013105472	2013-03-30	加用正	吉田照哉	社台ファーム	千歳市	-	1110000	4-2-3-26
2013105345	2013-04-16	萩原清	里見治	社台ファーム	千歳市	44280000	3102770000	1-3-2-13
2013102452	2013-05-18	谷口常信	大野春男	沼田照秋	新ひだか町	3240000	1170000	6-6-4-35
2013101495	2013-02-08	小島太	藤田達男	佐藤牧場	新冠町	-	0	0-0-0-4
2013105859	2013-01-29	千葉幸喜	根田喜久雄	ノーザンファーム	安平町	-	6353940000	3-4-6-39
2013100004	2013-03-29	長谷川忍	新田光代	アイズスタッド	日高町	-	5640000	7-5-3-8
2013103005	2013-03-07	大竹正博	湘南	大北牧場	浦河町	-	2300000	0-0-1-4
2013101167	2013-03-30	清水久詞	鈴木邦英	坂東牧場	平取町	-	650000	1-5-4-12
2013103242	2013-02-26	岩元市三	林進	浦河日成牧場	浦河町	-	3300000	0-1-1-6
2013102549	2013-04-27	黒岩陽一	菊地祐司	水上習孝	新ひだか町	33480000	21850000	1-3-4-24
2013106299	2013-03-18		竹田和博	三嶋牧場	浦河町	-	3090000	4-12-4-39
2013110097	2013-02-17	加藤征弘	吉田和子	Doug Branham & Felicia Branham	米	-	47640000	3-3-4-9
2013100129	2013-04-16	本間忍	島川隆哉	エスティファーム	日高町	-	755800000	2-1-0-20
2013101912	2013-03-10	土田稔	ビッグレッドファーム	ビッグレッドファーム	新冠町	-	1840100000	1-3-2-28
2013101402	2013-03-16	加藤幸保	浅川吉男	協和牧場	新冠町	-	230000	1-0-0-8
2013104980	2013-03-07	国沢利照	五影慶則	チャンピオンズファーム	新ひだか町	-	10052710000	4-6-2-33
2013104788	2013-03-09	池添兼雄	フォーレスト	フジワラファーム	新ひだか町	-	2425790000	8-2-4-13
2013103821	2013-04-10	梅田智之	松本好雄	本巣敦	浦河町	-	0	0-0-0-1
2013104621	2013-03-24	二ノ宮敬	長谷川芳信	西川富岡牧場	新ひだか町	-	7370000	1-0-0-3
2013105332	2013-02-18	工藤真司	橘勝年	社台コーポレーション白老ファーム	白老町	-	34652040000	3-4-9-36
2013105096	2013-04-25	天間昭一	西村新一郎	高田良一	むかわ町	1620000	130540000	0-1-1-9
2013104106	2013-05-30	雑賀伸一	（有）キヨタケ牧場	キヨタケ牧場	新ひだか町	-	3410000	7-6-5-36
2013104869	2013-05-31	杉山晴紀	ヒダカ・ブリーダーズ・ユニオン	松田牧場	新ひだか町	-	10508400000	4-1-1-12
2013101396	2013-04-14	冨田敏男	冨田藤男	協和牧場	新冠町	-	6304610000	2-1-3-20
2013105977	2013-02-24	田中守	酒井孝敏	ノーザンファーム	安平町	-	36258430000	11-2-9-38
2013103755	2013-05-09	荒川義之	松本好雄	三嶋牧場	浦河町	-	3190000	4-1-12-5
2013105365	2013-05-12	水野貴広	大澤繁昌	社台ファーム	千歳市	14040000	20200000	2-2-2-21
2013100568	2013-03-27	伊藤圭三	ゴドルフィン	ダーレー・ジャパン・ファーム	日高町	-	753510000	2-0-1-36
2013102492	2013-04-27	平和人	酒井孝敏	藤巻則弘	新ひだか町	4210000	1598380000	1-6-3-28
2013105508	2013-02-11	山崎裕也	浅沼廣幸	社台ファーム	千歳市	2160000	6429890000	4-5-3-13
2013109146	2013-03-08		柏木務	柏木務	鹿児島県	-	1510000	2-3-3-34
2013101169	2013-05-24	久保田貴	坂東牧場	坂東牧場	平取町	-	67650000	4-3-5-20
2013105880	2013-03-17	角居勝彦	金子真人ホールディングス	ノーザンファーム	安平町	52920000	275120000	6-1-1-5
2013103311	2013-03-28	萱野浩二	浅川皓司	帰山清貴	浦河町	6040000	250620000	3-1-2-10
2013100551	2013-04-13	武市康男	国本哲秀	田端牧場	日高町	-	0	0-0-0-5
2013103196	2013-03-06	牧光二	高嶋祐子	吉田ファーム	浦河町	-	1860000	5-4-4-18
2013105745	2013-03-07	田村康仁	社台レースホース	社台ファーム	千歳市	-	80190000	5-5-4-15
2013105109	2013-03-20	村山明	高山ランド	トーア牧場	豊浦町	-	31530000	2-3-1-52
2013104953	2013-03-20	伊藤大士	前原敏行	チャンピオンズファーム	新ひだか町	48300000	3702860000	3-3-0-11
2013105733	2013-02-22	斉藤崇史	堀祥子	社台ファーム	千歳市	-	0	0-0-0-4
2013100832	2013-03-19	八木正喜	田中準市	日高大洋牧場	日高町	-	1303200000	4-2-1-9
2013106243	2013-04-14	石毛善彦	小林章	市川ファーム	浦河町	-	1410000	3-5-1-16
2013103595	2013-04-27	柏原誠路	竹森幹雄	辻牧場	浦河町	-	2790000	5-5-5-56
2013105791	2013-03-16	吉田直弘	金子真人ホールディングス	ノーザンファーム	安平町	-	23650000	2-2-1-17
2013102058	2013-04-14	川島豊	和田勉	ムラカミファーム	新冠町	12600000	10302280000	1-4-3-15
2013102354	2013-04-17	服部利之	金田成基	城地清満	新ひだか町	-	4330000	12-6-0-36
2013101763	2013-02-26	中尾秀正	万波健二	新冠橋本牧場	新冠町	-	54920000	4-1-3-27
2013103273	2013-02-18	今野貞一	栄進堂	栄進牧場	浦河町	-	280970000	3-6-3-22
2013104045	2013-02-22	笹野博司	廣瀬由一	岡田牧場	新ひだか町	-	36617430000	5-4-6-32
2013101838	2013-03-02	松元茂樹	前田幸治	ノースヒルズ	新冠町	-	12300000	1-3-0-9
2013100038	2013-03-24	田中剛	加藤誠	新井昭二	日高町	5400000	1800000	0-0-1-2
2013110067	2013-02-01	渡辺薫	大野照旺	Boolteenagh Bloodstock	米	-	10057920000	3-9-5-25
2013106148	2013-04-26	工藤真司	（株）ボンズ	ノーザンファーム	安平町	-	136651170000	6-7-3-20
2013101435	2013-03-20	菅原泰夫	ビッグレッドファーム	コスモヴューファーム	新冠町	-	390000	1-1-2-32
2013105816	2013-03-06	木村哲也	キャロットファーム	ノーザンファーム	安平町	-	92160000	5-5-2-4
2013103324	2013-04-05	田中克典	広尾レース	カナイシスタッド	浦河町	-	180752300000	6-8-8-31
2013105046	2013-04-20	奥村武	国本哲秀	上水牧場	むかわ町	6690000	0	0-0-0-3
2013103344	2013-03-30	細川忠義	門脇ゆり	川越ファーム	浦河町	-	5006640000	8-14-3-53
2013105028	2013-05-02	武藤善則	小林照弘	市川牧場	むかわ町	3780000	41711590000	3-1-3-33
2013103183	2013-04-21	浅野洋一	田頭勇貴	山田牧場	浦河町	1080000	660000	1-4-8-59
2013105995	2013-02-22	須貝尚介	久米田正明	ノーザンファーム	安平町	40950000	191200000	5-2-4-15
2013101922	2013-05-06	森田直行	ビッグレッドファーム	ビッグレッドファーム	新冠町	-	14830000	10-3-4-30
2013104785	2013-05-28	渡辺薫彦	野田善己	フジワラファーム	新ひだか町	-	2261270000	4-0-3-14
2013104262	2013-05-06	川嶋弘吉	（株）ファーストビジ	静内酒井牧場	新ひだか町	-	1640000	4-9-6-39
2013110095	2013-03-25	池上昌和	吉田和子	Robert B. Trussell Jr. & John T.L. Jones III	米	-	14950000	1-4-0-18
2013104407	2013-03-31	高橋康之	ヒダカ・ブリーダーズ・ユニオン	谷岡牧場	新ひだか町	-	7570000	1-0-0-9
2013105393	2013-05-07	松田国英	山本慎一	社台ファーム	千歳市	30240000	0	0-0-0-1
2013103042	2013-02-24	溝橋利喜	組）オールザベスト組	中神牧場	浦河町	-	7210570000	9-11-3-43
2013105418	2013-02-06	石川浩文	（同）ＪＰＮ技研	社台ファーム	千歳市	2260000	3054190000	7-13-11-67
2013103488	2013-04-19	池添兼雄	松本好雄	太陽牧場	浦河町	-	13350000	1-1-2-11
2013103337	2013-03-04	中内田充	Ｈ．Ｈ．シェイク・ファハド	鎌田正嗣	浦河町	28350000	9521540000	4-6-3-26
2013101267	2013-03-22	大江原哲	田頭勇貴	アラキファーム	新冠町	3140000	1452760000	2-0-0-33
2013106025	2013-05-15	東眞市	アークフロンティア	ノーザンファーム	安平町	-	75492680000	5-5-7-25
2013101909	2013-03-19	清水英克	サラブレッドクラブ・ラフィアン	ビッグレッドファーム	新冠町	-	4254400000	5-6-6-44
2013104550	2013-03-06	佐藤茂	谷内康博	トウショウ産業株式会社トウショウ牧場	新ひだか町	-	14115340000	6-0-2-29
2013101155	2013-04-13	石川浩文	（同）ＪＰＮ技研	原田新治	平取町	-	2470000	6-8-17-49
