horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	勝利/特別	平場/出走	勝利/平場	芝/出走	勝利/芝	ダート/出走	勝利/ダート	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a000bac	2007	829	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0.0	0.0	0.0	0.0	0.0	2000106737
000a000bac	2006	861	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	2000106737
000a000bac	2005	426	3	1	17	1	0	0	5	0	12	1	8	1	9	0	0.333	1.1	2185.8	1600.0	0.0	2000104465
000a000bac	2004	486	2	1	7	1	0	0	4	1	3	0	7	1	0	0	0.5	1.26	1718.1	1600.0	0.0	2000104465
000a000bac	2003	543	6	1	16	1	2	0	2	0	12	1	7	1	9	0	0.16699999999999998	0.3	1275.3	1800.0	0.0	1999105629
000a000bac	2002	200	6	2	30	2	3	1	13	0	14	1	22	1	7	1	0.333	1.78	7768.7	1000.0	1600.0	1999105629
000a000bac	2001	306	6	2	28	2	2	0	10	2	16	0	18	2	8	0	0.333	0.89	4072.9	1850.0	0.0	1997104065
000a000bac	2000	266	5	1	28	1	5	1	6	0	17	0	19	1	9	0	0.2	1.26	5129.6	1600.0	0.0	1997104065
000a000bac	1999	228	11	2	67	2	0	0	20	1	47	1	55	2	12	0	0.182	0.67	6215.6	1400.0	0.0	1993103916
000a000bac	1998	251	11	2	61	3	0	0	18	1	43	2	30	3	31	0	0.182	0.58	5556.8	2033.3	0.0	1993103916
000a000bac	1997	101	20	4	139	8	0	0	25	2	114	6	65	2	74	6	0.2	0.88	15319.1	2000.0	1566.7	1993103444
000a000bac	1996	118	25	9	146	10	2	0	27	0	117	10	85	6	61	4	0.36	0.58	12887.8	1700.0	1675.0	1991100953
000a000bac	1995	147	19	5	144	5	3	0	30	1	111	4	91	2	53	3	0.263	0.61	10077.4	1300.0	1500.0	1989104838
000a000bac	1994	112	27	6	170	6	1	0	32	1	137	5	77	3	87	2	0.222	0.54	12736.4	1566.7	1300.0	1989104838
000a000bac	1993	92	33	5	157	6	0	0	28	1	129	5	64	3	91	3	0.152	0.56	16278.0	1533.3	1500.0	1988107700
000a000bac	1992	51	34	14	215	19	6	0	49	5	160	14	91	8	123	11	0.412	0.92	28101.0	1775.0	1527.3	1988107700
000a000bac	1991	41	31	10	147	14	6	2	21	3	120	9	68	9	79	5	0.32299999999999995	1.18	31835.0	1666.7	1500.0	1988104764
000a000bac	1990	164	19	9	90	9	1	0	8	1	81	8	39	4	51	5	0.474	0.46	7204.0	1300.0	1560.0	1988103249
000a000bac	1989	546	15	0	62	0	0	0	7	0	55	0	36	0	23	0	0.0	0.04	499.0	0.0	0.0	1987101277
000a000bac	1988	204	13	4	84	4	2	0	5	0	77	4	46	2	36	1	0.308	0.48	4792.5	1000.0	1800.0	1985101526
000a000bac	1987	280	9	1	73	2	0	0	7	0	66	2	36	1	37	1	0.111	0.4	2659.0	1800.0	1700.0	1984101000
000a000bac	1986	308	8	2	42	2	0	0	1	0	41	2	29	1	13	1	0.25	0.4	2193.0	1600.0	1600.0	1982104953
000a000bac	1985	392	3	1	21	1	0	0	0	0	21	1	0	0	21	1	0.333	0.7	1418.0	0.0	1700.0	1982107020
000a000bac	1984	685	1	0	7	0	0	0	0	0	7	0	0	0	7	0	0.0	0.16	106.0	0.0	0.0	1982107020
000a000bac	1964	306	1	1	16	1	0	0	0	0	16	1	16	1	0	0	1.0	0.32	31.5	1700.0	0.0	1958z00419
000a000bac	1963	295	2	0	29	0	0	0	0	0	29	0	29	0	0	0	0.0	0.07	13.0	0.0	0.0	1958z00419
000a000bac	1962	199	2	2	20	3	0	0	0	0	20	3	20	3	0	0	1.0	0.55	85.7	2066.7	0.0	1957z00391
000a000bac	1961	192	2	1	55	2	0	0	0	0	55	2	55	2	0	0	0.5	0.53	71.9	2100.0	0.0	1957z00391
000a000bac	1960	205	1	1	18	2	0	0	0	0	18	2	18	2	0	0	1.0	0.58	33.0	1900.0	0.0	1956z00361
000a000bac	1959	209	1	1	13	1	0	0	0	0	13	1	13	1	0	0	1.0	0.22	11.0	1800.0	0.0	1956z00361
000a000bac	1957	151	1	0	14	0	0	0	0	0	14	0	14	0	0	0	0.0	0.24	10.9	0.0	0.0	1952z00096
000a000bac	1956	101	1	1	37	4	0	0	0	0	37	4	37	4	0	0	1.0	1.38	57.0	1950.0	0.0	1952z00096
