horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	勝利/特別	出走/平場	勝利/平場	出走/芝	勝利/芝	出走/ダート	勝利/ダート	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a00091b	1984	724	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0.0	0.0	0.0	0.0	0.0	1981101893
000a00091b	1983	710	1	0	3	0	0	0	0	0	3	0	0	0	3	0	0.0	0.0	0.0	0.0	0.0	1980106761
000a00091b	1982	702	1	0	3	0	0	0	0	0	3	0	1	0	2	0	0.0	0.0	0.0	0.0	0.0	1979106641
000a00091b	1981	470	1	0	11	0	0	0	0	0	11	0	2	0	9	0	0.0	1.18	795.0	0.0	0.0	1976z00447
000a00091b	1980	258	1	1	13	2	0	0	0	0	13	2	1	0	12	2	1.0	3.72	2379.0	0.0	3100.0	1976z00447
000a00091b	1979	272	4	2	38	2	0	0	0	0	38	2	19	0	19	2	0.5	0.87	2052.0	0.0	1450.0	1955107954
000a00091b	1978	158	6	3	50	4	0	0	0	0	50	4	15	1	35	3	0.5	1.19	4571.0	1700.0	1973.3	1974z00924
000a00091b	1977	162	7	4	54	6	0	0	0	0	54	6	23	1	31	5	0.571	0.94	4003.0	2000.0	1960.0	1973z01308
000a00091b	1976	125	12	3	87	4	0	0	0	0	87	4	24	2	63	2	0.25	0.75	5639.0	1450.0	1650.0	1971z01132
000a00091b	1975	57	21	10	171	11	0	0	0	0	171	11	64	7	107	4	0.476	0.78	9770.0	1885.7	1780.0	1970z00321
000a00091b	1974	27	26	13	187	21	0	0	0	0	187	21	73	8	114	13	0.5	1.27	15921.0	1837.5	2002.3	1967z00900
000a00091b	1973	30	27	13	213	20	0	0	0	0	213	20	94	5	119	15	0.481	1.12	14039.5	1800.0	2132.0	000a00523e
000a00091b	1972	36	27	13	224	20	0	0	0	0	224	20	142	13	82	7	0.481	1.04	11633.9	1600.0	1642.9	000a00523e
000a00091b	1971	40	39	13	266	16	0	0	0	0	266	16	198	12	68	4	0.333	0.7	10762.5	1708.3	1650.0	1955101000
000a00091b	1970	28	37	16	318	23	0	0	0	0	318	23	227	18	91	5	0.432	0.96	12868.0	1672.2	2000.0	1955100706
000a00091b	1969	10	42	25	390	42	0	0	0	0	390	42	309	35	81	7	0.595	1.34	19476.0	1674.3	1742.9	000a0043ca
000a00091b	1968	9	49	27	505	51	0	0	0	0	505	51	428	42	77	9	0.551	1.12	13009.0	1638.1	1744.4	000a0041ff
000a00091b	1967	23	49	23	423	33	0	0	0	0	423	33	353	29	70	4	0.469	0.68	6758.3	1703.5	1700.0	000a003bfc
000a00091b	1966	16	39	21	330	36	0	0	0	0	330	36	324	35	6	1	0.538	0.97	6004.5	1710.0	1200.0	1963z00233
000a00091b	1965	23	21	14	196	24	0	0	0	0	196	24	193	24	3	0	0.667	1.1	2776.5	1737.5	0.0	000a0039a7
000a00091b	1964	23	21	11	223	21	0	0	0	0	223	21	223	21	0	0	0.524	0.92	1903.5	1633.3	0.0	000a00320c
000a00091b	1963	31	22	10	216	19	0	0	0	0	216	19	216	19	0	0	0.455	0.66	1263.0	1755.3	0.0	000a00368a
000a00091b	1962	27	23	8	201	14	0	0	0	0	201	14	195	14	6	0	0.348	0.56	1002.1	1771.4	0.0	000a003084
000a00091b	1961	17	19	10	206	18	0	0	0	0	206	18	200	17	6	1	0.526	1.02	1330.2	1770.6	1700.0	000a003008
000a00091b	1960	17	13	7	130	17	0	0	0	0	130	17	130	17	0	0	0.538	1.15	853.5	1564.7	0.0	1957z00146
000a00091b	1959	61	9	2	51	5	0	0	0	0	51	5	51	5	0	0	0.222	0.48	217.9	1500.0	0.0	1955z00262
000a00091b	1958	89	6	2	47	3	0	0	0	0	47	3	47	3	0	0	0.333	0.32	86.5	1250.0	0.0	1956z00113
000a00091b	1957	175	1	0	12	0	0	0	0	0	12	0	12	0	0	0	0.0	0.0	0.0	0.0	0.0	000a002e07
