horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝
000a00031b	2001	877	1	0	1	0	0	0	0	0.0	1	0.0	1	0.0	0	0	0.0	0.0	0.0	0.0	0.0	1997200022			
000a00031b	2000	875	1	0	2	0	0	0	0	0.0	2	0.0	0	0.0	2	0	0.0	0.0	0.0	0.0	0.0	1997101512			
000a00031b	1999	745	1	0	6	0	0	0	1	0.0	5	0.0	0	0.0	6	0	0.0	0.44	370.0	0.0	0.0	1993105662			
000a00031b	1998	470	3	2	18	2	0	0	3	0.0	15	2.0	5	1.0	13	1	0.667	0.73	1910.0	1000.0	1000.0	1993104905			
000a00031b	1997	301	4	2	27	2	0	0	10	0.0	17	2.0	14	1.0	13	1	0.5	1.21	4204.2	1000.0	1000.0	1993104905			
000a00031b	1996	447	8	0	45	0	3	0	6	0.0	36	0.0	13	0.0	26	0	0.0	0.25	1789.8	0.0	0.0	1993104905			
000a00031b	1995	215	13	3	62	3	1	0	7	0.0	54	3.0	31	1.0	26	1	0.231	0.55	6198.2	2000.0	1400.0	1989101759			
000a00031b	1994	149	21	2	110	3	3	0	35	2.0	72	1.0	53	1.0	57	2	0.095	0.51	9182.5	1200.0	1450.0	1989101759			
000a00031b	1993	65	23	7	134	11	4	0	61	5.0	69	6.0	54	5.0	80	6	0.304	1.17	23605.0	1680.0	1550.0	1989100618			
000a00031b	1992	38	31	14	191	20	11	0	44	4.0	136	16.0	84	6.0	100	14	0.452	1.27	35148.0	1466.7	1592.9	1988100388			
000a00031b	1991	72	37	12	193	14	9	0	33	1.0	151	13.0	100	6.0	85	8	0.324	0.6	19348.0	1333.3	1412.5	1988100388			
