horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	重賞/出走	重賞/勝利	特別/出走	勝利/特別	平場/出走	勝利/平場	芝/出走	勝利/芝	ダート/出走	勝利/ダート
000a000297	2010	708	2	0	6	0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	0.1	125.0	0.0	0.0	2007104705.0										
000a000297	2009	758	2	0	8	0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2006104696.0										
000a000297	2007	829	1	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2005105342.0										
000a000297	2005	534	2	1	11	1	0.0	0.0	0.0	0.0	11.0	1.0	2.0	0.0	8.0	0.0	0.5	0.93	1240.0	0.0	0.0	2001102094.0										
000a000297	2004	529	2	1	11	1	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	11.0	1.0	0.5	1.01	1380.0	0.0	1700.0	2001102094.0										
000a000297	2002	831	2	0	9	0	2.0	0.0	1.0	0.0	6.0	0.0	7.0	0.0	2.0	0.0	0.0	0.09	128.0	0.0	0.0	1998100640.0										
000a000297	2001	602	3	0	20	0	0.0	0.0	1.0	0.0	19.0	0.0	14.0	0.0	6.0	0.0	0.0	0.44	1011.0	0.0	0.0	1998103858.0										
000a000297	2000	633	2	1	7	1	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	3.0	1.0	0.5	0.55	890.0	0.0	1700.0	1994105188.0										
000a000297	1999	576	9	0	39	0	3.0	0.0	8.0	0.0	28.0	0.0	12.0	0.0	24.0	0.0	0.0	0.16	1185.0	0.0	0.0	1994106493.0										
000a000297	1998	79	12	4	89	6	9.0	0.0	32.0	3.0	48.0	3.0	41.0	3.0	48.0	3.0	0.3329999999999999	1.82	19032.7	1800.0	1766.7	1994106493.0										
000a000297	1997	136	9	6	81	7	3.0	0.0	19.0	0.0	59.0	7.0	43.0	4.0	36.0	3.0	0.667	1.47	11532.9	1600.0	1366.7	1994106493.0										
