horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	勝利/重賞	出走/特別	勝利/特別	平場/出走	勝利/平場	出走/芝	勝利/芝	出走/ダート	勝利/ダート	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a0003e2	2002	879	1	0	5	0	0	0	0	0	5	0	4	0	1	0	0.0	0.0	0.0	0.0	0.0	1997103149.0
000a0003e2	2001	818	1	0	14	0	0	0	0	0	14	0	10	0	4	0	0.0	0.24	180.0	0.0	0.0	1998105515.0
000a0003e2	1998	513	2	1	10	1	0	0	6	0	4	1	4	0	6	1	0.5	0.91	1579.9	0.0	1800.0	1994102534.0
000a0003e2	1997	289	5	3	30	3	1	0	3	0	26	3	8	1	22	2	0.6	1.06	4603.6	2000.0	1300.0	1994102534.0
000a0003e2	1996	383	5	1	17	1	0	0	5	0	12	1	6	0	11	1	0.2	0.58	2571.4	0.0	1400.0	1992107036.0
000a0003e2	1995	221	5	2	33	4	0	0	9	2	24	2	17	2	16	2	0.4	1.35	5869.3	2000.0	1200.0	1990101897.0
000a0003e2	1994	200	7	2	36	3	1	0	16	2	19	1	21	2	15	1	0.28600000000000003	1.11	6707.6	2500.0	1800.0	1990101897.0
000a0003e2	1993	190	16	3	90	3	3	0	17	1	70	2	49	2	41	1	0.188	0.48	6810.0	1300.0	1800.0	1988102388.0
000a0003e2	1992	218	11	3	45	4	1	0	15	1	29	3	31	3	14	1	0.273	0.56	5502.0	1400.0	1400.0	1988102388.0
000a0003e2	1991	140	12	6	70	8	2	0	17	1	51	7	50	5	17	2	0.5	0.93	9647.0	1620.0	1450.0	1988102388.0
000a0003e2	1990	82	9	5	53	10	4	2	13	2	36	6	35	6	10	0	0.556	2.09	15408.0	1800.0	0.0	1985103631.0
000a0003e2	1989	104	11	5	45	10	3	0	9	1	33	9	27	5	6	1	0.455	1.42	12370.0	1600.0	1200.0	1985103631.0
000a0003e2	1988	235	6	3	39	4	2	0	8	0	29	4	24	1	12	3	0.5	0.89	4108.0	1400.0	1666.7	1985104799.0
000a0003e2	1987	317	5	0	36	0	1	0	3	0	32	0	17	0	19	0	0.0	0.58	2163.0	0.0	0.0	1984100770.0
000a0003e2	1986	448	3	2	7	2	0	0	0	0	7	2	4	1	3	1	0.667	0.46	960.0	1400.0	1700.0	1983105362.0
000a0004d2	2009	309	2	0	7	0	4	0	0	0	3	0	0	0	3	0	0.0	2.37	2981.1	0.0	0.0	2000102324.0
000a0004d2	2008	334	2	0	9	0	4	0	1	0	4	0	2	0	1	0	0.0	2.19	2762.2	0.0	0.0	2000102324.0
000a0004d2	2007	190	4	1	18	3	2	1	4	0	12	2	7	0	2	0	0.25	2.85	7461.1	0.0	0.0	2000102324.0
000a0004d2	2006	460	9	1	34	1	2	0	3	0	29	1	16	0	12	0	0.111	0.29	1710.0	0.0	0.0	2000102324.0
000a0004d2	2005	230	6	2	53	3	0	0	14	1	39	2	15	0	36	3	0.333	1.57	6266.5	0.0	1666.7	2000102324.0
000a0004d2	2004	238	11	3	54	3	0	0	12	1	42	2	13	1	35	2	0.273	0.82	6136.8	2000.0	1750.0	1999105609.0
000a0004d2	2003	195	21	4	85	4	0	0	22	1	63	3	33	1	43	3	0.19	0.52	7620.2	2000.0	1800.0	1999105609.0
000a0004d2	2002	128	20	3	118	6	3	0	39	4	76	2	65	4	51	2	0.15	0.84	12255.4	2150.0	1800.0	1997106652.0
000a0004d2	2001	110	21	6	115	9	1	0	27	1	87	8	63	4	52	5	0.28600000000000003	0.91	14557.9	1400.0	1260.0	1996103814.0
000a0004d2	2000	82	19	5	110	7	3	2	28	1	79	4	53	2	50	2	0.263	1.25	19305.9	1500.0	1650.0	1996105754.0
000a0004d2	1999	106	25	6	139	8	1	0	32	3	106	5	44	0	87	8	0.24	0.7	14769.8	0.0	1475.0	1996103904.0
000a0004d2	1998	121	35	8	181	8	3	0	46	1	132	7	69	3	100	4	0.229	0.43	13197.5	1400.0	1325.0	1994105426.0
000a0004d2	1997	59	39	11	212	14	3	0	31	3	178	11	80	5	126	9	0.282	0.67	22741.3	1580.0	1355.6	1992105240.0
000a0004d2	1996	46	38	11	214	15	3	0	74	5	137	10	104	7	107	8	0.289	0.9	30102.9	1657.1	1512.5	1992106027.0
000a0004d2	1995	56	43	14	243	17	4	0	55	2	184	15	124	9	119	8	0.326	0.7	26345.4	1666.7	1487.5	1991105074.0
000a0004d2	1994	52	44	14	231	18	9	0	39	4	183	14	111	6	114	11	0.318	0.72	27381.3	1533.3	1372.7	1991109614.0
000a0004d2	1993	88	42	14	196	17	0	0	25	0	171	17	97	8	88	8	0.333	0.44	16421.0	1487.5	1325.0	1990102033.0
000a0004d2	1992	82	38	11	191	13	3	0	25	3	163	10	103	6	88	7	0.289	0.58	19711.0	1533.3	1457.1	1988104912.0
000a0004d2	1991	69	38	13	165	15	10	0	24	2	131	13	99	8	60	7	0.342	0.62	20306.0	1550.0	1300.0	1986106623.0
000a0004d2	1990	83	26	7	121	9	5	0	34	4	82	5	56	3	65	6	0.269	0.72	15395.0	1600.0	1400.0	1985102000.0
000a0004d2	1989	97	21	9	94	12	4	0	28	3	62	9	47	3	47	9	0.429	0.8	13221.0	1466.7	1688.9	1985102000.0
000a0004d2	1988	172	9	4	52	5	2	0	12	1	38	4	21	1	31	4	0.444	0.87	6036.0	2000.0	1300.0	1985102000.0
000a0004d2	1987	307	5	3	23	3	0	0	3	0	20	3	19	2	4	1	0.6	0.61	2279.0	1600.0	1200.0	1985102000.0
