horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a000147	1974	321	2	0	12	0	0	0	0	0.0	12	0.0	3	0.0	9	0.0	0.0	0.14	133.0	0.0	0.0	1967z00900
000a000147	1973	111	9	4	64	6	0	0	0	0.0	64	6.0	25	1.0	39	5.0	0.444	0.96	4015.0	2000.0	1660.0	1968z00235
000a000147	1972	66	18	7	133	7	0	0	0	0.0	133	7.0	88	2.0	45	5.0	0.389	1.16	8719.0	2000.0	1780.0	000a004a82
000a000147	1971	26	33	19	262	37	0	0	0	0.0	262	37.0	187	22.0	75	15.0	0.5760000000000001	1.55	20077.0	1718.2	1776.0	000a000af5
000a000147	1970	19	48	27	377	45	0	0	0	0.0	377	45.0	247	28.0	130	17.0	0.563	1.3	22639.0	1814.3	1635.3	1955100940
000a000147	1969	14	47	31	409	53	0	0	0	0.0	409	53.0	313	40.0	96	13.0	0.66	1.51	24467.5	1662.5	1884.6	000a003d5e
000a000147	1968	12	49	23	456	50	0	0	0	0.0	456	50.0	385	39.0	71	11.0	0.469	1.52	17640.0	1656.4	1709.1	000a003d5e
000a000147	1967	18	52	26	371	46	0	0	0	0.0	371	46.0	298	33.0	73	13.0	0.5	1.09	11420.0	1718.2	1676.9	000a003b23
000a000147	1966	23	38	19	326	42	0	0	0	0.0	326	42.0	303	37.0	23	5.0	0.5	1.32	7957.3	1700.0	2620.0	000a00387e
000a000147	1965	21	29	20	226	32	0	0	0	0.0	226	32.0	223	32.0	3	0.0	0.69	1.3	4528.0	1829.7	0.0	1961z00468
000a000147	1964	8	42	32	447	57	0	0	0	0.0	447	57.0	443	57.0	4	0.0	0.762	1.67	6917.8	1728.1	0.0	000a003a60
000a000147	1963	3	54	37	518	72	0	0	0	0.0	518	72.0	509	72.0	9	0.0	0.685	1.89	8914.0	1715.3	0.0	000a000a85
000a000147	1962	4	68	36	592	88	0	0	0	0.0	592	88.0	587	88.0	5	0.0	0.529	1.53	8081.5	1746.0	0.0	000a000a12
000a000147	1961	5	66	37	550	69	0	0	0	0.0	550	69.0	540	69.0	10	0.0	0.561	1.14	5129.9	1656.5	0.0	1958100605
000a000147	1960	5	48	29	460	71	0	0	0	0.0	460	71.0	460	71.0	0	0.0	0.604	1.59	4361.7	1748.6	0.0	000a000a05
000a000147	1959	3	41	28	424	75	0	0	0	0.0	424	75.0	424	75.0	0	0.0	0.6829999999999999	1.87	3842.0	1651.3	0.0	000a002ee1
000a000147	1958	9	25	16	244	43	0	0	0	0.0	244	43.0	244	43.0	0	0.0	0.64	1.51	1708.2	1577.9	0.0	1955z00107
000a000147	1957	51	8	4	41	8	0	0	0	0.0	41	8.0	41	8.0	0	0.0	0.5	0.76	280.7	1050.0	0.0	000a000a30
000a000f8b	1980	357	1	1	9	2	0	0	0	0.0	9	2.0	1	0.0	8	2.0	1.0	2.0	1280.0	0.0	1800.0	1972z00484
000a000f8b	1979	308	3	1	21	1	0	0	0	0.0	21	1.0	14	0.0	7	1.0	0.3329999999999999	0.95	1680.0	0.0	1900.0	1972z00484
000a000f8b	1978	433	1	0	8	0	0	0	0	0.0	8	0.0	0	0.0	8	0.0	0.0	1.31	840.0	0.0	0.0	1972z00484
000a000f8b	1977	367	4	1	16	1	0	0	0	0.0	16	1.0	3	0.0	13	1.0	0.25	0.4	988.0	0.0	1400.0	1975z00162
000a000f8b	1976	203	5	2	26	4	0	0	0	0.0	26	4.0	12	2.0	14	2.0	0.4	0.94	2942.0	1800.0	1850.0	1974z00217
000a000f8b	1975	230	4	4	25	4	0	0	0	0.0	25	4.0	7	1.0	18	3.0	1.0	0.96	2293.0	1700.0	1400.0	1973z00184
000a000f8b	1974	386	4	1	19	1	0	0	0	0.0	19	1.0	3	0.0	16	1.0	0.25	0.26	507.0	0.0	1000.0	1972z00484
000a000f8b	1973	406	4	0	15	0	0	0	0	0.0	15	0.0	11	0.0	4	0.0	0.0	0.23	430.0	0.0	0.0	1970z01067
000a000f8b	1972	133	6	4	42	4	0	0	0	0.0	42	4.0	21	2.0	21	2.0	0.667	1.2	2986.0	1950.0	1400.0	1968z00794
000a000f8b	1971	85	5	4	39	6	0	0	0	0.0	39	6.0	29	3.0	10	3.0	0.8	2.1	4107.0	2233.3	1733.3	000a000b3e
000a000f8b	1970	92	2	2	24	5	0	0	0	0.0	24	5.0	17	3.0	7	2.0	1.0	4.61	3340.0	1900.0	1800.0	000a000b3e
000a000f8b	1969	187	9	4	37	4	0	0	0	0.0	37	4.0	33	4.0	4	0.0	0.444	0.36	1127.0	1350.0	0.0	1965z00592
000a000f8b	1968	94	9	4	61	10	0	0	0	0.0	61	10.0	55	10.0	6	0.0	0.444	0.85	1804.0	1690.0	0.0	1964z00566
000a000f8b	1967	121	7	4	31	5	0	0	0	0.0	31	5.0	31	5.0	0	0.0	0.5710000000000001	0.73	1033.0	1760.0	0.0	1964z00566
000a000f8b	1966	115	4	3	23	3	0	0	0	0.0	23	3.0	18	2.0	5	1.0	0.75	1.32	842.5	1700.0	1800.0	1963z00533
000a000f8b	1965	55	3	3	24	7	0	0	0	0.0	24	7.0	22	7.0	2	0.0	1.0	3.43	1231.5	1857.1	0.0	1962z00571
000a000f8b	1964	90	1	1	16	4	0	0	0	0.0	16	4.0	16	4.0	0	0.0	1.0	5.58	549.5	1750.0	0.0	000a003b02
000a000f8b	1963	20	2	2	20	5	0	0	0	0.0	20	5.0	19	4.0	1	1.0	1.0	10.52	1840.0	2200.0	1600.0	000a003b02
000a000f8b	1962	48	4	4	43	10	0	0	0	0.0	43	10.0	43	10.0	0	0.0	1.0	2.46	765.0	1560.0	0.0	000a000a7c
000a000f8b	1961	36	3	3	41	6	0	0	0	0.0	41	6.0	39	5.0	2	1.0	1.0	3.17	651.3	1700.0	2700.0	1956z00291
000a000f8b	1960	26	3	3	38	8	0	0	0	0.0	38	8.0	38	8.0	0	0.0	1.0	3.6	617.4	1837.5	0.0	1957z00091
000a000f8b	1959	43	4	2	42	8	0	0	0	0.0	42	8.0	42	8.0	0	0.0	0.5	1.53	306.5	1450.0	0.0	1957z00091
000a000f8b	1958	72	2	2	23	4	0	0	0	0.0	23	4.0	23	4.0	0	0.0	1.0	1.34	121.0	1700.0	0.0	000a002d1e
000a000f8b	1957	71	2	2	23	7	0	0	0	0.0	23	7.0	23	7.0	0	0.0	1.0	1.4	129.0	1485.7	0.0	000a002c37
000a0004e0	1964	204	1	0	4	0	0	0	0	0.0	4	0.0	4	0.0	0	0.0	0.0	0.3	30.0	0.0	0.0	1958z00139
000a0004e0	1963	125	2	1	17	2	0	0	0	0.0	17	2.0	17	2.0	0	0.0	0.5	0.9	157.0	1700.0	0.0	1958z00139
000a0004e0	1962	33	12	5	101	14	0	0	0	0.0	101	14.0	95	14.0	6	0.0	0.417	1.27	1188.2	2171.4	0.0	1958100015
000a0004e0	1961	15	21	12	281	29	0	0	0	0.0	281	29.0	271	29.0	10	0.0	0.5710000000000001	1.48	2130.2	1984.5	0.0	1958z00139
000a0004e0	1960	16	29	18	285	33	0	0	0	0.0	285	33.0	285	33.0	0	0.0	0.621	1.07	1778.5	1672.4	0.0	000a002e66
000a0004e0	1959	20	23	12	221	24	0	0	0	0.0	221	24.0	221	24.0	0	0.0	0.522	1.02	1176.0	1612.5	0.0	1955z00286
000a0004e0	1958	26	21	11	223	20	0	0	0	0.0	223	20.0	223	20.0	0	0.0	0.524	0.84	799.4	1564.5	0.0	1955z00278
000a0004e0	1957	64	12	4	56	8	0	0	0	0.0	56	8.0	56	8.0	0	0.0	0.3329999999999999	0.42	229.4	1125.0	0.0	000a002d73
000a001020	1958	107	1	1	11	2	0	0	0	0.0	11	2.0	11	2.0	0	0.0	1.0	1.48	67.0	1700.0	0.0	000a0009a7
000a001020	1957	109	1	1	12	4	0	0	0	0.0	12	4.0	12	4.0	0	0.0	1.0	1.71	78.5	1500.0	0.0	000a0009a7
000a000450	1976	366	2	0	9	0	0	0	0	0.0	9	0.0	3	0.0	6	0.0	0.0	0.05	68.0	0.0	0.0	1974z00313
000a000450	1975	91	6	3	57	5	0	0	0	0.0	57	5.0	18	1.0	39	4.0	0.5	1.89	6767.0	1800.0	2505.0	1970z00902
000a000450	1974	71	13	5	124	7	0	0	0	0.0	124	7.0	58	5.0	66	2.0	0.385	1.34	8456.0	1840.0	1700.0	1969z00229
000a000450	1973	37	16	13	158	24	0	0	0	0.0	158	24.0	101	16.0	57	8.0	0.813	2.08	15435.0	1606.3	1550.0	1955103611
000a000450	1972	90	16	6	83	8	0	0	0	0.0	83	8.0	56	7.0	27	1.0	0.375	0.62	4099.0	1485.7	1200.0	1955103611
000a000450	1971	120	9	6	48	7	0	0	0	0.0	48	7.0	46	7.0	2	0.0	0.667	0.55	1947.0	1085.7	0.0	000a000bb7
000a000450	1958	123	1	1	4	2	0	0	0	0.0	4	2.0	4	2.0	0	0.0	1.0	0.98	44.1	1700.0	0.0	000a002c59
000a000450	1957	117	1	1	12	2	0	0	0	0.0	12	2.0	12	2.0	0	0.0	1.0	1.3	59.8	1550.0	0.0	000a002c59
000a0008d8	1970	351	1	0	2	0	0	0	0	0.0	2	0.0	2	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1965z00114
000a0008d8	1969	77	8	6	108	6	0	0	0	0.0	108	6.0	78	4.0	30	2.0	0.75	1.11	3059.0	1925.0	1600.0	1965z00115
000a0008d8	1968	54	20	7	184	14	0	0	0	0.0	184	14.0	137	10.0	47	4.0	0.35	0.78	3666.0	1900.0	2450.0	000a004183
000a0008d8	1967	31	33	17	276	31	0	0	0	0.0	276	31.0	225	23.0	51	8.0	0.515	1.07	7150.0	1826.1	1787.5	000a003ca6
000a0008d8	1966	31	28	14	271	23	0	0	0	0.0	271	23.0	259	22.0	12	1.0	0.5	0.97	4327.0	1869.6	2700.0	000a003c7a
000a0008d8	1965	18	33	18	357	42	0	0	0	0.0	357	42.0	355	42.0	2	0.0	0.545	1.33	5263.0	1738.1	0.0	1962z00073
000a0008d8	1964	19	31	21	346	36	0	0	0	0.0	346	36.0	341	35.0	5	1.0	0.677	1.23	3756.5	1620.0	1800.0	1961z00398
000a0008d8	1963	28	20	11	192	21	0	0	0	0.0	192	21.0	189	21.0	3	0.0	0.55	1.04	1816.5	1604.8	0.0	1955100075
000a0008d8	1962	12	12	8	150	18	0	0	0	0.0	150	18.0	146	18.0	4	0.0	0.667	3.14	2927.5	1788.9	0.0	1955100044
000a0008d8	1961	10	13	7	130	23	0	0	0	0.0	130	23.0	127	22.0	3	1.0	0.5379999999999999	3.15	2801.0	1877.3	1700.0	000a002e84
000a0008d8	1960	21	12	6	99	15	0	0	0	0.0	99	15.0	99	15.0	0	0.0	0.5	2.24	1536.9	2140.0	0.0	000a003009
000a0008d8	1959	9	12	9	126	29	0	0	0	0.0	126	29.0	126	29.0	0	0.0	0.75	3.03	1823.0	1891.4	0.0	000a002cfa
000a0008d8	1958	28	10	6	96	18	0	0	0	0.0	96	18.0	96	18.0	0	0.0	0.6	1.7	767.7	1466.7	0.0	000a002cfa
000a0008d8	1957	82	8	2	66	4	0	0	0	0.0	66	4.0	66	4.0	0	0.0	0.25	0.43	158.5	1350.0	0.0	000a002b6e
000a000df7	1972	356	1	0	6	0	0	0	0	0.0	6	0.0	4	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	1967z00172
000a000df7	1971	141	1	1	15	2	0	0	0	0.0	15	2.0	8	0.0	7	2.0	1.0	3.35	1311.5	0.0	1650.0	1967z00172
000a000df7	1970	212	1	1	20	2	0	0	0	0.0	20	2.0	11	0.0	9	2.0	1.0	1.34	485.0	0.0	1500.0	1967z00172
000a000df7	1969	347	1	0	3	0	0	0	0	0.0	3	0.0	3	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1967z00172
000a000df7	1962	160	1	0	10	0	0	0	0	0.0	10	0.0	10	0.0	0	0.0	0.0	0.3	23.5	0.0	0.0	000a0009e0
000a000df7	1961	92	1	1	10	3	0	0	0	0.0	10	3.0	10	3.0	0	0.0	1.0	2.53	173.2	2600.0	0.0	000a0009e0
000a000df7	1960	77	1	1	22	2	0	0	0	0.0	22	2.0	22	2.0	0	0.0	1.0	4.01	229.5	2535.0	0.0	000a0009e0
000a000df7	1959	68	1	1	29	3	0	0	0	0.0	29	3.0	29	3.0	0	0.0	1.0	4.54	228.0	2613.3	0.0	000a0009e0
000a000df7	1958	131	1	1	22	1	0	0	0	0.0	22	1.0	22	1.0	0	0.0	1.0	0.85	38.5	1600.0	0.0	000a0009e0
000a000df7	1957	102	1	1	23	2	0	0	0	0.0	23	2.0	23	2.0	0	0.0	1.0	1.87	86.0	1300.0	0.0	000a0009e0
000a001021	1962	153	1	0	5	0	0	0	0	0.0	5	0.0	5	0.0	0	0.0	0.0	0.42	32.5	0.0	0.0	000a0009ec
000a001021	1961	142	1	1	9	1	0	0	0	0.0	9	1.0	7	1.0	2	0.0	1.0	0.64	43.5	1800.0	0.0	000a0009ec
000a001021	1959	142	1	0	15	0	0	0	0	0.0	15	0.0	15	0.0	0	0.0	0.0	0.57	28.7	0.0	0.0	000a002eea
000a001021	1958	129	1	1	11	1	0	0	0	0.0	11	1.0	11	1.0	0	0.0	1.0	0.92	41.3	1800.0	0.0	000a002eea
000a001021	1957	107	1	1	16	3	0	0	0	0.0	16	3.0	16	3.0	0	0.0	1.0	1.73	79.3	1633.3	0.0	000a002eea
