horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	勝利/特別	出走/平場	勝利/平場	出走/芝	勝利/芝	出走/ダート	勝利/ダート	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a000993	1979	274	3	1	18	1	0	0	0	0	18	1	6	1	12	0	0.333	0.92	1639.0	1600.0	0.0	1973z01539
000a000993	1978	140	5	2	52	4	0	0	0	0	52	4	25	1	27	3	0.4	1.94	6207.0	2200.0	2233.3	1973z01539
000a000993	1977	105	7	2	56	3	0	0	0	0	56	3	21	0	35	3	0.286	1.84	7876.0	0.0	2166.7	1975z00200
000a000993	1976	44	11	6	96	13	0	0	0	0	96	13	44	7	52	6	0.545	2.7	18674.0	1757.1	2540.0	1970z01034
000a000993	1975	60	19	13	151	19	0	0	0	0	151	19	50	7	101	12	0.684	1.16	13114.0	1385.7	1657.5	000a005e83
000a000993	1974	62	29	8	180	11	0	0	0	0	180	11	80	6	100	5	0.276	0.68	9594.0	1800.0	1760.0	1972103722
000a000993	1973	27	33	21	289	31	0	0	0	0	289	31	167	18	122	13	0.636	1.33	20322.0	1683.3	1754.6	1955103094
000a000993	1972	21	50	23	373	38	0	0	0	0	373	38	232	29	141	9	0.46	1.13	23516.5	1693.1	1811.1	1955101644
000a000993	1971	17	60	25	450	47	0	0	0	0	450	47	341	33	109	14	0.417	1.08	25389.5	1803.6	1794.3	000a000b54
000a000993	1970	10	61	29	467	46	0	0	0	0	467	46	365	36	102	10	0.475	1.43	31614.0	1797.2	2090.0	000a0043aa
000a000993	1969	6	59	39	547	80	0	0	0	0	547	80	455	67	92	13	0.661	1.79	36485.5	1637.3	1846.2	1955100732
000a000993	1968	15	68	34	556	57	0	0	0	0	556	57	500	53	56	4	0.5	0.93	15016.0	1550.0	2075.0	000a003add
000a000993	1967	7	72	35	529	63	0	0	0	0	529	63	456	54	73	9	0.486	1.15	16682.5	1738.0	1944.4	1955100248
000a000993	1966	3	68	46	636	88	0	0	0	0	636	88	624	87	12	1	0.676	1.38	14896.0	1647.7	1200.0	000a003668
000a000993	1965	5	56	37	501	67	0	0	0	0	501	67	497	67	4	0	0.661	1.33	8913.5	1617.9	0.0	1955100291
000a000993	1964	11	36	25	301	54	0	0	0	0	301	54	297	53	4	1	0.694	1.49	5299.0	1554.7	1600.0	1961z00249
000a000993	1963	30	16	13	71	26	0	0	0	0	71	26	71	26	0	0	0.813	1.13	1579.5	1169.2	0.0	1961z00048
000a000828	1975	231	4	1	30	1	0	0	0	0	30	1	14	1	16	0	0.25	0.5	1190.0	1800.0	0.0	1973z00715
000a000828	1974	208	7	3	52	4	0	0	0	0	52	4	22	2	30	2	0.429	0.34	1150.0	1400.0	1200.0	1971z01031
000a000828	1973	199	4	2	27	3	0	0	0	0	27	3	14	2	13	1	0.5	0.58	1082.0	1800.0	1400.0	1970z00974
000a000828	1972	243	3	2	15	2	0	0	0	0	15	2	10	1	5	1	0.667	0.28	354.0	1000.0	1000.0	1970z00530
000a000828	1969	256	1	0	3	0	0	0	0	0	3	0	3	0	0	0	0.0	0.64	220.0	0.0	0.0	1964z00305
000a000828	1968	176	2	1	14	1	0	0	0	0	14	1	14	1	0	0	0.5	0.94	445.0	1000.0	0.0	1966z00042
000a000828	1967	164	2	1	17	1	0	0	0	0	17	1	14	1	3	0	0.5	0.86	349.0	1700.0	0.0	1964z00305
000a000828	1966	84	3	2	26	6	0	0	0	0	26	6	26	6	0	0	0.667	2.2	1047.5	1333.3	0.0	1964z00305
000a000828	1965	133	4	2	25	5	0	0	0	0	25	5	25	5	0	0	0.5	0.71	339.0	1640.0	0.0	1955100261
000a000828	1964	138	3	2	19	3	0	0	0	0	19	3	19	3	0	0	0.667	0.58	170.0	1000.0	0.0	1961z00079
000a000828	1963	187	1	0	2	0	0	0	0	0	2	0	2	0	0	0	0.0	0.04	3.5	0.0	0.0	1961z00079
