horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	重賞/出走	重賞/勝利	特別/出走	勝利/特別	平場/出走	勝利/平場	芝/出走	勝利/芝	ダート/出走	勝利/ダート
000a000fc8	1965	146	1	1	15	2	0.0	0.0	0.0	0.0	15.0	2.0	15.0	2.0	0.0	0.0	1.0	2.22	265.5	1300.0	0.0	000a003694										
000a00031b	1988	468	1	0	4	0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	3.0	0.0	0.0	0.16	120.0	0.0	0.0	1981103369										
000a00031b	1987	302	1	1	4	1	0.0	0.0	3.0	1.0	1.0	0.0	3.0	1.0	1.0	0.0	1.0	2.03	1510.0	2000.0	0.0	1981103369										
000a00031b	1986	213	6	3	19	3	0.0	0.0	6.0	0.0	13.0	3.0	9.0	1.0	10.0	2.0	0.5	0.78	3218.0	2200.0	1700.0	1981103369										
000a00031b	1985	248	8	1	52	1	0.0	0.0	0.0	0.0	52.0	1.0	0.0	0.0	52.0	1.0	0.125	0.44	2353.0	0.0	1700.0	1981101956										
000a00031b	1984	163	11	4	88	5	0.0	0.0	0.0	0.0	88.0	5.0	0.0	0.0	88.0	5.0	0.364	0.82	6084.0	0.0	1780.0	1980104763										
000a00031b	1983	123	21	6	90	9	0.0	0.0	0.0	0.0	90.0	9.0	0.0	0.0	90.0	9.0	0.286	0.65	9216.0	0.0	1666.7	1979105472										
000a00031b	1982	81	17	8	110	11	0.0	0.0	0.0	0.0	110.0	11.0	9.0	1.0	101.0	10.0	0.471	1.2	13928.0	1200.0	1410.0	1978106029										
000a00031b	1981	101	20	10	88	13	0.0	0.0	0.0	0.0	88.0	13.0	32.0	6.0	56.0	7.0	0.5	0.76	10205.0	1433.3	1228.6	1979105276										
000a00031b	1980	62	23	16	158	20	0.0	0.0	0.0	0.0	158.0	20.0	61.0	7.0	97.0	13.0	0.696	1.06	15577.0	1414.3	1476.9	1977100708										
000a00031b	1979	48	32	14	192	20	0.0	0.0	0.0	0.0	192.0	20.0	77.0	7.0	115.0	13.0	0.4379999999999999	0.98	18631.0	1628.6	1523.1	1955100849										
000a00031b	1978	29	38	13	257	17	0.0	0.0	0.0	0.0	257.0	17.0	81.0	8.0	176.0	9.0	0.342	1.02	24693.0	1662.5	1918.9	1955107503										
000a00031b	1977	32	37	13	246	19	0.0	0.0	0.0	0.0	246.0	19.0	107.0	9.0	139.0	10.0	0.351	1.08	24311.0	1544.4	1590.0	1955106794										
000a00031b	1976	28	38	15	261	28	0.0	0.0	0.0	0.0	261.0	28.0	103.0	11.0	158.0	17.0	0.395	0.99	23701.0	1109.1	1364.7	1955104724										
000a00031b	1975	13	54	27	372	40	0.0	0.0	0.0	0.0	372.0	40.0	114.0	17.0	258.0	23.0	0.5	1.24	39783.0	1511.8	1630.4	000a00588e										
000a00031b	1974	17	55	30	339	42	0.0	0.0	0.0	0.0	339.0	42.0	153.0	17.0	186.0	25.0	0.545	1.0	26589.5	1623.5	1488.0	1955103101										
000a00031b	1973	23	48	22	230	32	0.0	0.0	0.0	0.0	230.0	32.0	141.0	23.0	89.0	9.0	0.4579999999999999	0.98	21683.0	1452.2	1700.0	1955102493										
000a00031b	1972	10	50	31	378	54	0.0	0.0	0.0	0.0	378.0	54.0	231.0	29.0	147.0	25.0	0.62	1.49	30957.0	1451.7	1628.0	1955101733										
000a00031b	1971	36	53	26	305	36	0.0	0.0	0.0	0.0	305.0	36.0	243.0	27.0	62.0	9.0	0.491	0.76	15803.0	1381.5	1488.9	000a000b96										
000a00031b	1970	57	24	16	81	21	0.0	0.0	0.0	0.0	81.0	21.0	67.0	16.0	14.0	5.0	0.667	0.81	7005.5	1237.5	1100.0	1955101705										
000a00031b	1967	227	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.57	116.0	0.0	0.0	1963z00183										
000a00031b	1966	88	2	1	19	2	0.0	0.0	0.0	0.0	19.0	2.0	18.0	1.0	1.0	1.0	0.5	3.05	970.0	2000.0	1600.0	1963z00183										
