horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	勝利/ダート	重賞/出走	重賞/勝利	平場/出走
000a000e79	1985	661	1	0	1	0	0.0	0.0	0	0.0	1.0	0.0	0	0.0	1	0.0	0.0	0.14	93.0	0.0	0.0	1982105072							
000a000e79	1984	700	1	0	2	0	0.0	0.0	0	0.0	2.0	0.0	0	0.0	2	0.0	0.0	0.1	66.0	0.0	0.0	1982105072							
000a000e79	1981	722	1	0	3	0	0.0	0.0	0	0.0	3.0	0.0	3	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1978105974							
000a000e79	1975	394	1	1	2	1	0.0	0.0	0	0.0	2.0	1.0	1	0.0	1	1.0	1.0	1.16	690.0	0.0	1600.0	1971z00019							
000a000e79	1974	423	1	1	2	1	0.0	0.0	0	0.0	2.0	1.0	2	1.0	0	0.0	1.0	0.79	380.0	1800.0	0.0	1971z00019							
000a000e79	1973	486	1	1	1	1	0.0	0.0	0	0.0	1.0	1.0	1	1.0	0	0.0	1.0	0.39	180.0	1000.0	0.0	1971z00019							
000a0003ff	1991	296	5	1	27	1	0.0	0.0	12	1.0	15.0	0.0	18	1.0	9	0.0	0.2	0.59	2556.0	1600.0	0.0	1986103452							
000a0003ff	1990	260	9	1	40	1	1.0	0.0	17	1.0	22.0	0.0	23	1.0	10	0.0	0.111	0.38	2804.0	1600.0	0.0	1986102645							
000a0003ff	1989	101	17	9	100	12	11.0	0.0	23	3.0	66.0	9.0	57	7.0	34	4.0	0.529	1.02	13775.0	1928.6	1625.0	1986103472							
000a0003ff	1988	101	23	8	108	12	2.0	0.0	31	5.0	75.0	7.0	58	8.0	40	3.0	0.348	0.85	14993.0	1700.0	1733.3	1983106439							
000a0003ff	1987	51	28	8	200	14	9.0	0.0	48	7.0	143.0	7.0	103	9.0	83	5.0	0.286	1.27	26361.5	1777.8	1620.0	1982100320							
000a0003ff	1986	37	31	9	175	12	13.0	3.0	51	3.0	111.0	6.0	109	5.0	63	6.0	0.29	1.39	29786.0	2040.0	1566.7	1982100320							
000a0003ff	1985	36	45	16	281	27	0.0	0.0	0	0.0	281.0	27.0	0	0.0	281	27.0	0.356	1.01	30792.0	0.0	1803.7	1982106682							
000a0003ff	1984	10	57	25	437	37	0.0	0.0	0	0.0	437.0	37.0	0	0.0	437	37.0	0.439	1.21	46474.0	0.0	1761.9	1979103353							
000a0003ff	1983	21	53	26	389	33	0.0	0.0	0	0.0	389.0	33.0	0	0.0	389	33.0	0.491	0.96	34321.0	0.0	1684.9	1978103900							
000a0003ff	1982	15	66	27	415	40	0.0	0.0	0	0.0	415.0	40.0	23	1.0	392	39.0	0.409	0.87	39227.5	1000.0	1587.2	1978102721							
000a0003ff	1981	16	48	22	359	31	0.0	0.0	0	0.0	359.0	31.0	140	9.0	219	22.0	0.458	1.19	38671.0	1733.3	1595.5	1978101121							
000a0003ff	1980	10	47	28	347	41	0.0	0.0	0	0.0	347.0	41.0	197	28.0	150	13.0	0.596	1.36	41001.0	1542.9	1569.2	1977106316							
000a0003ff	1979	38	36	17	262	27	0.0	0.0	0	0.0	262.0	27.0	133	15.0	129	12.0	0.472	1.03	21841.0	1513.3	1650.0	1977103276							
000a0003ff	1978	141	17	6	65	8	0.0	0.0	0	0.0	65.0	8.0	34	7.0	31	1.0	0.353	0.57	6173.0	1200.0	1000.0	1955108490							
