horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	勝利/重賞	出走/特別	勝利/特別	平場/出走	勝利/平場	出走/芝	勝利/芝	出走/ダート	勝利/ダート	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a0016ec	2000	526	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1992190014.0
000a0016ec	1996	596	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	1993109976.0
000a0016ec	1995	537	2	0	9	0	0	0	0	0	9	0	6	0	3	0	0.0	0.24	410.0	0.0	0.0	1992110211.0
000a0016ec	1994	651	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1988106911.0
000a0016ec	1993	295	3	1	9	2	0	0	8	2	1	0	7	2	2	0	0.333	1.21	3200.0	1800.0	0.0	1989100488.0
000a0016ec	1992	367	1	1	12	1	0	0	11	0	1	1	11	0	1	1	1.0	2.14	1910.0	0.0	1200.0	1989100488.0
000a0016ec	1991	326	3	1	19	1	0	0	1	0	18	1	9	1	10	0	0.333	0.7	1835.0	1200.0	0.0	1987104687.0
000a0016ec	1990	369	1	0	8	0	0	0	3	0	5	0	3	0	5	0	0.0	1.29	1060.0	0.0	0.0	1987104687.0
000a0016ec	1989	414	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1.0	0.68	540.0	0.0	1200.0	1987104687.0
000a0016eb	2006	485	1	0	2	0	0	0	0	0	2	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	1998110247.0
000a0016eb	2005	354	3	0	18	0	0	0	16	0	2	0	10	0	8	0	0.0	0.41	821.5	0.0	0.0	1998110247.0
000a0016eb	2004	293	9	1	37	1	2	0	25	0	10	1	24	1	8	0	0.111	0.23	1415.0	1500.0	0.0	1998110247.0
000a0016eb	2003	123	15	4	81	4	9	0	49	1	23	3	54	2	20	1	0.267	0.96	10030.7	1400.0	1700.0	1997106450.0
000a0016eb	2002	94	23	5	139	6	11	0	78	4	50	2	102	4	35	2	0.217	0.97	16220.8	1950.0	1500.0	1998110209.0
000a0016eb	2001	20	37	13	251	20	29	2	102	9	120	9	191	19	52	1	0.35100000000000003	2.18	61687.1	1668.4	2300.0	1997110179.0
000a0016eb	2000	15	41	22	258	35	19	3	124	16	115	16	191	29	67	6	0.537	2.2	73474.7	1851.7	1600.0	1993109792.0
000a0016eb	1999	20	44	19	271	30	8	0	110	15	153	15	200	23	59	7	0.4320000000000001	1.59	58545.5	1908.7	1528.6	1995108970.0
000a0016eb	1998	21	53	17	294	26	12	2	92	13	190	11	233	22	57	4	0.321	1.34	61787.1	1572.7	1775.0	1994108619.0
000a0016eb	1997	23	39	16	199	27	12	2	57	10	130	15	161	27	38	0	0.41	1.56	53136.2	1644.4	0.0	1993110096.0
000a0016eb	1996	14	28	13	154	19	17	3	50	6	87	10	127	17	26	2	0.464	2.59	64032.4	1817.7	1200.0	1993109220.0
000a0016eb	1995	42	17	10	101	15	8	2	44	4	49	9	83	14	18	1	0.588	2.35	34780.4	1514.3	1200.0	1993109481.0
000a0016eb	1994	130	11	3	52	5	1	0	26	2	25	3	45	5	7	0	0.273	1.16	11002.2	1400.0	0.0	1991108430.0
000a0016eb	1993	35	14	9	83	14	6	3	26	3	51	8	75	14	8	0	0.643	3.47	42798.0	1628.6	0.0	1989108586.0
000a0016eb	1992	53	10	5	52	10	8	4	18	3	26	3	39	10	13	0	0.5	3.94	35261.0	1680.0	0.0	1989108586.0
000a0016eb	1991	128	5	4	30	8	2	0	9	3	19	5	25	7	5	1	0.8	2.57	11152.0	1542.9	1000.0	1988107948.0
000a0016eb	1990	350	2	2	10	2	0	0	3	0	7	2	8	2	2	0	1.0	0.77	1255.0	1850.0	0.0	1988101743.0
000a0016eb	1989	471	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0.0	0.18	140.0	0.0	0.0	1987106275.0
000a0015fc	2005	476	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	2000101797.0
000a0015fc	2004	419	1	0	5	0	0	0	3	0	2	0	4	0	1	0	0.0	0.35	235.0	0.0	0.0	2000101797.0
000a0015fc	2003	270	6	3	23	3	0	0	4	0	19	3	9	1	14	2	0.5	0.54	2280.0	1600.0	1800.0	1998110246.0
000a0015fc	2002	154	8	2	28	3	6	0	4	2	18	1	10	1	16	1	0.25	1.36	7922.7	1800.0	1700.0	1996110304.0
000a0015fc	2001	174	12	3	50	3	5	0	11	0	34	3	23	2	27	1	0.25	0.7	6412.6	1600.0	1800.0	1996110304.0
000a0015fc	2000	75	15	9	52	10	8	2	11	0	33	8	37	6	14	4	0.6	1.84	22491.1	1783.3	1725.0	1996110304.0
000a0015fc	1999	139	17	7	75	7	5	0	18	1	52	6	50	5	23	1	0.412	0.79	11327.0	1800.0	1000.0	1996110304.0
000a0015fc	1998	140	15	6	90	7	3	0	25	1	62	6	49	5	29	2	0.4	0.91	11914.2	1520.0	1500.0	1996110304.0
