horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝
1992109618	2021	319	1	0	2	0	0	0	2	0.0	0	0.0	0	0.0	2	0	0.0	0.0	0.0	0.0	0.0	2011106544.0			
1992109618	2020	337	2	0	6	0	0	0	6	0.0	0	0.0	0	0.0	5	0	0.0	0.15	182.0	0.0	0.0	2011106544.0			
1992109618	2019	141	3	1	10	2	2	1	8	1.0	0	0.0	1	0.0	5	0	0.333	2.73	5038.2	0.0	0.0	2011103690.0			
1992109618	2018	141	8	2	24	3	2	0	19	1.0	3	2.0	8	1.0	14	0	0.25	0.98	4895.3	1800.0	0.0	2011103690.0			
1992109618	2017	49	25	5	106	6	17	2	55	2.0	34	2.0	47	4.0	57	2	0.2	2.0	31214.2	2000.0	1550.0	2011103565.0			
1992109618	2016	29	51	11	226	12	31	1	109	4.0	86	7.0	113	4.0	107	8	0.21600000000000005	1.77	56138.4	1500.0	1531.3	2011103565.0			
1992109618	2015	15	84	24	419	31	32	3	200	14.0	187	14.0	231	17.0	186	14	0.28600000000000003	2.02	104276.4	1541.2	1550.0	2009100301.0			
1992109618	2014	9	191	49	911	66	67	7	255	14.0	589	45.0	447	37.0	459	29	0.257	1.45	168276.2	1621.6	1620.7	2011103565.0			
1992109618	2013	8	252	76	1120	102	65	4	304	30.0	751	68.0	554	54.0	552	47	0.302	1.27	191732.6	1585.2	1544.7	2009105023.0			
1992109618	2012	6	264	79	1198	103	60	5	301	29.0	837	69.0	612	50.0	570	50	0.299	1.26	196805.9	1628.0	1572.0	2008102652.0			
1992109618	2011	10	253	79	1092	95	68	2	289	28.0	735	65.0	592	59.0	494	35	0.312	1.29	200946.2	1545.8	1540.0	2008102652.0			
1992109618	2010	2	284	89	1262	119	76	9	304	23.0	882	87.0	686	64.0	563	53	0.313	1.4	247004.9	1653.1	1526.4	2003110212.0			
1992109618	2009	7	257	68	1171	98	72	5	334	26.0	765	67.0	636	56.0	498	40	0.265	1.31	211164.6	1546.4	1538.8	2003110212.0			
1992109618	2008	2	261	70	1243	94	84	7	361	26.0	798	61.0	694	47.0	530	47	0.268	1.46	240133.9	1540.4	1572.3	2003102667.0			
1992109618	2007	5	246	81	1192	112	71	4	317	27.0	804	81.0	599	58.0	567	53	0.329	1.35	217229.5	1646.6	1482.1	2002100677.0			
1992109618	2006	2	248	82	1174	115	76	7	282	27.0	816	81.0	576	50.0	574	63	0.331	1.58	257723.0	1582.0	1485.7	2003102720.0			
1992109618	2005	3	225	84	1113	114	60	3	263	28.0	790	83.0	580	55.0	522	58	0.373	1.38	206507.3	1494.6	1469.0	2002100978.0			
1992109618	2004	4	222	62	999	93	62	5	205	20.0	732	68.0	547	43.0	422	47	0.279	1.21	182488.1	1546.5	1410.6	1999101368.0			
1992109618	2003	7	154	55	711	72	52	2	225	16.0	434	54.0	453	48.0	239	22	0.35700000000000004	1.22	130914.4	1512.5	1518.2	1998102844.0			
1992109618	2002	5	142	45	712	71	64	3	185	22.0	463	46.0	369	38.0	332	33	0.317	1.46	151161.0	1557.9	1509.1	1997104966.0			
1992109618	2001	5	160	70	852	94	26	3	192	22.0	634	69.0	446	50.0	399	44	0.438	1.26	154509.2	1518.0	1490.9	1997105873.0			
1992109618	2000	6	147	51	761	75	31	5	102	12.0	628	58.0	364	35.0	393	39	0.34700000000000003	1.14	136617.2	1708.6	1400.0	1997105873.0			
1992109618	1999	31	86	36	407	43	6	0	56	4.0	345	39.0	209	22.0	198	21	0.419	0.69	49921.4	1486.4	1357.1	1996105004.0			
1992109618	1998	193	26	7	75	7	4	0	4	0.0	67	7.0	61	4.0	14	3	0.269	0.32	7211.0	1250.0	1333.3	1996102905.0			
1989108341	2020	306	3	0	16	0	4	0	12	0.0	0	0.0	14	0.0	2	0	0.0	0.28	520.0	0.0	0.0	2012100518.0			
1989108341	2019	123	4	2	18	3	3	0	14	3.0	1	0.0	14	2.0	4	1	0.5	2.77	6836.3	1200.0	1200.0	2012100518.0			
1989108341	2018	106	16	2	56	2	7	0	37	1.0	12	1.0	36	1.0	17	0	0.125	0.9	9014.0	1400.0	0.0	2012100582.0			
1989108341	2017	66	31	6	142	11	7	0	93	8.0	42	3.0	98	8.0	31	2	0.194	1.3	25149.6	1300.0	1200.0	2012101013.0			
1989108341	2016	20	53	20	280	25	25	4	148	11.0	107	10.0	185	20.0	89	5	0.377	2.46	81069.7	1260.0	1190.0	2011103328.0			
1989108341	2015	17	94	31	485	47	40	2	168	17.0	277	28.0	306	34.0	147	11	0.33	1.58	91108.5	1229.4	1163.6	2011103328.0			
1989108341	2014	13	165	62	779	81	49	2	227	19.0	503	60.0	431	48.0	328	26	0.376	1.2	120931.0	1310.4	1265.4	2007100575.0			
1989108341	2013	16	181	37	782	46	44	2	249	14.0	489	30.0	452	33.0	315	12	0.204	0.84	90912.3	1321.2	1145.8	2009103307.0			
1989108341	2012	12	221	49	955	69	62	2	294	32.0	599	35.0	570	44.0	364	25	0.222	1.12	146479.7	1300.0	1210.0	2008103388.0			
1989108341	2011	11	239	73	1122	97	51	3	367	31.0	704	63.0	669	54.0	438	42	0.305	1.27	186988.3	1266.7	1242.9	2008103388.0			
1989108341	2010	8	245	86	1156	107	56	7	338	26.0	762	74.0	673	73.0	457	32	0.35100000000000003	1.32	200961.1	1258.9	1184.4	2008103388.0			
1989108341	2009	9	239	69	1106	93	55	2	371	27.0	680	64.0	732	63.0	351	30	0.289	1.08	162942.6	1285.7	1245.0	2004106028.0			
1989108341	2008	5	241	77	1143	104	44	3	371	28.0	728	73.0	694	64.0	429	38	0.32	1.24	188543.2	1253.1	1226.3	2004106028.0			
1989108341	2007	7	232	82	1140	103	48	2	352	33.0	740	68.0	660	68.0	450	35	0.353	1.21	184070.8	1292.7	1271.4	2004106028.0			
1989108341	2006	5	250	88	1215	118	57	5	341	35.0	817	78.0	698	67.0	483	50	0.35200000000000004	1.33	217475.0	1264.2	1271.0	2000102386.0			
1989108341	2005	5	208	74	939	100	37	2	297	38.0	605	60.0	586	75.0	319	24	0.35600000000000004	1.31	181707.1	1293.3	1243.8	2000102386.0			
1989108341	2004	5	175	63	864	79	49	3	285	18.0	530	58.0	524	46.0	303	27	0.36	1.32	157552.6	1317.4	1231.5	1997103718.0			
1989108341	2003	5	166	62	922	92	42	3	311	29.0	569	60.0	533	53.0	349	34	0.373	1.52	176573.1	1277.4	1255.9	2000102386.0			
1989108341	2002	6	149	58	788	75	29	3	221	17.0	538	55.0	430	46.0	350	29	0.389	1.28	139324.4	1256.5	1234.5	1998102595.0			
1989108341	2001	9	128	46	657	59	18	0	155	15.0	484	44.0	363	38.0	287	21	0.359	0.99	97181.2	1347.4	1304.8	1998106048.0			
1989108341	2000	12	107	53	609	70	10	0	146	13.0	453	57.0	288	38.0	321	32	0.495	1.1	95766.7	1318.4	1234.4	1996104001.0			
