着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	5	5	1.0	1.0	1982503021	牡	5	514.0	12.0	56.0	108.3	0	3-1-1	53.1	632	143	312005	470.0	198605010101
2	3	3	3.9	2.0	1983502673	牡	4	446.0	2.0	53.0	110.0	大	6-4-2	54.2	501	141	342800	190.0	198605010101
3	4	4	42.1	4.0	1982500899	牝	5	432.0	4.0	54.0	111.5	9	2-2-2	56.3	186	325	400009	120.0	198605010101
4	2	2	61.4	6.0	1983500236	牝	4	450.0	2.0	48.0	113.6	大	3-5-5	57.4	641	257	747009	71.0	198605010101
5	1	1	50.9	5.0	1983500330	牝	4	440.0	6.0	51.0	114.1	3	5-6-6	57.7	573	257	442800	47.0	198605010101
6	6	6	31.8	3.0	1983500216	牝	4	406.0	0.0	48.0	115.7	10	1-3-4	60.1	647	106	471800	0.0	198605010101
1	7	10	2.5	1.0	1983101021	牝	4	446.0	10.0	53.0	74.3	0	1-1	49.9	229	149	975004	390.0	198605010102
2	4	4	4.0	2.0	1983105220	牡	4	438.0	-6.0	55.0	74.4	1/2	4-4	49.6	566	268	350009	160.0	198605010102
3	2	2	4.3	3.0	1983103613	牝	4	494.0	-8.0	53.0	76.2	大	6-6	50.9	502	107	336005	98.0	198605010102
4	3	3	49.5	8.0	1983106528	牡	4	436.0	6.0	55.0	76.3	1/2	5-5	51.3	503	321	376004	59.0	198605010102
5	8	12	5.9	4.0	1983107185	牡	4	474.0	-2.0	55.0	76.4	クビ	2-2	51.9	299	319	51800	39.0	198605010102
6	1	1	8.9	5.0	1983106921	牡	4	448.0	-4.0	55.0	77.0	3.1/2	3-3	52.3	140	228	255001	0.0	198605010102
7	5	5	29.8	7.0	1983103664	牡	4	426.0	-2.0	55.0	77.1	3/4	10-9	51.6	249	121	336005	0.0	198605010102
8	5	6	63.0	11.0	1983102140	牡	4	490.0	0.0	55.0	77.1	クビ	8-11	51.7	501	141	940004	0.0	198605010102
9	6	8	18.8	6.0	1983100400	牡	4	462.0	-2.0	55.0	77.2	クビ	12-11	51.2	189	364	827005	0.0	198605010102
10	6	7	96.7	12.0	1983105228	牡	4	468.0	-6.0	55.0	77.3	クビ	8-7	51.9	159	133	35009	0.0	198605010102
11	7	9	61.4	10.0	1983106676	牝	4	436.0	2.0	52.0	78.1	5	10-10	52.6	630	164	177009	0.0	198605010102
12	8	11	60.0	9.0	1983101976	セ	4	458.0	2.0	55.0	78.3	1.1/4	6-8	53.0	286	317	261009	0.0	198605010102
1	5	5	1.4	1.0	1983100779	牝	4	476.0	0.0	53.0	102.3	0	2-1	52.6	503	136	985003	390.0	198605010103
2	6	6	5.9	2.0	1983102611	牝	4	460.0	0.0	53.0	102.7	2.1/2	6-5	52.5	299	319	953001	160.0	198605010103
3	2	2	7.4	4.0	1983102556	牝	4	418.0	-4.0	53.0	103.1	2.1/2	4-4	53.2	187	322	607001	98.0	198605010103
4	4	4	6.4	3.0	1983101328	牝	4	474.0	-8.0	53.0	103.2	1/2	3-2	53.4	624	207	127004	59.0	198605010103
5	7	7	36.0	6.0	1983102904	牝	4	432.0	-2.0	51.0	103.7	3	6-6	53.5	629	198	748009	39.0	198605010103
6	3	3	65.4	9.0	1983200058	牝	4	442.0	-2.0	53.0	103.9	1.1/4	1-3	54.3	186	325	791009	0.0	198605010103
7	1	1	25.6	5.0	1983105494	牝	4	408.0	0.0	53.0	105.8	大	4-6	55.9	285	168	186001	0.0	198605010103
8	8	9	49.2	8.0	1983105433	牝	4	430.0	6.0	53.0	106.4	3.1/2	6-6	56.2	397	228	815001	0.0	198605010103
9	8	8	39.5	7.0	1983106970	牝	4	440.0	-6.0	53.0	106.6	1.1/4	6-6	56.4	609	270	88004	0.0	198605010103
1	3	5	3.7	2.0	1983106976	牡	4	494.0	0.0	55.0	101.1	0	4-3	52.0	140	299	861004	480.0	198605010104
2	5	9	2.0	1.0	1983103900	牝	4	514.0	0.0	53.0	101.4	1.3/4	2-2	52.7	299	323	498800	190.0	198605010104
3	2	3	15.6	4.0	1983102523	牡	4	526.0	0.0	55.0	102.3	5	13-10	51.7	621	280	400004	120.0	198605010104
4	6	11	3.9	3.0	1983104557	牡	4	494.0	0.0	55.0	102.4	クビ	7-6	52.7	502	107	804001	72.0	198605010104
5	6	10	138.7	14.0	1983104854	牡	4	454.0	0.0	53.0	102.6	1.1/2	3-3	53.7	633	305	613005	48.0	198605010104
6	1	1	16.0	5.0	1983104624	牝	4	464.0	0.0	53.0	103.0	2.1/2	1-1	54.3	503	240	781005	0.0	198605010104
7	3	4	82.8	11.0	1983103861	牡	4	482.0	0.0	55.0	103.3	1.3/4	14-12	52.5	522	239	852005	0.0	198605010104
8	4	7	95.9	12.0	1983102095	牡	4	498.0	0.0	55.0	103.9	3.1/2	11-8	53.6	559	317	297001	0.0	198605010104
9	7	12	58.1	10.0	1983100218	牡	4	468.0	0.0	55.0	104.1	1.1/2	7-9	54.4	189	291	564004	0.0	198605010104
