	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198701010101	ダ	右	1500	曇	稍重	10:45	4歳以上300万下		1987-6-13	1	札幌	1	4歳以上300万下	[抽](馬齢)	1	280	2	1	110	1	2	160	3	1-2	430	1																							6.8 - 12.3 - 11.8 - 12.0 - 12.6 - 12.9 - 13.8 - 13.8	6.8 - 19.1 - 30.9 - 42.9 - 55.5 - 68.4 - 82.2 - 96.0 (6.8-6.8)			
198701010102	ダ	右	1800	曇	稍重	11:15	4歳未勝利		1987-6-13	1	札幌	1	4歳未勝利	(馬齢)	4	1670	5	4	910	6	1	290	3	1-4	3750	12																							13.0 - 13.1 - 13.1 - 12.4 - 12.1 - 12.6 - 12.9 - 12.9 - 13.4	13.0 - 26.1 - 39.2 - 51.6 - 63.7 - 76.3 - 89.2 - 102.1 - 115.5 (13.0-13.0)			
198701010103	ダ	右	1500	曇	稍重	11:45	4歳未勝利		1987-6-13	1	札幌	1	4歳未勝利	(父)(馬齢)	3	740	3	3	300	3	5	400	4	3-5	2070	11																							6.9 - 12.6 - 12.6 - 12.2 - 12.5 - 12.2 - 13.4 - 12.7	6.9 - 19.5 - 32.1 - 44.3 - 56.8 - 69.0 - 82.4 - 95.1 (6.9-6.9)			
198701010104	ダ	右	1000	曇	稍重	12:45	3歳新馬		1987-6-13	1	札幌	1	3歳新馬	(父)(馬齢)	4	1890	7	4	220	6	3	100	1	3-4	1280	5																							12.6 - 11.3 - 11.9 - 13.0 - 13.0	12.6 - 23.9 - 35.8 - 48.8 - 61.8 (12.6-12.6)	1.0	200.0	4.0
198701010105	ダ	右	1500	曇	稍重	13:15	4歳未勝利		1987-6-13	1	札幌	1	4歳未勝利	(馬齢)	8	350	2	8	150	2	9	200	4	6-7	660	2																							6.5 - 11.8 - 11.3 - 11.9 - 12.4 - 12.7 - 13.7 - 13.7	6.5 - 18.3 - 29.6 - 41.5 - 53.9 - 66.6 - 80.3 - 94.0 (6.5-6.5)	10.0	300.0	6.0
198701010106	ダ	右	1800	曇	稍重	13:50	4歳以上400万下		1987-6-13	1	札幌	1	4歳以上400万下	(父)(馬齢)	6	350	1	6	150	1	1	400	8	1-6	2260	11																							13.0 - 12.0 - 11.9 - 11.9 - 11.8 - 12.5 - 13.0 - 13.4 - 12.8	13.0 - 25.0 - 36.9 - 48.8 - 60.6 - 73.1 - 86.1 - 99.5 - 112.3 (13.0-13.0)	5.0	240.0	5.0
198701010107	ダ	右	1200	曇	稍重	14:25	4歳以上400万下		1987-6-13	1	札幌	1	4歳以上400万下	(馬齢)	8	370	2	8	180	2	10	410	5	6-7	2990	12																							12.8 - 10.6 - 11.4 - 12.0 - 13.0 - 13.3	12.8 - 23.4 - 34.8 - 46.8 - 59.8 - 73.1 (12.8-12.8)	3.0	350.0	4.0
198701010108	ダ	右	1500	曇	稍重	15:00	ニセコ特別 		1987-6-13	1	札幌	1	4歳以上400万下	(馬齢)	4	790	4	4	200	4	1	140	1	1-4	1370	6																							6.5 - 12.1 - 11.4 - 11.4 - 11.9 - 12.3 - 12.9 - 12.7	6.5 - 18.6 - 30.0 - 41.4 - 53.3 - 65.6 - 78.5 - 91.2 (6.5-6.5)	2.0	320.0	8.0
198701010109	ダ	右	2000	曇	稍重	15:35	白樺賞 		1987-6-13	1	札幌	1	4歳以上900万下	(別定)	5	500	2	5	170	2	2	190	3	2-4	1460	8																							12.9 - 11.9 - 12.8 - 12.9 - 12.6 - 11.9 - 12.1 - 12.1 - 12.8 - 12.2	12.9 - 24.8 - 37.6 - 50.5 - 63.1 - 75.0 - 87.1 - 99.2 - 112.0 - 124.2 (12.9-12.9)	8.0	210.0	4.0
198701010110	ダ	右	1200	曇	稍重	16:10	4歳以上400万下		1987-6-13	1	札幌	1	4歳以上400万下	(馬齢)	2	190	1	2	130	1	9	400	8	2-6	550	2																							12.7 - 10.6 - 11.4 - 12.0 - 12.4 - 13.0	12.7 - 23.3 - 34.7 - 46.7 - 59.1 - 72.1 (12.7-12.7)	12.0	160.0	2.0
