	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198702010101	芝	右	1200	雨	重	10:45	4歳以上オープン		1987-8-8	1	函館	1	4歳以上オープン	[抽](別定)	8	270	2	8	110	1	3	130	3	4.0	140.0	4.0	3-8	290	1																							12.8 - 10.7 - 11.7 - 12.3 - 12.4 - 12.4	12.8 - 23.5 - 35.2 - 47.5 - 59.9 - 72.3 (12.8-12.8)
198702010102	芝	右	1000	雨	重	11:15	3歳新馬		1987-8-8	1	函館	1	3歳新馬	(父)(馬齢)	5	100	1	5	100	1	3	160	3				3-5	200	1																							12.4 - 10.7 - 11.8 - 12.3 - 12.3	12.4 - 23.1 - 34.9 - 47.2 - 59.5 (12.4-12.4)
198702010103	芝	右	1200	雨	重	11:45	3歳新馬		1987-8-8	1	函館	1	3歳新馬	(馬齢)	7	380	2	7	280	3	4	310	4				4-7	1340	6																							12.5 - 10.9 - 11.2 - 12.3 - 12.8 - 12.6	12.5 - 23.4 - 34.6 - 46.9 - 59.7 - 72.3 (12.5-12.5)
198702010104	ダ	右	1700	雨	重	12:45	4歳未勝利		1987-8-8	1	函館	1	4歳未勝利	(馬齢)	5	300	2	5	140	2	2	130	1	10.0	180.0	4.0	2-5	400	1																							7.2 - 11.0 - 12.1 - 12.9 - 12.7 - 12.3 - 13.3 - 14.0 - 13.4	7.2 - 18.2 - 30.3 - 43.2 - 55.9 - 68.2 - 81.5 - 95.5 - 108.9 (7.2-7.2)
198702010105	芝	右	1200	雨	重	13:15	4歳未勝利		1987-8-8	1	函館	1	4歳未勝利	(馬齢)	8	410	2	8	190	2	3	920	12	11.0	200.0	3.0	3-5	2320	11																							12.5 - 10.7 - 11.3 - 12.2 - 12.7 - 12.7	12.5 - 23.2 - 34.5 - 46.7 - 59.4 - 72.1 (12.5-12.5)
198702010106	ダ	右	1700	曇	重	13:50	4歳以上400万下		1987-8-8	1	函館	1	4歳以上400万下	(父)(馬齢)	8	480	2	8	130	2	7	140	3	5.0	110.0	1.0	7-8	1200	5																							7.2 - 11.1 - 11.9 - 12.4 - 12.2 - 11.9 - 12.8 - 13.4 - 13.1	7.2 - 18.3 - 30.2 - 42.6 - 54.8 - 66.7 - 79.5 - 92.9 - 106.0 (7.2-7.2)
198702010107	芝	右	1800	曇	重	14:25	4歳以上400万下		1987-8-8	1	函館	1	4歳以上400万下	(馬齢)	8	180	1	8	140	1	5	570	9	10.0	290.0	6.0	5-6	900	4																							12.7 - 11.6 - 11.4 - 12.4 - 12.0 - 12.2 - 12.5 - 12.9 - 12.2	12.7 - 24.3 - 35.7 - 48.1 - 60.1 - 72.3 - 84.8 - 97.7 - 109.9 (12.7-12.7)
198702010108	芝	右	2000	曇	重	15:00	湯川特別 		1987-8-8	1	函館	1	4歳以上400万下	(馬齢)	5	660	3	5	260	4	8	520	9	1.0	450.0	7.0	5-7	2150	10																							13.1 - 11.3 - 12.0 - 12.4 - 12.8 - 12.3 - 12.2 - 12.7 - 12.7 - 12.3	13.1 - 24.4 - 36.4 - 48.8 - 61.6 - 73.9 - 86.1 - 98.8 - 111.5 - 123.8 (13.1-13.1)
198702010109	芝	右	1800	雨	重	15:35	長万部特別 		1987-8-8	1	函館	1	4歳以上900万下	(ハンデ)	7	430	2	7	170	2	4	240	7	3.0	200.0	3.0	4-7	1680	10																							12.7 - 11.3 - 11.7 - 12.0 - 11.5 - 12.2 - 12.9 - 13.3 - 12.4	12.7 - 24.0 - 35.7 - 47.7 - 59.2 - 71.4 - 84.3 - 97.6 - 110.0 (12.7-12.7)
198702010201	ダ	右	1000	曇	不良	10:15	4歳未勝利		1987-8-9	1	函館	2	4歳未勝利	(父)(馬齢)	3	2060	5	3	550	4	5	180	2				3-5	2110	5																							12.7 - 10.9 - 12.0 - 12.5 - 12.5	12.7 - 23.6 - 35.6 - 48.1 - 60.6 (12.7-12.7)
198702010202	芝	右	1800	曇	不良	10:45	4歳未勝利		1987-8-9	1	函館	2	4歳未勝利	(馬齢)	4	450	3	4	180	3	7	470	9	11.0	140.0	1.0	4-5	660	3																							12.6 - 12.2 - 12.0 - 12.7 - 12.3 - 12.6 - 13.4 - 12.9 - 12.3	12.6 - 24.8 - 36.8 - 49.5 - 61.8 - 74.4 - 87.8 - 100.7 - 113.0 (12.6-12.6)
