	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198703010101	芝	右	2000	雨	稍重	10:00	4歳未勝利		1987-6-20	1	福島	1	4歳未勝利	(馬齢)	8	270	2	8	130	2	4	110	1	6.0	200.0	6.0	4-8	380	1																							12.7 - 11.1 - 11.2 - 13.7 - 13.6 - 12.5 - 12.0 - 12.0 - 12.1 - 12.7	12.7 - 23.8 - 35.0 - 48.7 - 62.3 - 74.8 - 86.8 - 98.8 - 110.9 - 123.6 (12.7-12.7)
198703010102	芝	右	1700	雨	稍重	10:25	4歳未勝利		1987-6-20	1	福島	1	4歳未勝利	牝(馬齢)	8	1200	4	8	190	4	3	110	1	2.0	380.0	7.0	3-8	600	3																							7.1 - 11.3 - 12.7 - 12.8 - 12.2 - 12.5 - 12.4 - 12.3 - 12.5	7.1 - 18.4 - 31.1 - 43.9 - 56.1 - 68.6 - 81.0 - 93.3 - 105.8 (7.1-7.1)
198703010103	芝	右	1800	雨	稍重	10:50	4歳未勝利		1987-6-20	1	福島	1	4歳未勝利	(馬齢)	9	850	5	9	250	3	1	380	7	8.0	260.0	4.0	1-8	4010	18																							12.5 - 11.4 - 12.8 - 13.1 - 12.2 - 12.7 - 12.8 - 12.4 - 13.0	12.5 - 23.9 - 36.7 - 49.8 - 62.0 - 74.7 - 87.5 - 99.9 - 112.9 (12.5-12.5)
198703010104	芝	右	1700	雨	重	11:20	4歳未勝利		1987-6-20	1	福島	1	4歳未勝利	牝(馬齢)	7	180	1	7	120	1	6	580	9	5.0	170.0	3.0	6-7	3240	13																							6.8 - 11.7 - 13.3 - 13.7 - 12.6 - 12.1 - 11.8 - 12.6 - 13.1	6.8 - 18.5 - 31.8 - 45.5 - 58.1 - 70.2 - 82.0 - 94.6 - 107.7 (6.8-6.8)
198703010105	障		2800	雨	不良	11:50	障害4歳以上未勝利		1987-6-20	1	福島	1	障害4歳以上未勝利	(馬齢)	4	620	4	4	180	5	5	130	1	3.0	160.0	2.0	4-5	1010	3																								
198703010106	ダ	右	1700	雨	不良	12:50	4歳未勝利		1987-6-20	1	福島	1	4歳未勝利	(馬齢)	2	710	3	2	180	3	3	120	2	6.0	200.0	4.0	2-3	870	4																							7.0 - 11.1 - 11.8 - 12.1 - 12.5 - 12.3 - 12.5 - 13.5 - 13.0	7.0 - 18.1 - 29.9 - 42.0 - 54.5 - 66.8 - 79.3 - 92.8 - 105.8 (7.0-7.0)
198703010107	芝	右	1700	雨	不良	13:25	4歳400万下		1987-6-20	1	福島	1	4歳400万下	(馬齢)	4	440	2	4	140	1	6	160	2	10.0	170.0	3.0	4-6	820	1																							7.1 - 11.5 - 11.7 - 12.6 - 12.0 - 12.3 - 12.9 - 12.9 - 12.9	7.1 - 18.6 - 30.3 - 42.9 - 54.9 - 67.2 - 80.1 - 93.0 - 105.9 (7.1-7.1)
198703010108	芝	右	1800	雨	不良	14:00	グラジオラス賞 		1987-6-20	1	福島	1	4歳400万下	(馬齢)	5	130	1	5	100	1	2	180	3				2-5	360	2																							12.8 - 11.1 - 13.6 - 13.3 - 12.1 - 12.1 - 12.2 - 12.4 - 12.8	12.8 - 23.9 - 37.5 - 50.8 - 62.9 - 75.0 - 87.2 - 99.6 - 112.4 (12.8-12.8)
198703010110	芝	右	2000	雨	不良	15:10	マーガレット賞 		1987-6-20	1	福島	1	4歳900万下	(混)(馬齢)	5	220	1	5	120	1	7	160	2				5-7	360	1																							12.6 - 12.1 - 12.4 - 13.5 - 13.6 - 12.8 - 12.5 - 12.4 - 12.1 - 12.7	12.6 - 24.7 - 37.1 - 50.6 - 64.2 - 77.0 - 89.5 - 101.9 - 114.0 - 126.7 (12.6-12.6)
198703010201	芝	右	1000	曇	不良	10:00	3歳未勝利		1987-6-21	1	福島	2	3歳未勝利	[抽](馬齢)	7	250	1	7	110	1	9	110	2	3.0	110.0	3.0	7-8	340	1																							12.6 - 11.3 - 12.4 - 12.2 - 12.4	12.6 - 23.9 - 36.3 - 48.5 - 60.9 (12.6-12.6)
