	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198710010101	芝	右	2000	晴	良	10:10	4歳以上オープン		1987-1-31	1	小倉	1	4歳以上オープン	[抽](別定)	10	1780	8	10	230	5	7	170	2	1.0	190.0	3.0	6-8	2050	11																							12.6 - 11.2 - 12.9 - 12.6 - 12.4 - 12.0 - 12.4 - 12.0 - 13.0 - 12.0	12.6 - 23.8 - 36.7 - 49.3 - 61.7 - 73.7 - 86.1 - 98.1 - 111.1 - 123.1 (12.6-12.6)
198710010102	芝	右	2000	晴	良	10:35	4歳未勝利		1987-1-31	1	小倉	1	4歳未勝利	(馬齢)	16	190	1	16	120	1	7	570	9	9.0	340.0	5.0	4-8	1050	5																							12.4 - 11.2 - 12.4 - 12.2 - 12.4 - 13.0 - 12.6 - 12.5 - 12.8 - 12.4	12.4 - 23.6 - 36.0 - 48.2 - 60.6 - 73.6 - 86.2 - 98.7 - 111.5 - 123.9 (12.4-12.4)
198710010103	芝	右	1200	晴	良	11:00	4歳新馬		1987-1-31	1	小倉	1	4歳新馬	(馬齢)	5	250	1	5	140	2	14	620	8	12.0	350.0	5.0	3-7	3090	10																							12.3 - 10.9 - 11.7 - 11.9 - 12.6 - 12.2	12.3 - 23.2 - 34.9 - 46.8 - 59.4 - 71.6 (12.3-12.3)
198710010104	芝	右	1800	晴	良	11:25	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	(父)(馬齢)	9	210	1	9	140	1	6	170	2	15.0	600.0	10.0	3-5	500	1																							12.2 - 11.7 - 12.0 - 12.3 - 12.5 - 12.7 - 11.8 - 12.5 - 11.8	12.2 - 23.9 - 35.9 - 48.2 - 60.7 - 73.4 - 85.2 - 97.7 - 109.5 (12.2-12.2)
198710010105	ダ	右	1000	晴	良	11:50	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	牝(馬齢)	3	870	4	3	240	3	2	440	7	7.0	260.0	4.0	2-3	2910	10																							12.6 - 11.2 - 12.0 - 13.2 - 12.7	12.6 - 23.8 - 35.8 - 49.0 - 61.7 (12.6-12.6)
198710010106	芝	右	2000	晴	良	12:50	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	(馬齢)	15	1510	8	15	410	7	16	190	3	11.0	120.0	1.0	8-8	3420	17																							12.6 - 11.2 - 13.4 - 13.0 - 12.6 - 12.5 - 12.4 - 11.4 - 12.4 - 11.8	12.6 - 23.8 - 37.2 - 50.2 - 62.8 - 75.3 - 87.7 - 99.1 - 111.5 - 123.3 (12.6-12.6)
198710010107	芝	右	1200	晴	良	13:20	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	(馬齢)	6	13860	15	6	1,480	15	15	400	6	7.0	210.0	2.0	3-8	11420	27																							12.1 - 10.8 - 11.5 - 11.5 - 12.5 - 11.5	12.1 - 22.9 - 34.4 - 45.9 - 58.4 - 69.9 (12.1-12.1)
198710010108	芝	右	1800	晴	良	13:50	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	(馬齢)	10	330	2	10	130	1	3	450	8	6.0	210.0	3.0	2-5	1480	7																							12.0 - 11.5 - 11.8 - 12.4 - 12.3 - 12.6 - 11.9 - 13.4 - 12.0	12.0 - 23.5 - 35.3 - 47.7 - 60.0 - 72.6 - 84.5 - 97.9 - 109.9 (12.0-12.0)
198710010109	芝	右	1200	晴	良	14:25	4歳以上400万下		1987-1-31	1	小倉	1	4歳以上400万下	(馬齢)	5	1290	6	5	570	10	15	150	1	2.0	250.0	3.0	3-8	1380	5																							12.1 - 11.0 - 11.6 - 11.9 - 12.8 - 11.7	12.1 - 23.1 - 34.7 - 46.6 - 59.4 - 71.1 (12.1-12.1)
198710010110	芝	右	1800	晴	良	15:00	あすなろ賞 		1987-1-31	1	小倉	1	4歳400万下	(馬齢)	11	150	1	11	120	1	1	450	9	3.0	300.0	5.0	1-8	1130	5																							12.3 - 12.2 - 12.6 - 12.8 - 12.5 - 11.9 - 11.4 - 12.6 - 11.7	12.3 - 24.5 - 37.1 - 49.9 - 62.4 - 74.3 - 85.7 - 98.3 - 110.0 (12.3-12.3)
