	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198802010101	芝	右	1000	晴	良	10:45	3歳新馬		1988-8-6	1	函館	1	3歳新馬	牝(馬齢)	1	3600	7	1.0	1,240	7.0	2.0	160.0	1.0	1-2	3180	13																							12.1 - 10.8 - 11.5 - 12.1 - 11.9	12.1 - 22.9 - 34.4 - 46.5 - 58.4 (12.1-12.1)			
198802010102	芝	右	1200	晴	良	11:15	3歳新馬		1988-8-6	1	函館	1	3歳新馬	(馬齢)	2	150	1	2.0	110	1.0	1.0	250.0	4.0	1-2	1180	5																							12.6 - 10.9 - 11.5 - 12.3 - 12.4 - 12.0	12.6 - 23.5 - 35.0 - 47.3 - 59.7 - 71.7 (12.6-12.6)			
198802010103	ダ	右	1000	晴	良	11:45	4歳未勝利		1988-8-6	1	函館	1	4歳未勝利	牝(馬齢)	2	540	3	2.0	180	3.0	1.0	130.0	1.0	1-2	630	2																							12.4 - 11.3 - 12.3 - 12.4 - 13.0	12.4 - 23.7 - 36.0 - 48.4 - 61.4 (12.4-12.4)	10.0	230.0	4.0
198802010104	芝	右	1800	晴	良	12:45	4歳未勝利		1988-8-6	1	函館	1	4歳未勝利	(馬齢)	6	1090	7	6.0	280	7.0	4.0	140.0	1.0	4-6	1210	5																							12.1 - 10.7 - 12.2 - 12.3 - 12.3 - 12.4 - 12.6 - 12.4 - 12.3	12.1 - 22.8 - 35.0 - 47.3 - 59.6 - 72.0 - 84.6 - 97.0 - 109.3 (12.1-12.1)	1.0	210.0	4.0
198802010105	芝	右	1800	曇	良	13:15	4歳未勝利		1988-8-6	1	函館	1	4歳未勝利	(馬齢)	7	380	2	7.0	170	2.0	6.0	370.0	5.0	6-7	1760	8																							12.6 - 11.8 - 12.4 - 12.9 - 12.8 - 12.6 - 12.5 - 11.8 - 12.0	12.6 - 24.4 - 36.8 - 49.7 - 62.5 - 75.1 - 87.6 - 99.4 - 111.4 (12.6-12.6)	2.0	490.0	7.0
198802010106	芝	右	1800	曇	良	13:50	4歳以上400万下		1988-8-6	1	函館	1	4歳以上400万下	(馬齢)	6	160	1	6.0	100	1.0	7.0	110.0	2.0	6-7	200	1																							12.5 - 10.9 - 11.4 - 11.9 - 11.7 - 12.1 - 12.4 - 12.6 - 12.4	12.5 - 23.4 - 34.8 - 46.7 - 58.4 - 70.5 - 82.9 - 95.5 - 107.9 (12.5-12.5)	1.0	210.0	6.0
198802010107	芝	右	1200	曇	良	14:25	津軽海峡特別 		1988-8-6	1	函館	1	4歳以上900万下	(ハンデ)	1	810	3	1.0	260	3.0	6.0	130.0	1.0	1-6	720	3																							12.4 - 10.7 - 11.2 - 11.5 - 11.6 - 11.7	12.4 - 23.1 - 34.3 - 45.8 - 57.4 - 69.1 (12.4-12.4)			
198802010108	ダ	右	1700	曇	良	15:00	陸奥湾特別 		1988-8-6	1	函館	1	4歳以上400万下	(馬齢)	8	400	1	8.0	180	2.0	3.0	370.0	8.0	3-6	4310	21																							6.8 - 11.2 - 11.8 - 12.8 - 12.9 - 12.6 - 13.3 - 13.7 - 13.6	6.8 - 18.0 - 29.8 - 42.6 - 55.5 - 68.1 - 81.4 - 95.1 - 108.7 (6.8-6.8)	4.0	250.0	5.0
198802010109	芝	右	1800	曇	良	15:35	青函博記念 		1988-8-6	1	函館	1	4歳以上900万下	(別定)	1	160	1	1.0	120	1.0	6.0	130.0	2.0	1-6	400	1																							12.3 - 11.2 - 11.9 - 12.2 - 12.1 - 12.1 - 11.9 - 11.7 - 11.9	12.3 - 23.5 - 35.4 - 47.6 - 59.7 - 71.8 - 83.7 - 95.4 - 107.3 (12.3-12.3)	3.0	400.0	7.0
198802010201	芝	右	1700	曇	良	10:15	4歳以上オープン		1988-8-7	1	函館	2	4歳以上オープン	[抽](別定)	4	670	3	4.0	210	3.0	2.0	110.0	1.0	2-4	510	2																							7.2 - 11.9 - 12.5 - 12.9 - 12.5 - 12.2 - 12.3 - 12.1 - 11.9	7.2 - 19.1 - 31.6 - 44.5 - 57.0 - 69.2 - 81.5 - 93.6 - 105.5 (7.2-7.2)			
