	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198805010101	ダ	左	1400	晴	良	10:00	4歳以上300万下		1988-1-30	1	東京	1	4歳以上300万下	[抽](馬齢)	8	260	2	8	110	2	4	160	3	6.0	100	1.0	4-8	1840	8																							13.5 - 11.7 - 12.0 - 13.1 - 13.4 - 13.3 - 13.1	13.5 - 25.2 - 37.2 - 50.3 - 63.7 - 77.0 - 90.1 (13.5-13.5)
198805010102	ダ	左	1200	晴	良	10:25	4歳未勝利		1988-1-30	1	東京	1	4歳未勝利	(抽)(市)(馬齢)	10	190	1	10	110	1	9	130	3	7.0	110	2.0	8-8	460	2																							13.1 - 11.2 - 12.1 - 12.4 - 12.5 - 13.2	13.1 - 24.3 - 36.4 - 48.8 - 61.3 - 74.5 (13.1-13.1)
198805010103	ダ	左	1400	晴	良	10:50	4歳未勝利		1988-1-30	1	東京	1	4歳未勝利	(馬齢)	7	440	3	7	180	2	10	1,120	8	1.0	270	4.0	7-8	1500	7																							13.0 - 11.4 - 11.6 - 12.5 - 12.7 - 13.6 - 13.0	13.0 - 24.4 - 36.0 - 48.5 - 61.2 - 74.8 - 87.8 (13.0-13.0)
198805010104	ダ	左	1400	晴	良	11:15	4歳新馬		1988-1-30	1	東京	1	4歳新馬	(父)(馬齢)	11	130	1	11	100	1	10	150	3	1.0	130	2.0	8-8	500	2																							12.9 - 11.7 - 12.3 - 13.0 - 13.3 - 12.3 - 12.0	12.9 - 24.6 - 36.9 - 49.9 - 63.2 - 75.5 - 87.5 (12.9-12.9)
198805010105	障		3100	晴	良  ダート	11:45	障害4歳以上400万下		1988-1-30	1	東京	1	障害4歳以上400万下	(馬齢)	11	240	2	11	140	1	5	230	4	7.0	1,120	11.0	5-8	1030	4																								
198805010106	ダ	左	1400	晴	良	12:45	4歳新馬		1988-1-30	1	東京	1	4歳新馬	(父)(馬齢)	8	440	3	8	160	2	1	130	1	12.0	420	8.0	1-6	550	1																							12.5 - 11.2 - 11.5 - 12.5 - 13.1 - 13.1 - 13.1	12.5 - 23.7 - 35.2 - 47.7 - 60.8 - 73.9 - 87.0 (12.5-12.5)
198805010107	ダ	左	1600	晴	良	13:20	4歳新馬		1988-1-30	1	東京	1	4歳新馬	(馬齢)	8	780	4	8	160	4	1	130	3	7.0	110	1.0	1-8	1700	8																							12.9 - 11.4 - 12.2 - 12.0 - 12.6 - 13.0 - 13.3 - 13.5	12.9 - 24.3 - 36.5 - 48.5 - 61.1 - 74.1 - 87.4 - 100.9 (12.9-12.9)
198805010108	ダ	左	1600	晴	良	13:55	4歳以上400万下		1988-1-30	1	東京	1	4歳以上400万下	(馬齢)	4	2600	6	4	330	6	6	110	1	12.0	160	3.0	4-5	430	2																							12.7 - 10.9 - 11.6 - 12.0 - 12.9 - 13.2 - 12.9 - 13.1	12.7 - 23.6 - 35.2 - 47.2 - 60.1 - 73.3 - 86.2 - 99.3 (12.7-12.7)
198805010109	ダ	左	1200	晴	良	14:30	シクラメン賞 		1988-1-30	1	東京	1	4歳400万下	(混)(馬齢)	1	300	1	1	150	2	5	150	1	2.0	280	6.0	1-5	610	1																							12.9 - 11.0 - 11.7 - 12.4 - 12.4 - 12.2	12.9 - 23.9 - 35.6 - 48.0 - 60.4 - 72.6 (12.9-12.9)
198805010110	ダ	左	1600	晴	良	15:05	銀蹄賞 		1988-1-30	1	東京	1	4歳以上900万下	(父)(馬齢)	10	370	2	10	160	2	8	200	3	9.0	250	5.0	7-8	800	3																							12.6 - 11.4 - 12.0 - 12.1 - 12.4 - 12.3 - 12.9 - 12.4	12.6 - 24.0 - 36.0 - 48.1 - 60.5 - 72.8 - 85.7 - 98.1 (12.6-12.6)
198805010111	芝	左	3200	晴	良	15:45	ダイヤモンドS	G3	1988-1-30	1	東京	1	4歳以上オープン	(ハンデ)	7	600	4	7	170	3	3	120	1	2.0	230	6.0	3-7	850	4																							13.9 - 13.1 - 12.9 - 12.3 - 13.4 - 12.9 - 13.7 - 12.7 - 13.9 - 13.0 - 12.8 - 11.9 - 11.6 - 11.7 - 11.4 - 11.9	13.9 - 27.0 - 39.9 - 52.2 - 65.6 - 78.5 - 92.2 - 104.9 - 118.8 - 131.8 - 144.6 - 156.5 - 168.1 - 179.8 - 191.2 - 203.1 (13.9-13.9)
198805010112	ダ	左	1400	晴	良	16:20	4歳以上900万下		1988-1-30	1	東京	1	4歳以上900万下	牝(馬齢)	12	250	1	12	130	1	1	280	5	9.0	150	2.0	1-8	1760	9																							12.8 - 10.9 - 11.3 - 11.9 - 12.6 - 12.4 - 12.4	12.8 - 23.7 - 35.0 - 46.9 - 59.5 - 71.9 - 84.3 (12.8-12.8)
198805010201	ダ	左	1400	晴	良	10:00	4歳未勝利		1988-1-31	1	東京	2	4歳未勝利	牝(馬齢)	10	3160	9	10	450	8	8	250	4	6.0	120	1.0	6-7	8690	21																							13.0 - 11.5 - 12.0 - 12.9 - 13.0 - 13.5 - 13.6	13.0 - 24.5 - 36.5 - 49.4 - 62.4 - 75.9 - 89.5 (13.0-13.0)
198805010202	ダ	左	1600	晴	良	10:25	4歳未勝利		1988-1-31	1	東京	2	4歳未勝利	(馬齢)	1	250	2	1	130	2	8	110	1	4.0	240	5.0	1-7	210	1																							12.6 - 11.7 - 12.2 - 12.6 - 13.1 - 13.3 - 12.5 - 12.6	12.6 - 24.3 - 36.5 - 49.1 - 62.2 - 75.5 - 88.0 - 100.6 (12.6-12.6)
198805010203	ダ	左	1200	晴	良	10:50	4歳新馬		1988-1-31	1	東京	2	4歳新馬	(馬齢)	2	170	1	2	120	1	7	170	2				2-7	390	1																							13.0 - 11.2 - 12.5 - 12.8 - 13.6 - 13.1	13.0 - 24.2 - 36.7 - 49.5 - 63.1 - 76.2 (13.0-13.0)
198805010204	ダ	左	1200	晴	良	11:15	4歳新馬		1988-1-31	1	東京	2	4歳新馬	(馬齢)	8	120	1	8	110	1	5	300	5	1.0	430	7.0	5-8	1420	4																							12.9 - 10.9 - 12.1 - 12.9 - 13.4 - 13.3	12.9 - 23.8 - 35.9 - 48.8 - 62.2 - 75.5 (12.9-12.9)
198805010205	障		3100	晴	良  ダート	11:45	障害4歳以上未勝利		1988-1-31	1	東京	2	障害4歳以上未勝利	(馬齢)	5	190	1	5	140	1	6	260	4				5-6	700	3																								
198805010206	芝	左	1800	晴	良	12:45	4歳新馬		1988-1-31	1	東京	2	4歳新馬	(混)(馬齢)	5	160	1	5	110	1	1	210	5	3.0	190	4.0	1-4	690	3																							12.2 - 11.6 - 11.7 - 12.3 - 12.3 - 12.4 - 12.7 - 12.4 - 12.7	12.2 - 23.8 - 35.5 - 47.8 - 60.1 - 72.5 - 85.2 - 97.6 - 110.3 (12.2-12.2)
198805010207	ダ	左	1600	晴	良	13:20	4歳400万下		1988-1-31	1	東京	2	4歳400万下	(馬齢)	6	590	4	6	160	4	5	120	1	1.0	150	3.0	5-6	670	3																							12.6 - 11.1 - 11.5 - 11.9 - 12.8 - 13.2 - 13.1 - 13.0	12.6 - 23.7 - 35.2 - 47.1 - 59.9 - 73.1 - 86.2 - 99.2 (12.6-12.6)
198805010208	ダ	左	1200	晴	良	13:55	4歳以上400万下		1988-1-31	1	東京	2	4歳以上400万下	(混)(馬齢)	13	640	3	13	220	3	12	240	4	11.0	290	5.0	8-8	2290	9																							12.8 - 10.9 - 12.3 - 12.9 - 12.5 - 12.7	12.8 - 23.7 - 36.0 - 48.9 - 61.4 - 74.1 (12.8-12.8)
198805010209	ダ	左	2100	晴	良	14:30	金蹄賞 		1988-1-31	1	東京	2	4歳以上900万下	(ハンデ)	14	750	3	14	210	3	12	250	5	6.0	140	1.0	7-8	1830	11																							7.4 - 11.3 - 12.4 - 12.6 - 12.7 - 12.8 - 12.3 - 12.8 - 12.9 - 13.0 - 13.0	7.4 - 18.7 - 31.1 - 43.7 - 56.4 - 69.2 - 81.5 - 94.3 - 107.2 - 120.2 - 133.2 (7.4-7.4)
198805010210	ダ	左	1600	晴	良	15:05	銀嶺ステークス 		1988-1-31	1	東京	2	4歳以上1400万下	(混)(馬齢)	10	1700	7	10	290	7	1	120	2	9.0	120	1.0	1-8	290	1																							12.6 - 11.2 - 11.5 - 11.6 - 12.3 - 12.6 - 12.8 - 12.7	12.6 - 23.8 - 35.3 - 46.9 - 59.2 - 71.8 - 84.6 - 97.3 (12.6-12.6)
198805010211	芝	左	1600	晴	良	15:45	デイリー杯クイーンC	G3	1988-1-31	1	東京	2	4歳オープン	牝(別定)	8	1600	6	8	370	7	3	130	1	14.0	180	3.0	3-5	580	1																							12.6 - 11.2 - 11.6 - 11.9 - 12.6 - 12.5 - 11.5 - 11.9	12.6 - 23.8 - 35.4 - 47.3 - 59.9 - 72.4 - 83.9 - 95.8 (12.6-12.6)
198805010301	ダ	左	1400	曇	良	10:00	4歳未勝利		1988-2-6	1	東京	3	4歳未勝利	[抽](馬齢)	6	440	3	6	150	3	4	110	1				4-6	370	2																							13.4 - 12.0 - 12.3 - 13.1 - 13.5 - 13.4 - 13.1	13.4 - 25.4 - 37.7 - 50.8 - 64.3 - 77.7 - 90.8 (13.4-13.4)
