	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198806010101	ダ	右	1800	曇	良	10:00	4歳未勝利		1988-1-5	1	中山	1	4歳未勝利	(馬齢)	2	500	3	2	170	3	10	150	1	11.0	710.0	9.0	2-7	880	3																							12.7 - 11.6 - 12.7 - 12.6 - 12.4 - 12.2 - 13.1 - 13.9 - 13.8	12.7 - 24.3 - 37.0 - 49.6 - 62.0 - 74.2 - 87.3 - 101.2 - 115.0 (12.7-12.7)
198806010102	ダ	右	1200	曇	良	10:25	4歳未勝利		1988-1-5	1	中山	1	4歳未勝利	牝(馬齢)	2	450	2	2	120	2	7	110	1	1.0	150.0	3.0	2-6	370	1																							12.4 - 11.0 - 11.5 - 12.2 - 12.7 - 12.8	12.4 - 23.4 - 34.9 - 47.1 - 59.8 - 72.6 (12.4-12.4)
198806010103	ダ	右	1200	曇	良	10:50	4歳新馬		1988-1-5	1	中山	1	4歳新馬	(馬齢)	6	550	3	6	170	3	15	150	2	3.0	110.0	1.0	3-8	1150	6																							12.0 - 10.7 - 11.3 - 12.6 - 12.6 - 13.2	12.0 - 22.7 - 34.0 - 46.6 - 59.2 - 72.4 (12.0-12.0)
198806010104	芝	右	2000	曇	良	11:15	4歳新馬		1988-1-5	1	中山	1	4歳新馬	(混)(馬齢)	6	710	3	6	190	3	3	160	2	2.0	130.0	1.0	2-3	1420	6																							12.8 - 11.9 - 13.1 - 13.6 - 13.2 - 12.3 - 12.5 - 12.1 - 12.5 - 12.4	12.8 - 24.7 - 37.8 - 51.4 - 64.6 - 76.9 - 89.4 - 101.5 - 114.0 - 126.4 (12.8-12.8)
198806010105	ダ	右	1800	曇	良	11:40	4歳400万下		1988-1-5	1	中山	1	4歳400万下	(馬齢)	4	600	4	4	150	4	1	110	2	8.0	100.0	1.0	1-4	1050	6																							12.6 - 11.5 - 12.7 - 12.8 - 12.6 - 12.9 - 12.7 - 13.4 - 13.7	12.6 - 24.1 - 36.8 - 49.6 - 62.2 - 75.1 - 87.8 - 101.2 - 114.9 (12.6-12.6)
198806010106	ダ	右	1800	曇	良	12:40	4歳以上400万下		1988-1-5	1	中山	1	4歳以上400万下	牝(馬齢)	13	300	1	13	130	1	9	150	2	3.0	230.0	5.0	5-7	480	1																							12.4 - 11.7 - 12.6 - 12.6 - 12.1 - 12.2 - 12.9 - 13.5 - 12.6	12.4 - 24.1 - 36.7 - 49.3 - 61.4 - 73.6 - 86.5 - 100.0 - 112.6 (12.4-12.4)
198806010107	ダ	右	1800	曇	良	13:10	4歳以上400万下		1988-1-5	1	中山	1	4歳以上400万下	(馬齢)	7	500	3	7	180	3	13	240	4	10.0	570.0	7.0	5-8	1150	6																							12.6 - 11.7 - 13.6 - 13.0 - 11.8 - 12.4 - 12.7 - 12.8 - 12.6	12.6 - 24.3 - 37.9 - 50.9 - 62.7 - 75.1 - 87.8 - 100.6 - 113.2 (12.6-12.6)
198806010201	ダ	右	1800	晴	不良	10:00	4歳以上300万下		1988-1-6	1	中山	2	4歳以上300万下	[抽](馬齢)	10	200	1	10	120	1	6	150	2	4.0	160.0	4.0	5-7	450	1																							12.8 - 12.0 - 13.5 - 13.0 - 12.6 - 12.3 - 12.9 - 13.6 - 12.9	12.8 - 24.8 - 38.3 - 51.3 - 63.9 - 76.2 - 89.1 - 102.7 - 115.6 (12.8-12.8)
198806010202	ダ	右	1800	晴	不良	10:25	4歳未勝利		1988-1-6	1	中山	2	4歳未勝利	(抽)(市)(馬齢)	5	520	2	5	130	2	2	100	1	8.0	140.0	3.0	2-5	310	1																							12.6 - 11.9 - 12.9 - 12.7 - 12.4 - 12.2 - 12.3 - 13.2 - 14.0	12.6 - 24.5 - 37.4 - 50.1 - 62.5 - 74.7 - 87.0 - 100.2 - 114.2 (12.6-12.6)
198806010203	ダ	右	1200	晴	不良	10:50	4歳未勝利		1988-1-6	1	中山	2	4歳未勝利	(馬齢)	5	200	1	5	100	1	9	170	4	1.0	130.0	2.0	5-7	530	2																							12.4 - 10.7 - 11.4 - 12.2 - 12.7 - 13.3	12.4 - 23.1 - 34.5 - 46.7 - 59.4 - 72.7 (12.4-12.4)
