	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気
198903010101	芝	右	1200	晴	良	10:30	3歳未勝利		1989-9-30	1	福島	1	3歳未勝利	(混)(馬齢)	1	170	1	1	120	1	2	500	6	1-2	1430	5																							12.1 - 11.3 - 11.4 - 11.6 - 12.1 - 12.3	12.1 - 23.4 - 34.8 - 46.4 - 58.5 - 70.8 (12.1-12.1)			
198903010102	芝	右	1200	晴	良	11:00	3歳未勝利		1989-9-30	1	福島	1	3歳未勝利	[抽](馬齢)	6	320	2	6	130	3	5	140	4	5-6	880	4																							12.4 - 11.1 - 11.5 - 11.9 - 12.6 - 13.3	12.4 - 23.5 - 35.0 - 46.9 - 59.5 - 72.8 (12.4-12.4)	1.0	100.0	1.0
198903010103	ダ	右	1700	晴	良	11:30	4歳未勝利		1989-9-30	1	福島	1	4歳未勝利	牝(馬齢)	10	1180	4	10	250	4	8	120	1	6-7	1050	5																							7.0 - 11.2 - 11.5 - 12.7 - 13.4 - 13.0 - 13.2 - 13.1 - 13.6	7.0 - 18.2 - 29.7 - 42.4 - 55.8 - 68.8 - 82.0 - 95.1 - 108.7 (7.0-7.0)	6.0	590.0	8.0
198903010104	芝	右	2000	晴	良	12:00	4歳未勝利		1989-9-30	1	福島	1	4歳未勝利	(馬齢)	4	170	1	4	120	1	9	390	8	4-8	1230	6																							12.4 - 11.1 - 11.9 - 13.4 - 13.4 - 12.9 - 12.1 - 11.7 - 11.6 - 12.3	12.4 - 23.5 - 35.4 - 48.8 - 62.2 - 75.1 - 87.2 - 98.9 - 110.5 - 122.8 (12.4-12.4)	2.0	200.0	3.0
198903010201	ダ	右	1700	晴	良	10:30	4歳未勝利		1989-10-1	1	福島	2	4歳未勝利	(馬齢)	4	380	2	4	120	1	5	130	2	4-5	580	2																							7.0 - 11.3 - 11.6 - 12.6 - 13.1 - 13.0 - 13.1 - 13.7 - 13.9	7.0 - 18.3 - 29.9 - 42.5 - 55.6 - 68.6 - 81.7 - 95.4 - 109.3 (7.0-7.0)	7.0	170.0	3.0
198903010202	芝	右	1200	晴	良	11:00	3歳新馬		1989-10-1	1	福島	2	3歳新馬	(馬齢)	1	2850	8	1	440	5	3	370	4	1-3	7250	20																							12.1 - 10.8 - 11.2 - 12.0 - 12.3 - 13.5	12.1 - 22.9 - 34.1 - 46.1 - 58.4 - 71.9 (12.1-12.1)	8.0	510.0	7.0
198903010203	芝	右	1800	晴	良	11:30	4歳未勝利		1989-10-1	1	福島	2	4歳未勝利	(父)(馬齢)	1	260	1	1	160	2	7	390	7	1-7	940	3																							12.5 - 10.8 - 12.6 - 12.9 - 12.7 - 12.0 - 11.8 - 12.2 - 12.4	12.5 - 23.3 - 35.9 - 48.8 - 61.5 - 73.5 - 85.3 - 97.5 - 109.9 (12.5-12.5)	2.0	190.0	3.0
198903010204	芝	右	1200	晴	良	12:00	4歳未勝利		1989-10-1	1	福島	2	4歳未勝利	牝(馬齢)	1	400	3	1	160	3	7	280	6	1-7	2960	12																							12.1 - 10.9 - 11.0 - 11.6 - 12.1 - 12.3	12.1 - 23.0 - 34.0 - 45.6 - 57.7 - 70.0 (12.1-12.1)	8.0	130.0	2.0
198903010205	芝	右	1200	晴	良	13:00	4歳未勝利		1989-10-1	1	福島	2	4歳未勝利	牝(馬齢)	5	3100	7	5	790	6	7	960	9	5-7	34490	29																							11.9 - 10.7 - 11.0 - 11.6 - 12.5 - 12.9	11.9 - 22.6 - 33.6 - 45.2 - 57.7 - 70.6 (11.9-11.9)	6.0	530.0	5.0
198903010301	芝	右	1700	雨	良	10:00	3歳未勝利		1989-10-7	1	福島	3	3歳未勝利	(馬齢)	1	490	2	1	150	2	2	100	1	1-2	340	2																							7.2 - 11.2 - 12.9 - 13.1 - 13.5 - 12.4 - 12.2 - 12.3 - 12.1	7.2 - 18.4 - 31.3 - 44.4 - 57.9 - 70.3 - 82.5 - 94.8 - 106.9 (7.2-7.2)			
