	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198907010101	ダ	左	1000	曇	重	10:20	4歳未勝利		1989-3-4	1	中京	1	4歳未勝利	[抽](馬齢)	1	590	3	1	200	2	10	200	3	6.0	1,000	10.0	1-7	1160	6																							13.0 - 11.5 - 12.4 - 12.5 - 12.5	13.0 - 24.5 - 36.9 - 49.4 - 61.9 (13.0-13.0)
198907010102	ダ	左	1700	曇	重	10:50	4歳以上700万下		1989-3-4	1	中京	1	4歳以上700万下	[抽](別定)	4	910	5	4	280	5	11	250	4	6.0	800	10.0	4-8	1380	4																							7.0 - 11.0 - 11.9 - 13.0 - 13.1 - 13.4 - 14.1 - 14.1 - 13.9	7.0 - 18.0 - 29.9 - 42.9 - 56.0 - 69.4 - 83.5 - 97.6 - 111.5 (7.0-7.0)
198907010103	芝	左	1800	曇	重	11:20	4歳未出走		1989-3-4	1	中京	1	4歳未出走	(混)(馬齢)	1	280	1	1	150	1	2	550	9	7.0	170	2.0	1-2	3990	16																							12.4 - 11.1 - 12.4 - 13.1 - 12.6 - 12.5 - 12.1 - 11.9 - 11.6	12.4 - 23.5 - 35.9 - 49.0 - 61.6 - 74.1 - 86.2 - 98.1 - 109.7 (12.4-12.4)
198907010104	ダ	左	1700	曇	重	11:50	4歳未勝利		1989-3-4	1	中京	1	4歳未勝利	(馬齢)	7	220	1	7	120	1	10	130	3	2.0	130	2.0	7-8	400	2																							7.2 - 11.2 - 12.4 - 13.3 - 12.8 - 12.5 - 13.0 - 13.4 - 13.1	7.2 - 18.4 - 30.8 - 44.1 - 56.9 - 69.4 - 82.4 - 95.8 - 108.9 (7.2-7.2)
198907010105	ダ	左	1700	曇	重	12:50	4歳以上400万下		1989-3-4	1	中京	1	4歳以上400万下	(別定)	11	310	1	11	150	1	15	340	6	7.0	1,080	13.0	6-8	3100	16																							7.2 - 10.9 - 11.8 - 12.9 - 12.9 - 13.0 - 13.7 - 13.5 - 12.8	7.2 - 18.1 - 29.9 - 42.8 - 55.7 - 68.7 - 82.4 - 95.9 - 108.7 (7.2-7.2)
198907010106	ダ	左	1000	雨	重	13:20	4歳以上400万下		1989-3-4	1	中京	1	4歳以上400万下	(別定)	9	3710	8	9	480	8	2	240	5	5.0	110	1.0	2-5	2530	11																							12.3 - 11.0 - 12.0 - 12.4 - 13.0	12.3 - 23.3 - 35.3 - 47.7 - 60.7 (12.3-12.3)
198907010107	ダ	左	1000	曇	重	13:50	4歳以上400万下		1989-3-4	1	中京	1	4歳以上400万下	(別定)	12	3200	12	12	650	10	13	170	1	1.0	470	8.0	7-7	5370	20																							12.5 - 10.9 - 11.8 - 12.6 - 13.0	12.5 - 23.4 - 35.2 - 47.8 - 60.8 (12.5-12.5)
198907010201	ダ	左	1700	曇	不良	10:15	4歳以上300万下		1989-3-5	1	中京	2	4歳以上300万下	[抽](別定)	4	1770	8	4	540	10	3	160	1	8.0	440	7.0	2-2	3010	13																							7.0 - 11.0 - 12.3 - 13.0 - 13.2 - 13.1 - 14.0 - 14.3 - 13.7	7.0 - 18.0 - 30.3 - 43.3 - 56.5 - 69.6 - 83.6 - 97.9 - 111.6 (7.0-7.0)
198907010202	ダ	左	1700	曇	不良	10:40	4歳未出走		1989-3-5	1	中京	2	4歳未出走	(馬齢)	7	590	2	7	140	2	9	120	1	5.0	200	3.0	6-7	510	1																							7.1 - 10.9 - 12.2 - 13.0 - 12.9 - 13.0 - 13.8 - 13.4 - 13.4	7.1 - 18.0 - 30.2 - 43.2 - 56.1 - 69.1 - 82.9 - 96.3 - 109.7 (7.1-7.1)
198907010203	ダ	左	1000	曇	不良	11:05	4歳未勝利		1989-3-5	1	中京	2	4歳未勝利	(馬齢)	5	1160	6	5	360	6	1	180	3	3.0	250	5.0	1-5	3100	14																							12.6 - 10.9 - 12.3 - 12.4 - 12.7	12.6 - 23.5 - 35.8 - 48.2 - 60.9 (12.6-12.6)
