	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199101010101	ダ	右	1700	晴	良	10:25	4歳以上700万下		1991-6-8	1	札幌	1	4歳以上700万下	[抽](別定)	9	170	1	9	100	1	6	190	3	11.0	220.0	6.0	5-7	470	1																							6.9 - 11.2 - 12.2 - 12.9 - 13.1 - 13.1 - 13.0 - 13.1 - 14.1	6.9 - 18.1 - 30.3 - 43.2 - 56.3 - 69.4 - 82.4 - 95.5 - 109.6 (6.9-6.9)
199101010102	ダ	右	1000	晴	良	10:55	4歳未勝利		1991-6-8	1	札幌	1	4歳未勝利	(馬齢)	5	560	2	5	150	2	6	240	5	1.0	100.0	1.0	5-5	2970	10																							12.5 - 11.0 - 11.6 - 12.7 - 13.3	12.5 - 23.5 - 35.1 - 47.8 - 61.1 (12.5-12.5)
199101010103	ダ	右	1700	晴	良	11:25	4歳未勝利		1991-6-8	1	札幌	1	4歳未勝利	(馬齢)	9	1390	5	9	590	8	6	560	6	1.0	450.0	4.0	5-7	1490	5																							6.8 - 11.2 - 12.3 - 12.5 - 12.7 - 12.9 - 13.4 - 13.9 - 13.9	6.8 - 18.0 - 30.3 - 42.8 - 55.5 - 68.4 - 81.8 - 95.7 - 109.6 (6.8-6.8)
199101010104	ダ	右	1700	晴	良	11:55	4歳未勝利		1991-6-8	1	札幌	1	4歳未勝利	(馬齢)	3	370	2	3	190	2	2	910	10	8.0	780.0	9.0	2-3	12730	24																							7.0 - 11.3 - 12.7 - 12.8 - 13.4 - 12.9 - 13.7 - 14.1 - 13.2	7.0 - 18.3 - 31.0 - 43.8 - 57.2 - 70.1 - 83.8 - 97.9 - 111.1 (7.0-7.0)
199101010105	ダ	右	1000	晴	良	12:55	4歳未勝利		1991-6-8	1	札幌	1	4歳未勝利	(馬齢)	1	130	1	1	100	1	2	120	2	12.0	300.0	7.0	1-2	200	1																							12.4 - 11.2 - 12.0 - 12.9 - 13.1	12.4 - 23.6 - 35.6 - 48.5 - 61.6 (12.4-12.4)
199101010106	芝	右	1000	晴	良	13:25	3歳新馬		1991-6-8	1	札幌	1	3歳新馬	(混)(馬齢)	7	5710	8	7	750	9	6	400	6	4.0	320.0	5.0	6-7	15940	22																							12.0 - 11.0 - 11.4 - 12.4 - 12.8	12.0 - 23.0 - 34.4 - 46.8 - 59.6 (12.0-12.0)
199101010107	ダ	右	1000	晴	良	14:00	4歳以上500万下		1991-6-8	1	札幌	1	4歳以上500万下	牝(馬齢)	7	1530	7	7	300	7	11	120	1	1.0	160.0	2.0	6-8	1610	7																							12.3 - 11.2 - 11.7 - 12.6 - 12.5	12.3 - 23.5 - 35.2 - 47.8 - 60.3 (12.3-12.3)
199101010201	ダ	右	1700	晴	良	10:25	4歳未勝利		1991-6-9	1	札幌	2	4歳未勝利	(馬齢)	8	180	1	8	110	1	2	180	4	6.0	590.0	9.0	2-8	560	3																							6.9 - 11.0 - 12.9 - 13.1 - 12.9 - 13.2 - 13.2 - 13.4 - 12.8	6.9 - 17.9 - 30.8 - 43.9 - 56.8 - 70.0 - 83.2 - 96.6 - 109.4 (6.9-6.9)
199101010202	ダ	右	1700	晴	良	10:55	4歳未勝利		1991-6-9	1	札幌	2	4歳未勝利	(馬齢)	5	360	3	5	160	2	1	330	5	9.0	350.0	6.0	1-5	2590	12																							6.8 - 11.2 - 12.3 - 12.6 - 13.1 - 13.6 - 13.3 - 13.1 - 13.1	6.8 - 18.0 - 30.3 - 42.9 - 56.0 - 69.6 - 82.9 - 96.0 - 109.1 (6.8-6.8)
199101010203	ダ	右	1000	晴	良	11:25	4歳未勝利		1991-6-9	1	札幌	2	4歳未勝利	(馬齢)	10	110	1	10	100	1	1	180	2	11.0	240.0	6.0	1-7	610	3																							12.7 - 11.4 - 11.5 - 12.1 - 12.3	12.7 - 24.1 - 35.6 - 47.7 - 60.0 (12.7-12.7)
