	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199103010101	芝	右	2000	晴	良	10:00	4歳未勝利		1991-6-15	1	福島	1	4歳未勝利	(馬齢)	4	910	6	4	230	6	5	180	2	3.0	190.0	4.0	4-5	2020	9																							12.9 - 11.3 - 11.4 - 13.1 - 13.5 - 12.2 - 12.1 - 12.2 - 12.0 - 12.1	12.9 - 24.2 - 35.6 - 48.7 - 62.2 - 74.4 - 86.5 - 98.7 - 110.7 - 122.8 (12.9-12.9)			
199103010102	芝	右	1000	晴	良	10:25	4歳未勝利		1991-6-15	1	福島	1	4歳未勝利	(馬齢)	5	740	4	5	250	4	9	380	6	3.0	520.0	7.0	4-6	2300	9																							12.3 - 10.6 - 12.0 - 10.9 - 12.2	12.3 - 22.9 - 34.9 - 45.8 - 58.0 (12.3-12.3)			
199103010103	芝	右	1800	晴	良	10:50	4歳未勝利		1991-6-15	1	福島	1	4歳未勝利	(父)(馬齢)	14	150	1	14	110	1	2	260	6	10.0	200.0	4.0	2-8	1050	5																							12.5 - 11.0 - 12.0 - 13.0 - 12.0 - 12.2 - 12.3 - 12.7 - 12.3	12.5 - 23.5 - 35.5 - 48.5 - 60.5 - 72.7 - 85.0 - 97.7 - 110.0 (12.5-12.5)			
199103010104	芝	右	1700	晴	良	11:20	4歳未勝利		1991-6-15	1	福島	1	4歳未勝利	(混)(馬齢)	8	1030	3	8	180	4	7	100	1	10.0	150.0	2.0	7-7	630	3																							6.9 - 11.1 - 12.5 - 13.4 - 12.2 - 12.1 - 11.7 - 11.9 - 11.6	6.9 - 18.0 - 30.5 - 43.9 - 56.1 - 68.2 - 79.9 - 91.8 - 103.4 (6.9-6.9)			
199103010105	障		2750	晴	良	11:50	障害4歳以上未勝利		1991-6-15	1	福島	1	障害4歳以上未勝利	(馬齢)	2	390	3	2	150	3	5	110	1				2-5	210	1																											
199103010106	芝	右	1700	晴	良	12:50	4歳未勝利		1991-6-15	1	福島	1	4歳未勝利	(混)(馬齢)	6	300	2	6	120	2	8	110	1	2.0	240.0	5.0	6-7	190	1																							7.0 - 11.5 - 11.8 - 12.0 - 11.4 - 11.9 - 12.2 - 13.1 - 12.7	7.0 - 18.5 - 30.3 - 42.3 - 53.7 - 65.6 - 77.8 - 90.9 - 103.6 (7.0-7.0)			
199103010107	ダ	右	1700	晴	稍重	13:20	4歳500万下		1991-6-15	1	福島	1	4歳500万下	(馬齢)	1	550	2	1	130	2	4	150	4	8.0	100.0	1.0	1-4	2530	8																							7.2 - 11.5 - 11.7 - 12.3 - 12.5 - 12.5 - 12.8 - 13.8 - 12.9	7.2 - 18.7 - 30.4 - 42.7 - 55.2 - 67.7 - 80.5 - 94.3 - 107.2 (7.2-7.2)			
199103010108	芝	右	2600	晴	良	13:55	4歳以上500万下		1991-6-15	1	福島	1	4歳以上500万下	(混)(別定)	13	490	2	13	150	2	9	110	1	6.0	250.0	6.0	5-7	330	1																							12.7 - 11.2 - 11.8 - 12.2 - 12.1 - 12.6 - 13.2 - 13.2 - 12.2 - 12.1 - 12.1 - 13.0 - 12.6	12.7 - 23.9 - 35.7 - 47.9 - 60.0 - 72.6 - 85.8 - 99.0 - 111.2 - 123.3 - 135.4 - 148.4 - 161.0 (12.7-12.7)			
199103010109	芝	右	1200	晴	良	14:30	クレマチス賞 		1991-6-15	1	福島	1	4歳500万下	(馬齢)	12	720	2	12	200	2	9	280	4	10.0	410.0	7.0	5-6	1280	6																							12.3 - 10.1 - 10.9 - 11.7 - 12.8 - 12.6	12.3 - 22.4 - 33.3 - 45.0 - 57.8 - 70.4 (12.3-12.3)			
199103010110	芝	右	2000	曇	良	15:05	栗子特別 		1991-6-15	1	福島	1	4歳以上900万下	(混)(ハンデ)	5	640	3	5	230	3	3	490	7	1.0	730.0	9.0	3-5	4060	16																							12.8 - 11.1 - 11.7 - 12.4 - 12.6 - 11.7 - 11.9 - 12.4 - 12.8 - 12.1	12.8 - 23.9 - 35.6 - 48.0 - 60.6 - 72.3 - 84.2 - 96.6 - 109.4 - 121.5 (12.8-12.8)			
