	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199104010101	ダ	右	1700	晴	稍重	10:10	4歳以上700万下		1991-4-20	1	新潟	1	4歳以上700万下	[抽](別定)	5	200	1	5	110	1	9	110	2	4.0	490	9.0	5-8	250	1																							7.2 - 11.1 - 12.0 - 12.6 - 13.5 - 13.4 - 13.7 - 13.8 - 13.1	7.2 - 18.3 - 30.3 - 42.9 - 56.4 - 69.8 - 83.5 - 97.3 - 110.4 (7.2-7.2)
199104010102	芝	右	1200	晴	稍重	10:35	4歳未出走		1991-4-20	1	新潟	1	4歳未出走	(馬齢)	11	150	1	11	120	1	12	1,190	13	4.0	690	10.0	7-8	1480	6																							12.3 - 11.0 - 12.0 - 12.6 - 11.5 - 12.0	12.3 - 23.3 - 35.3 - 47.9 - 59.4 - 71.4 (12.3-12.3)
199104010103	芝	右	1200	晴	稍重	11:00	4歳未出走		1991-4-20	1	新潟	1	4歳未出走	(馬齢)	10	790	3	10	310	4	8	440	5	2.0	250	3.0	6-7	960	4																							12.6 - 11.4 - 12.2 - 12.2 - 11.4 - 12.3	12.6 - 24.0 - 36.2 - 48.4 - 59.8 - 72.1 (12.6-12.6)
199104010104	芝	右	1600	晴	稍重	11:25	4歳未出走		1991-4-20	1	新潟	1	4歳未出走	(混)(馬齢)	6	2800	12	6	590	11	5	140	1	8.0	160	2.0	4-5	930	2																							12.8 - 11.5 - 11.7 - 11.8 - 12.5 - 12.3 - 12.5 - 12.0	12.8 - 24.3 - 36.0 - 47.8 - 60.3 - 72.6 - 85.1 - 97.1 (12.8-12.8)
199104010105	芝	右	1400	晴	稍重	11:55	4歳未勝利		1991-4-20	1	新潟	1	4歳未勝利	牝(馬齢)	4	360	2	4	140	2	7	300	3	5.0	1,630	13.0	4-5	990	3																							12.8 - 11.4 - 12.0 - 12.5 - 12.5 - 11.6 - 11.6	12.8 - 24.2 - 36.2 - 48.7 - 61.2 - 72.8 - 84.4 (12.8-12.8)
199104010106	芝	右	2000	晴	稍重	12:55	4歳未勝利		1991-4-20	1	新潟	1	4歳未勝利	(馬齢)	1	1860	9	1	390	9	5	340	6	9.0	140	1.0	1-4	3670	13																							12.9 - 12.1 - 12.6 - 12.8 - 13.1 - 12.9 - 12.9 - 12.4 - 12.0 - 12.2	12.9 - 25.0 - 37.6 - 50.4 - 63.5 - 76.4 - 89.3 - 101.7 - 113.7 - 125.9 (12.9-12.9)
199104010107	ダ	右	1000	晴	稍重	13:25	4歳以上500万下		1991-4-20	1	新潟	1	4歳以上500万下	(別定)	1	230	1	1	130	2	5	120	1	9.0	300	6.0	1-5	320	1																							12.9 - 11.2 - 12.3 - 12.4 - 12.5	12.9 - 24.1 - 36.4 - 48.8 - 61.3 (12.9-12.9)
199104010108	芝	右	1400	晴	稍重	14:00	4歳以上500万下		1991-4-20	1	新潟	1	4歳以上500万下	(別定)	8	330	2	8	160	2	1	650	11	12.0	610	9.0	1-6	6440	19																							12.8 - 11.2 - 11.7 - 12.1 - 12.2 - 11.2 - 12.2	12.8 - 24.0 - 35.7 - 47.8 - 60.0 - 71.2 - 83.4 (12.8-12.8)
199104010109	芝	右	1600	晴	稍重	14:35	二王子特別 		1991-4-20	1	新潟	1	4歳以上500万下	(別定)	8	6390	12	8	1,020	12	2	310	3	7.0	420	7.0	2-6	6060	25																							12.8 - 11.2 - 11.5 - 11.5 - 12.5 - 12.2 - 12.9 - 12.0	12.8 - 24.0 - 35.5 - 47.0 - 59.5 - 71.7 - 84.6 - 96.6 (12.8-12.8)
199104010201	芝	右	1400	晴	良	10:30	4歳未出走		1991-4-21	1	新潟	2	4歳未出走	(馬齢)	5	1870	5	5	390	7	10	570	10	2.0	130	1.0	4-7	2620	10																							12.9 - 11.3 - 11.6 - 12.7 - 12.6 - 11.9 - 12.3	12.9 - 24.2 - 35.8 - 48.5 - 61.1 - 73.0 - 85.3 (12.9-12.9)
199104010202	芝	右	1400	晴	良	10:55	4歳未出走		1991-4-21	1	新潟	2	4歳未出走	(馬齢)	10	440	1	10	240	5	9	310	7	6.0	230	4.0	6-7	1060	4																							12.8 - 11.0 - 11.3 - 12.6 - 12.4 - 12.2 - 12.4	12.8 - 23.8 - 35.1 - 47.7 - 60.1 - 72.3 - 84.7 (12.8-12.8)
199104010203	芝	右	2000	晴	良	11:20	4歳未出走		1991-4-21	1	新潟	2	4歳未出走	(馬齢)	1	270	1	1	140	1	2	160	3	7.0	740	10.0	1-2	680	2																							13.0 - 13.1 - 13.8 - 14.4 - 13.0 - 12.9 - 12.7 - 12.1 - 11.2 - 11.8	13.0 - 26.1 - 39.9 - 54.3 - 67.3 - 80.2 - 92.9 - 105.0 - 116.2 - 128.0 (13.0-13.0)
199104010204	ダ	右	1200	晴	良	11:45	4歳未勝利		1991-4-21	1	新潟	2	4歳未勝利	(馬齢)	9	330	2	9	100	1	5	180	4	10.0	130	2.0	5-7	640	3																							12.7 - 11.5 - 11.6 - 12.6 - 13.6 - 13.7	12.7 - 24.2 - 35.8 - 48.4 - 62.0 - 75.7 (12.7-12.7)
199104010205	芝	右	1200	晴	良	12:10	4歳未勝利		1991-4-21	1	新潟	2	4歳未勝利	(混)(馬齢)	3	200	1	3	120	1	1	130	2	7.0	430	9.0	1-3	290	1																							12.2 - 11.1 - 12.0 - 11.6 - 11.5 - 12.1	12.2 - 23.3 - 35.3 - 46.9 - 58.4 - 70.5 (12.2-12.2)
199104010206	芝	右	1600	晴	良	13:10	4歳未勝利		1991-4-21	1	新潟	2	4歳未勝利	(馬齢)	11	12850	13	11	860	12	13	180	4	7.0	150	1.0	7-8	2540	11																							12.5 - 11.4 - 11.8 - 11.7 - 12.5 - 12.4 - 12.3 - 12.7	12.5 - 23.9 - 35.7 - 47.4 - 59.9 - 72.3 - 84.6 - 97.3 (12.5-12.5)
199104010207	ダ	右	1700	晴	良	13:40	4歳以上500万下		1991-4-21	1	新潟	2	4歳以上500万下	(別定)	1	1480	5	1	280	8	11	110	1	3.0	140	2.0	1-8	960	4																							7.2 - 11.5 - 12.3 - 12.8 - 13.2 - 12.7 - 13.2 - 13.1 - 12.7	7.2 - 18.7 - 31.0 - 43.8 - 57.0 - 69.7 - 82.9 - 96.0 - 108.7 (7.2-7.2)
199104010208	芝	右	1600	晴	良	14:10	4歳以上500万下		1991-4-21	1	新潟	2	4歳以上500万下	牝(別定)	4	270	1	4	140	1	3	170	3	12.0	140	2.0	3-4	1010	4																							12.7 - 11.6 - 12.1 - 12.0 - 12.2 - 12.1 - 11.6 - 12.7	12.7 - 24.3 - 36.4 - 48.4 - 60.6 - 72.7 - 84.3 - 97.0 (12.7-12.7)
199104010209	芝	右	2000	晴	良	14:40	ゆきつばき賞 		1991-4-21	1	新潟	2	4歳500万下	(混)(馬齢)	3	510	4	3	210	3	6	460	7	2.0	250	5.0	3-6	5310	21																							12.7 - 12.0 - 12.3 - 12.2 - 12.8 - 12.6 - 12.4 - 12.3 - 12.0 - 12.3	12.7 - 24.7 - 37.0 - 49.2 - 62.0 - 74.6 - 87.0 - 99.3 - 111.3 - 123.6 (12.7-12.7)
199104010210	芝	右	1200	晴	良	15:10	長岡特別 		1991-4-21	1	新潟	2	4歳以上500万下	(別定)	3	730	4	3	220	3	1	370	9	8.0	170	1.0	1-3	2200	13																							12.4 - 10.9 - 11.6 - 12.0 - 11.7 - 12.1	12.4 - 23.3 - 34.9 - 46.9 - 58.6 - 70.7 (12.4-12.4)
