	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気
199109010101	ダ	右	1400	曇	稍重	10:00	3歳未勝利		1991-11-30	1	阪神	1	3歳未勝利	(抽)関西配布馬(指)(馬齢)	6	120	1	6	100	1	5	140	2	5-6	190	1																							13.1 - 12.2 - 12.7 - 12.7 - 12.8 - 13.0 - 13.8	13.1 - 25.3 - 38.0 - 50.7 - 63.5 - 76.5 - 90.3 (13.1-13.1)						
199109010102	ダ	右	1800	曇	稍重	10:25	3歳未勝利		1991-11-30	1	阪神	1	3歳未勝利	(指)(馬齢)	12	300	2	12	140	2	2	200	3	2-8	850	3																							13.2 - 11.8 - 13.7 - 13.5 - 13.3 - 12.9 - 13.0 - 12.9 - 13.7	13.2 - 25.0 - 38.7 - 52.2 - 65.5 - 78.4 - 91.4 - 104.3 - 118.0 (13.2-13.2)	4.0	350.0	4.0	2-12	900.0	3.0
199109010103	芝	右	1400	曇	良	10:50	3歳新馬		1991-11-30	1	阪神	1	3歳新馬	(指)(馬齢)	6	1300	4	6	230	5	4	150	2	4-6	3580	11																							12.8 - 11.3 - 11.9 - 12.2 - 12.3 - 11.7 - 12.6	12.8 - 24.1 - 36.0 - 48.2 - 60.5 - 72.2 - 84.8 (12.8-12.8)	7.0	100.0	1.0	4-6	3020.0	13.0
199109010104	芝	右	1400	曇	良	11:15	3歳新馬		1991-11-30	1	阪神	1	3歳新馬	(指)(馬齢)	5	550	4	5	160	3	3	140	1	3-5	600	2																							12.5 - 10.7 - 11.9 - 12.2 - 12.8 - 11.8 - 13.2	12.5 - 23.2 - 35.1 - 47.3 - 60.1 - 71.9 - 85.1 (12.5-12.5)	1.0	370.0	7.0	3-5	600.0	1.0
199109010105	障		3000	曇	良  ダート	11:45	障害4歳以上未勝利		1991-11-30	1	阪神	1	障害4歳以上未勝利	(混)(馬齢)	4	120	1	4	110	1	2	150	4	2-4	510	3																									5.0	150.0	3.0	2-4	520.0	3.0
199109010106	芝	右	2000	曇	良	12:45	3歳新馬		1991-11-30	1	阪神	1	3歳新馬	(指)(馬齢)	1	550	3	1	190	3	3	250	4	1-3	2660	13																							12.9 - 12.4 - 13.7 - 13.5 - 12.9 - 12.6 - 12.4 - 12.1 - 11.4 - 12.1	12.9 - 25.3 - 39.0 - 52.5 - 65.4 - 78.0 - 90.4 - 102.5 - 113.9 - 126.0 (12.9-12.9)	5.0	140.0	1.0	1-3	3000.0	11.0
199109010107	ダ	右	1400	曇	稍重	13:15	4歳以上500万下		1991-11-30	1	阪神	1	4歳以上500万下	(指)(別定)	12	610	3	12	210	4	1	140	1	1-8	640	2																							12.8 - 11.6 - 12.3 - 12.6 - 13.0 - 12.6 - 13.2	12.8 - 24.4 - 36.7 - 49.3 - 62.3 - 74.9 - 88.1 (12.8-12.8)	10.0	190.0	3.0	1-12	1650.0	5.0
199109010108	ダ	右	1800	曇	稍重	13:50	4歳以上500万下		1991-11-30	1	阪神	1	4歳以上500万下	(指)(別定)	4	530	3	4	190	3	8	130	2	4-8	800	4																							13.1 - 12.0 - 13.8 - 13.1 - 12.8 - 12.8 - 13.4 - 12.5 - 13.4	13.1 - 25.1 - 38.9 - 52.0 - 64.8 - 77.6 - 91.0 - 103.5 - 116.9 (13.1-13.1)	5.0	300.0	5.0			
199109010109	芝	右	2500	曇	良	14:25	ゴールデンブーツT 		1991-11-30	1	阪神	1	4歳以上900万下	(混)(指)(定量)	8	560	3	8	190	3	10	130	1	6-7	650	3																							6.9 - 11.9 - 12.5 - 12.8 - 12.7 - 13.4 - 13.3 - 12.8 - 12.7 - 12.0 - 12.0 - 11.4 - 12.3	6.9 - 18.8 - 31.3 - 44.1 - 56.8 - 70.2 - 83.5 - 96.3 - 109.0 - 121.0 - 133.0 - 144.4 - 156.7 (6.9-6.9)	5.0	220.0	4.0	8-10	1040.0	3.0
199109010110	芝	右	2000	曇	良	15:00	エリカ賞 		1991-11-30	1	阪神	1	3歳500万下	(混)(指)(馬齢)	2	200	1	2	120	1	9	150	3	2-7	230	1																							12.9 - 11.8 - 12.2 - 12.6 - 12.1 - 12.3 - 12.4 - 13.2 - 11.6 - 12.9	12.9 - 24.7 - 36.9 - 49.5 - 61.6 - 73.9 - 86.3 - 99.5 - 111.1 - 124.0 (12.9-12.9)	4.0	630.0	10.0	2-9	480.0	2.0
