着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	12	---	2	1988100210	牝	4	468.0	4.0	54	113.3	0			0松田路博	05091	00nan	90.0	199133041709
2	2	2	---	5	1988101552	牡	4	502.0	18.0	55	113.9	3			00841	00886	00nan	36.0	199133041709
3	4	4	---	4	1988107468	牝	4	435.0	11.0	54	114.7	4			00578	00862	00nan	22.5	199133041709
4	8	11	---	9	1988101048	牝	4	450.0	14.0	54	115.3	3			0松井孝仁	00815	00nan	13.5	199133041709
5	7	9	---	2	1988106951	牝	4	504.0	16.0	54	115.6	1.1/2			0高岡秀行	05164	00nan	9.0	199133041709
6	5	5	---	8	1988104082	牝	4	427.0	-11.0	54	116.1	2.1/2			0柳澤好美	00864	00nan	0.0	199133041709
7	6	7	---	1	1988103133	牡	4	440.0	10.0	55	116.2	クビ			00440	[他] 加納初水	00nan	0.0	199133041709
8	7	10	---	6	1988106462	牝	4	468.0	16.0	54	116.5	1.1/2			0廣森久雄	00844	00nan	0.0	199133041709
9	1	1	---	7	1988101442	牡	4	481.0	1.0	55	117.9	7			00國信滿	[他] 北村末廣	00nan	0.0	199133041709
10	5	6	---	11	1988102908	牝	4	356.0	-10.0	54	118.7	4			0対馬宏昭	00846	00nan	0.0	199133041709
11	6	8	---	12	1988103093	牝	4	395.0	-7.0	54	119.0	1.1/2			0沼澤英知	05085	00nan	0.0	199133041709
12	3	3	---	10	1988104405	牝	4	440.0	4.0	54	119.9	4			05021	05021	00nan	0.0	199133041709
