	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気
199202010101	ダ	右	1700	雨	不良	10:15	4歳以上オープン		1992-8-8	1	函館	1	4歳以上オープン	[抽](別定)	3	460	3	3	290	3	6	510	6	3-6	2570	12																							7.2 - 11.2 - 12.0 - 12.7 - 12.6 - 12.7 - 13.1 - 12.8 - 13.3	7.2 - 18.4 - 30.4 - 43.1 - 55.7 - 68.4 - 81.5 - 94.3 - 107.6 (7.2-7.2)						
199202010102	ダ	右	1700	雨	不良	10:45	4歳未勝利		1992-8-8	1	函館	1	4歳未勝利	(馬齢)	1	290	1	1	130	2	7	150	4	1-7	1060	5																							7.1 - 11.2 - 11.7 - 13.2 - 12.7 - 12.8 - 13.0 - 13.5 - 13.0	7.1 - 18.3 - 30.0 - 43.2 - 55.9 - 68.7 - 81.7 - 95.2 - 108.2 (7.1-7.1)	2.0	120.0	1.0			
199202010103	芝	右	1000	雨	重	11:15	4歳未勝利		1992-8-8	1	函館	1	4歳未勝利	(馬齢)	9	600	4	9	150	3	8	170	4	8-8	1950	9																							12.3 - 10.9 - 11.9 - 11.8 - 12.2	12.3 - 23.2 - 35.1 - 46.9 - 59.1 (12.3-12.3)	6.0	140.0	2.0	8-9	1960.0	10.0
199202010104	芝	右	1000	雨	重	11:45	3歳新馬		1992-8-8	1	函館	1	3歳新馬	(馬齢)	1	130	1	1	110	1	6	160	2	1-6	260	1																							12.5 - 11.2 - 11.8 - 11.3 - 12.1	12.5 - 23.7 - 35.5 - 46.8 - 58.9 (12.5-12.5)						
199202010105	芝	右	1800	雨	重	12:45	4歳未勝利		1992-8-8	1	函館	1	4歳未勝利	(馬齢)	1	770	5	1	310	5	4	550	9	1-4	5480	27																							12.6 - 11.2 - 12.6 - 12.7 - 12.3 - 12.1 - 12.4 - 12.4 - 12.6	12.6 - 23.8 - 36.4 - 49.1 - 61.4 - 73.5 - 85.9 - 98.3 - 110.9 (12.6-12.6)	3.0	490.0	7.0	1-4	5090.0	25.0
199202010106	芝	右	1800	雨	重	13:15	4歳未勝利		1992-8-8	1	函館	1	4歳未勝利	(馬齢)	5	3830	9	5	650	8	4	220	2	4-5	6160	15																							13.0 - 11.2 - 12.1 - 12.1 - 12.5 - 12.6 - 12.7 - 13.1 - 13.0	13.0 - 24.2 - 36.3 - 48.4 - 60.9 - 73.5 - 86.2 - 99.3 - 112.3 (13.0-13.0)	7.0	780.0	9.0	4-5	6310.0	21.0
199202010107	芝	右	2000	雨	重	13:50	4歳以上500万下		1992-8-8	1	函館	1	4歳以上500万下	(父)(別定)	3	480	4	3	160	1	8	710	8	3-8	5940	21																							12.7 - 11.4 - 11.8 - 13.0 - 13.0 - 12.4 - 12.8 - 12.6 - 13.0 - 12.6	12.7 - 24.1 - 35.9 - 48.9 - 61.9 - 74.3 - 87.1 - 99.7 - 112.7 - 125.3 (12.7-12.7)	6.0	190.0	4.0			
199202010108	ダ	右	1700	雨	不良	14:25	陸奥湾特別 		1992-8-8	1	函館	1	4歳以上500万下	(混)(別定)	4	6530	11	4	1,070	11	8	490	7	4-6	15370	27																							7.0 - 11.2 - 12.1 - 12.9 - 12.6 - 12.4 - 13.1 - 13.2 - 13.1	7.0 - 18.2 - 30.3 - 43.2 - 55.8 - 68.2 - 81.3 - 94.5 - 107.6 (7.0-7.0)	1.0	400.0	5.0	4-8	20370.0	49.0
199202010109	芝	右	1800	雨	不良	15:00	江差特別 		1992-8-8	1	函館	1	4歳以上500万下	牝(別定)	5	180	1	5	130	1	8	190	4	5-8	370	1																							12.7 - 11.4 - 12.2 - 12.0 - 12.0 - 12.1 - 12.7 - 12.5 - 12.5	12.7 - 24.1 - 36.3 - 48.3 - 60.3 - 72.4 - 85.1 - 97.6 - 110.1 (12.7-12.7)	2.0	530.0	7.0	5-8	790.0	4.0
199202010110	芝	右	2000	雨	不良	15:35	五稜郭特別 		1992-8-8	1	函館	1	4歳以上900万下	(混)(別定)	3	2500	9	3	780	11	12	200	2	2-6	1090	5																							12.8 - 11.1 - 11.7 - 12.5 - 12.2 - 12.4 - 12.1 - 12.3 - 12.5 - 13.2	12.8 - 23.9 - 35.6 - 48.1 - 60.3 - 72.7 - 84.8 - 97.1 - 109.6 - 122.8 (12.8-12.8)	11.0	280.0	4.0	3-12	9650.0	32.0
