着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	7	7	---	5	1989101474	牡	4	440.0	-4.0	53	103.8	0			00天野貢	881	00nan	350.0	199247011210
2	1	1	---	2	1989107528	牡	4	444.0	-6.0	53	104.4	3			00945	941	00nan	140.0	199247011210
3	5	5	---	1	1989101935	牝	4	430.0	-4.0	53	104.7	1.1/2			00975	941	00nan	70.0	199247011210
4	2	2	---	7	1989103943	牡	4	500.0	0.0	53	104.7	クビ			0澤田秀実	5339	00nan	52.5	199247011210
5	8	8	---	4	1989100445	牡	4	440.0	-6.0	53	105.2	2.1/2			05043	5047	00nan	35.0	199247011210
6	4	4	---	3	1989106124	牝	4	434.0	-6.0	52	105.7	2.1/2			00815	965	00nan	0.0	199247011210
7	6	6	---	8	1989101680	牝	4	400.0	0.0	52	105.9	1			00北浦充	5047	00nan	0.0	199247011210
8	3	3	---	6	1989100438	牡	4	448.0	-2.0	53	107.9	大			00417	5272	00nan	0.0	199247011210
1	6	6	---	1	1989101474	牡	4	438.0	-2.0	54	104.8	0			00945	00881	00nan	420.0	199247040510
2	4	4	---	5	1989100518	牡	4	496.0	4.0	54	105.0	3/4			00836	00847	00nan	168.0	199247040510
3	3	3	---	4	1989103943	牡	4	490.0	0.0	53	105.0	アタマ			00815	05339	00nan	84.0	199247040510
4	2	2	---	6	1989107528	牡	4	430.0	-14.0	53	105.2	1.1/2			00975	00941	00nan	63.0	199247040510
5	7	8	---	9	1989106782	牡	4	470.0	-4.0	53	105.4	1.1/2			05152	05183	00nan	42.0	199247040510
6	5	5	---	3	1989100424	牡	4	454.0	0.0	54	105.5	1/2			0濱口楠彦	05171	00nan	0.0	199247040510
7	8	9	---	2	1989100833	牡	4	466.0	-4.0	54	105.8	1.1/2			00天野貢	05171	00nan	0.0	199247040510
8	1	1	---	10	1989104399	牝	4	454.0	2.0	52	106.0	1			0小森勝政	00848	00nan	0.0	199247040510
9	7	7	---	7	1989101935	牝	4	422.0	0.0	53	106.5	2.1/2			05043	00941	00nan	0.0	199247040510
10	8	10	---	8	1989106124	牝	4	434.0	-8.0	53	110.5	大			05161	00965	00nan	0.0	199247040510
