	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199232091408	ダ	右	1500	晴	良		サラ系一般D		1992-9-14	1	岩見沢	5	150万下																																											
199232092302	ダ	右	900	晴	重		サラ系3才		1992-9-23	2	岩見沢	5																																												
199232092305	ダ	右	1400	晴	稍重		サラ系3才		1992-9-23	2	岩見沢	5	125万下																																											
199232092309	ダ	右	1400	晴	稍重		サラ系一般D		1992-9-23	2	岩見沢	5	144万下																																											
199232092402	ダ	右	900	曇	稍重		サラ系3才		1992-9-24	2	岩見沢	6																																												
199232092408	ダ	右	1400	雨	稍重		サラ系3才		1992-9-24	2	岩見沢	6	190万下																																											
199232100604	ダ	右	900	晴	稍重		サラ系3才		1992-10-6	3	岩見沢	6																																												
199232100611	ダ	右	1400	晴	良		青雲特別 		1992-10-6	3	岩見沢	6	サラ系3才OP																																											
199232100612	ダ	右	1400	晴	良		サラ系3才		1992-10-6	3	岩見沢	6	220万下																																											
199232091410	ダ	右	1400	晴	良		サラ系3才		1992-9-14	1	岩見沢	5	165万下																																											
199232101507	ダ	右	1400	晴	稍重		サラ系3才		1992-10-15	4	岩見沢	6	254万下																																											
199232110407	ダ	右	1400	雨	不良		サラ系3才OP		1992-11-4	6	岩見沢	5																																												
