着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	5	9	1.7	1.0	1990103088	牝	4	442.0	2.0	53.0	74.9	0	1-1	40.0	392	186	789004	500.0	199306010101
2	2	3	10.8	3.0	1990104308	牝	4	484.0	2.0	53.0	75.6	4	7-7	39.6	163	297	618004	200.0	199306010101
3	4	8	17.4	5.0	1990102443	牝	4	444.0	2.0	53.0	75.9	2	3-3	40.6	663	410	116800	130.0	199306010101
4	8	15	3.7	2.0	1990104889	牝	4	434.0	6.0	53.0	76.1	1.1/4	2-2	41.2	503	119	354002	75.0	199306010101
5	7	14	60.6	10.0	1990103133	牝	4	436.0	0.0	50.0	76.1	アタマ	4-4	40.3	715	119	416800	50.0	199306010101
6	2	4	88.8	11.0	1990100714	牝	4	444.0	-2.0	53.0	76.3	1	7-7	40.2	545	323	548800	0.0	199306010101
7	7	13	136.3	14.0	1990108541	牝	4	450.0	-8.0	53.0	76.3	ハナ	4-4	40.6	559	266	542002	0.0	199306010101
8	5	10	121.0	13.0	1990103180	牝	4	404.0	4.0	53.0	76.4	1/2	13-10	39.7	342	274	171002	0.0	199306010101
9	1	2	14.0	4.0	1990104663	牝	4	436.0	-2.0	53.0	76.8	2.1/2	10-10	40.4	658	167	415800	0.0	199306010101
10	6	11	92.5	12.0	1990108902	牝	4	434.0	-8.0	53.0	77.0	1	10-10	40.5	635	355	19800	0.0	199306010101
11	4	7	49.0	8.0	1990100703	牝	4	498.0	4.0	53.0	77.4	2.1/2	10-13	40.9	647	106	548800	0.0	199306010101
12	8	16	297.6	16.0	1990108727	牝	4	440.0	0.0	53.0	77.4	クビ	7-9	41.3	605	352	877009	0.0	199306010101
13	6	12	45.8	7.0	1990101617	牝	4	406.0	6.0	53.0	77.5	クビ	13-14	40.7	660	376	367800	0.0	199306010101
14	3	6	17.7	6.0	1990108587	牝	4	432.0	-8.0	53.0	77.7	1	4-4	41.9	717	138	898005	0.0	199306010101
15	3	5	195.9	15.0	1990100022	牝	4	430.0	6.0	53.0	78.0	2	16-14	40.5	612	146	343800	0.0	199306010101
16	1	1	57.6	9.0	1990102469	牝	4	450.0	-4.0	53.0	78.3	1.3/4	13-14	41.7	679	403	168002	0.0	199306010101
1	3	6	5.9	3.0	1990104010	牡	4	456.0	6.0	55.0	118.3	0	15-15-9-7	40.4	647	208	593800	500.0	199306010102
2	8	16	2.6	1.0	1990106715	牡	4	472.0	6.0	55.0	118.5	1.1/4	4-4-2-2	41.8	684	408	689009	200.0	199306010102
3	8	15	14.5	5.0	1990104633	牡	4	488.0	-10.0	54.0	119.1	3.1/2	9-9-8-7	41.5	693	349	229002	130.0	199306010102
4	7	14	93.6	15.0	1990103427	牡	4	478.0	4.0	55.0	119.4	2	2-2-2-1	42.8	392	188	45800	75.0	199306010102
5	6	12	15.2	6.0	1990106334	牡	4	500.0	10.0	55.0	120.0	3.1/2	7-7-5-5	42.9	686	377	546800	50.0	199306010102
6	7	13	4.4	2.0	1990102551	牝	4	422.0	2.0	53.0	120.2	1.1/4	2-2-2-4	43.6	187	403	804001	0.0	199306010102
7	6	11	34.4	9.0	1990101192	牡	4	450.0	4.0	55.0	120.3	3/4	9-9-7-7	43.0	631	284	584800	0.0	199306010102
8	5	10	26.7	8.0	1990100849	牝	4	500.0	0.0	53.0	121.0	4	5-5-5-5	43.9	624	267	997005	0.0	199306010102
