着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	4	5	1.6	1.0	1992501705	牝	3	436.0	0.0	53.0	58.7	0	1-1	35.2	512	318	319002	310.0	199403010101
2	5	7	8.5	4.0	1992501043	牝	3	414.0	0.0	53.0	59.4	4	2-2	35.8	702	248	862005	120.0	199403010101
3	2	2	9.1	5.0	1992501622	牡	3	454.0	0.0	53.0	59.7	1.3/4	3-3	35.9	689	414	184800	78.0	199403010101
4	3	3	7.0	2.0	1992501736	牝	3	440.0	0.0	53.0	60.7	6	5-5	36.6	684	418	268009	47.0	199403010101
5	7	11	29.3	6.0	1992500786	牡	3	478.0	0.0	53.0	60.9	1.1/2	9-9	36.4	707	109	995001	31.0	199403010101
6	1	1	71.9	10.0	1992500031	牡	3	426.0	0.0	53.0	61.2	1.3/4	11-11	36.1	501	141	550009	0.0	199403010101
7	4	6	7.5	3.0	1992502303	牝	3	426.0	0.0	53.0	61.2	ハナ	5-8	37.1	663	404	986009	0.0	199403010101
8	3	4	62.7	9.0	1992500364	牡	3	434.0	0.0	52.0	61.2	アタマ	5-5	37.1	712	190	202009	0.0	199403010101
9	6	9	57.9	8.0	1992501651	牝	3	402.0	0.0	50.0	61.3	1/2	3-4	37.5	719	410	19002	0.0	199403010101
10	8	14	76.6	11.0	1992500687	牝	3	434.0	0.0	53.0	61.8	3	5-7	37.7	630	424	46002	0.0	199403010101
11	7	12	48.2	7.0	1992500004	牝	3	422.0	0.0	53.0	61.9	3/4	10-10	37.2	679	219	776000	0.0	199403010101
12	5	8	97.8	12.0	1992500989	牡	3	424.0	0.0	53.0	62.1	1.1/4	14-14	36.5	171	267	684004	0.0	199403010101
13	8	13	159.7	14.0	1992501972	牝	3	426.0	0.0	53.0	62.3	1.1/4	12-11	37.0	590	210	610005	0.0	199403010101
14	6	10	123.7	13.0	1992500627	牡	3	422.0	0.0	53.0	62.4	3/4	12-13	37.0	229	146	686005	0.0	199403010101
1	4	5	4.4	2.0	1991103812	牡	4	448.0	0.0	55.0	57.6	0	1-1	34.4	635	366	321800	500.0	199403010102
2	7	12	3.7	1.0	1991106979	牝	4	420.0	2.0	53.0	58.0	2.1/2	2-2	34.6	630	245	946002	200.0	199403010102
3	3	3	16.1	6.0	1991108490	牝	4	408.0	0.0	50.0	58.3	2	6-5	34.5	730	133	9006	130.0	199403010102
4	3	4	4.6	3.0	1991102440	牝	4	436.0	-8.0	53.0	58.5	1.1/2	12-12	33.8	684	292	570002	75.0	199403010102
5	6	9	5.4	4.0	1991102054	牝	4	424.0	4.0	50.0	58.5	ハナ	4-4	34.9	731	257	582004	50.0	199403010102
6	7	11	77.0	10.0	1991106672	牝	4	396.0	0.0	53.0	58.6	クビ	13-13	33.6	702	248	915001	0.0	199403010102
7	6	10	6.8	5.0	1991108917	牝	4	408.0	2.0	53.0	58.7	1/2	8-9	34.8	641	184	331800	0.0	199403010102
8	5	8	25.9	8.0	1991107814	牝	4	380.0	-10.0	53.0	58.7	アタマ	8-7	34.8	633	139	287009	0.0	199403010102
9	8	13	18.7	7.0	1991106496	牝	4	398.0	4.0	53.0	58.8	クビ	2-3	35.4	566	115	572004	0.0	199403010102
10	4	6	157.3	13.0	1991101705	牝	4	406.0	0.0	53.0	58.8	アタマ	10-9	34.8	252	358	479005	0.0	199403010102
11	2	2	117.1	11.0	1991101105	牡	4	426.0	0.0	55.0	58.9	3/4	10-9	34.9	589	408	90002	0.0	199403010102
12	5	7	131.3	12.0	1991103752	牝	4	394.0	0.0	53.0	58.9	クビ	6-8	35.1	171	207	321006	0.0	199403010102
13	8	14	39.2	9.0	1991106349	牝	4	448.0	-2.0	53.0	59.0	クビ	4-5	35.4	615	149	336005	0.0	199403010102
14	1	1	184.8	14.0	1991104523	牝	4	454.0	-16.0	53.0	59.4	2.1/2	14-14	34.3	590	210	151800	0.0	199403010102
1	7	11	18.7	6.0	1991103863	牝	4	446.0	2.0	50.0	57.6	0	1-1	34.4	719	311	268009	500.0	199403010103
2	8	14	12.3	4.0	1991106731	牡	4	494.0	0.0	55.0	57.8	1.1/4	2-2	34.5	339	321	852005	200.0	199403010103
3	6	9	1.7	1.0	1991105023	牝	4	434.0	-2.0	53.0	57.8	ハナ	3-3	34.5	629	119	416800	130.0	199403010103
4	5	8	5.8	2.0	1991102899	牡	4	472.0	2.0	55.0	58.4	3.1/2	6-5	34.7	695	305	321800	75.0	199403010103
5	4	5	36.9	10.0	1991106370	牡	4	490.0	-6.0	55.0	58.6	1	3-4	35.2	614	271	336005	50.0	199403010103
6	3	4	6.7	3.0	1991104381	牝	4	418.0	-2.0	53.0	59.2	3.1/2	10-10	35.0	635	415	97800	0.0	199403010103
7	5	7	24.9	7.0	1991102367	牡	4	426.0	0.0	55.0	59.4	1.1/2	8-6	35.5	689	364	713005	0.0	199403010103
8	8	13	36.8	9.0	1991108974	牝	4	392.0	-20.0	53.0	59.6	1.1/2	6-6	35.9	537	410	470800	0.0	199403010103
9	4	6	191.9	14.0	1991108648	牝	4	434.0	-12.0	53.0	59.6	クビ	11-11	35.1	597	377	416800	0.0	199403010103
10	7	12	36.1	8.0	1991105173	牡	4	430.0	0.0	55.0	59.6	アタマ	8-9	35.7	678	270	508009	0.0	199403010103
11	2	2	98.5	11.0	1991108919	牝	4	454.0	0.0	53.0	59.7	クビ	12-12	34.9	377	102	331800	0.0	199403010103
12	1	1	186.7	13.0	1991106775	牝	4	446.0	2.0	53.0	59.9	1.1/4	12-13	35.1	559	266	945005	0.0	199403010103
13	6	10	18.4	5.0	1991109794	牡	4	452.0	10.0	55.0	60.3	2.1/2	5-6	36.7	625	250	472800	0.0	199403010103
14	3	3	113.3	12.0	1991105155	牡	4	426.0	2.0	55.0	60.6	1.3/4	14-14	35.4	702	112	679009	0.0	199403010103
1	7	10	27.1	7.0	1991108111	牡	4	512.0	4.0	55.0	109.9	0	1-1-1-1	39.7	566	339	516002	500.0	199403010104
2	6	8	8.4	4.0	1991100039	牡	4	492.0	8.0	55.0	109.9	ハナ	6-7-5-4	39.3	658	167	531005	200.0	199403010104
3	2	2	10.3	5.0	1991105818	牝	4	400.0	-10.0	53.0	110.3	2.1/2	3-3-2-2	40.0	693	349	451800	130.0	199403010104
4	5	6	4.5	3.0	1991104749	牡	4	456.0	-2.0	55.0	110.7	2.1/2	7-4-5-3	40.1	171	367	222004	75.0	199403010104
