着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	9	---	2	1991108027	牡	4	504.0	-6.0	55	117.3	0			0渡邉正治	05002	00nan	500.0	199460052210
2	3	3	---	1	1991100974	牡	4	470.0	-7.0	55	117.9	3			00410	00853	00nan	175.0	199460052210
3	2	2	---	7	1991106023	牡	4	464.0	4.0	55	117.9	アタマ			00965	00871	00nan	85.0	199460052210
4	7	7	---	5	1991101262	牝	4	460.0	10.0	53	118.9	5			00413	[他] 齋藤辰三	00nan	50.0	199460052210
5	5	5	---	4	1991108674	牡	4	471.0	3.0	55	118.9	クビ			00414	05168	00nan	40.0	199460052210
6	1	1	---	6	1991106557	牝	4	455.0	-9.0	53	119.0	クビ			00423	05002	00nan	0.0	199460052210
7	4	4	---	3	1991105874	牡	4	567.0	-5.0	56	120.0	5			00209	00855	00nan	0.0	199460052210
8	6	6	---	9	1991104513	牡	4	466.0	1.0	55	120.5	2.1/2			0大澤健司	[他] 松田正彦	00nan	0.0	199460052210
9	7	8	---	8	1991100583	牡	4	519.0	3.0	55	120.5	クビ			00412	00853	00nan	0.0	199460052210
10	8	10	---	10	1991100195	牡	4	450.0	6.0	55	123.3	大			00429	05034	00nan	0.0	199460052210
1	7	8	---	4	1991106400	牡	4	456.0	-9.0	54	115.8	0			05022	05022	00nan	900.0	199460061910
2	5	5	---	1	1991108027	牡	4	504.0	0.0	54	115.8	アタマ			00412	05002	00nan	360.0	199460061910
3	4	4	---	3	1991101977	牡	4	475.0	2.0	54	115.8	ハナ			0荒木孝良	05102	00nan	225.0	199460061910
4	2	2	---	2	1991100974	牡	4	476.0	6.0	54	117.1	7			00410	00853	00nan	135.0	199460061910
5	3	3	---	5	1991101262	牝	4	465.0	5.0	53	117.2	3/4			00413	[他] 齋藤辰三	00nan	90.0	199460061910
6	7	7	---	6	1991106023	牡	4	467.0	3.0	54	117.6	2			00965	00871	00nan	0.0	199460061910
7	1	1	---	9	1991106557	牝	4	460.0	5.0	53	117.6	アタマ			00423	05002	00nan	0.0	199460061910
8	8	9	---	7	1991108674	牡	4	474.0	3.0	54	118.0	2			00414	05168	00nan	0.0	199460061910
9	8	10	---	8	1991105874	牡	4	567.0	0.0	54	118.3	1.1/2			00984	00855	00nan	0.0	199460061910
10	6	6	---	10	1991106416	牝	4	437.0	-4.0	53	118.9	3			0中鉢利弘	[他] 香曽我部	00nan	0.0	199460061910
1	4	4	---	1	1990107294	牡	5	468.0	2.0	55	105.1	0			00722	00387	00nan	250.0	199460112307
2	1	1	---	2	1989107794	牡	6	514.0	6.0	55	105.1	クビ			00410	00853	00nan	87.5	199460112307
3	5	5	---	5	1991105992	牡	4	486.0	-4.0	55	106.1	5			00702	00248	00nan	42.5	199460112307
4	6	7	---	3	1990101617	牝	5	435.0	1.0	54	106.1	アタマ			00984	[他] 長谷川昭	00nan	25.0	199460112307
5	2	2	---	9	1991105442	牝	4	430.0	-4.0	54	106.1	アタマ			00597	00101	00nan	20.0	199460112307
6	7	9	---	6	1989107813	牡	6	495.0	7.0	55	106.7	3			05000	05000	00nan	0.0	199460112307
7	8	11	---	7	1987105878	牡	8	490.0	0.0	55	106.8	3/4			00429	05036	00nan	0.0	199460112307
8	8	10	---	4	1990102860	牡	5	502.0	2.0	55	106.9	1/2			00711	00170	00nan	0.0	199460112307
9	3	3	---	11	1991101262	牝	4	473.0	1.0	54	107.3	2			00413	[他] 齋藤辰三	00nan	0.0	199460112307
10	6	6	---	10	1988102102	セ	7	526.0	-2.0	55	108.2	5			00209	00855	00nan	0.0	199460112307
11	7	8	---	8	1991109180	牝	4	475.0	-11.0	54	108.6	2			00730	00385	00nan	0.0	199460112307
1	1	1	---	1	1990108148	牡	5	507.0	5.0	55	105.9	0			00413	05027	00nan	250.0	199460112309
2	2	2	---	4	1991104882	牝	4	445.0	-1.0	54	106.6	4			00163	00297	00nan	87.5	199460112309
3	3	3	---	5	1991107501	牝	4	430.0	3.0	54	106.7	1/2			00965	00871	00nan	42.5	199460112309
4	4	4	---	9	1991107855	牡	4	481.0	-3.0	55	106.9	1			00623	00396	00nan	25.0	199460112309
5	8	9	---	2	1988101436	牡	7	519.0	2.0	55	107.3	2			0渡邉正治	05002	00nan	20.0	199460112309
6	5	5	---	6	1991100943	牡	4	540.0	12.0	55	107.3	クビ			00637	00346	00nan	0.0	199460112309
7	8	8	---	8	1990105887	牝	5	472.0	8.0	54	107.8	2.1/2			05290	[他] 渡邉十郎	00nan	0.0	199460112309
8	6	6	---	3	1989103611	牝	6	435.0	7.0	54	107.8	クビ			00663	00381	00nan	0.0	199460112309
9	7	7	---	7	1989107881	牡	6	430.0	2.0	55	108.1	1.1/2			05000	05000	00nan	0.0	199460112309
