	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199433060903	ダ	右	1000	曇	良		サラ系3才新馬		1994-6-9	1	帯広	6																																												
199433060908	ダ	右	1000	雨	良		サラ系3才OP		1994-6-9	1	帯広	6																																												
199433062210	ダ	右	1200	晴	良		ひまわり賞	G	1994-6-22	2	帯広	5	サラ系3才OP																																											
199433070604	ダ	右	1000	晴	良		サラ系3才		1994-7-6	3	帯広	5																																												
199433070608	ダ	右	1700	晴	良		サラ系4才		1994-7-6	3	帯広	5	201万下																																											
199433070611	ダ	右	1200	晴	良		ホクチク特別 		1994-7-6	3	帯広	5	サラ系3才OP																																											
199433102005	ダ	右	1200	晴	良		サラ系3才		1994-10-20	4	帯広	3	98万下																																											
199433102706	ダ	右	1200	曇	良		サラ系3才OP		1994-10-27	4	帯広	6																																												
199433102709	ダ	右	1700	曇	良		青雲特別 		1994-10-27	4	帯広	6	サラ系3才OP																																											
199433110303	ダ	右	1200	曇	良		サラ系3才		1994-11-3	5	帯広	3	96万下																																											
199433062306	ダ	右	1000	晴	良		サラ系3才OP		1994-6-23	2	帯広	6																																												
