着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	5	5	---	3	1993107303	牡	3	468.0	-2.0	54	93.8	0			05119	05161	00nan	135.0	199536101005
2	6	6	---	2	1993101931	牡	3	474.0	4.0	54	94.0	1			0草地保隆	05157	00nan	54.0	199536101005
3	8	8	---	1	1993105572	牡	3	509.0	0.0	54	94.3	1.1/2			05156	05365	00nan	27.0	199536101005
4	8	9	---	7	1993107283	牡	3	421.0	3.0	54	94.7	2			00千葉優	05067	00nan	20.2	199536101005
5	1	1	---	4	1993200067	牡	3	464.0	4.0	54	94.9	1			05060	[他] 櫻田新一	00nan	13.5	199536101005
6	4	4	---	8	1993100658	セ	3	473.0	-4.0	54	95.7	4			0谷地勝則	05320	00nan	0.0	199536101005
7	7	7	---	6	1993100656	牡	3	485.0	2.0	54	95.9	1			0小野寺雅	05362	00nan	0.0	199536101005
8	3	3	---	9	1993107570	牡	3	445.0	10.0	54	96.2	1.1/2			00山崎進	05114	00nan	0.0	199536101005
9	2	2	---	5	1993107706	牡	3	540.0	20.0	54	97.0	4			05104	05067	00nan	0.0	199536101005
1	2	2	---	1	1991102308	牡	5	505.0	0.0	54	119.8	0			05110	05123	00nan	120.0	199536101009
2	5	5	---	3	1988101228	牡	8	485.0	3.0	54	120.3	2.1/2			05119	05362	00nan	48.0	199536101009
3	6	6	---	2	1991107501	牝	5	432.0	2.0	54	120.5	1			0渡邉正彦	05137	00nan	24.0	199536101009
4	4	4	---	8	1989107737	牝	7	475.0	0.0	53	120.8	1.1/2			00千葉優	05089	00nan	18.0	199536101009
5	3	3	---	4	1991103840	牡	5	499.0	3.0	54	121.0	3/4			05023	[他] 小林長治	00nan	12.0	199536101009
6	8	8	---	6	1989105367	牡	7	483.0	5.0	54	121.2	1			05148	05123	00nan	0.0	199536101009
7	1	1	---	7	1990105360	牡	6	464.0	-2.0	54	122.0	4			00873	05161	00nan	0.0	199536101009
8	7	7	---	5	1991107968	牡	5	453.0	-3.0	54	123.6	8			00菊池武	05181	00nan	0.0	199536101009
1	2	2	---	1	1991109340	牡	5	490.0	-16.0	56	100.6	0			00637	00195	00nan	5000.0	199536101010
2	8	10	---	4	1990105391	牡	6	510.0	0.0	56	100.7	1/2			00817	00976	00nan	2000.0	199536101010
3	4	4	---	2	1987104814	牡	9	497.0	-1.0	56	101.2	2.1/2			05022	05320	00nan	1000.0	199536101010
4	1	1	---	5	1989102581	牡	7	450.0	0.0	56	101.4	1			05023	05023	00nan	750.0	199536101010
5	7	7	---	3	1990105400	牡	6	467.0	-21.0	56	101.4	アタマ			00544	00307	00nan	500.0	199536101010
6	6	6	---	7	1988103210	牡	8	508.0	-1.0	56	101.7	1.1/2			05156	05365	00nan	0.0	199536101010
7	3	3	---	10	1988104332	牡	8	492.0	10.0	56	102.2	2.1/2			0草地保隆	[他] 遠藤陸夫	00nan	0.0	199536101010
8	7	8	---	6	1991106562	牡	5	511.0	1.0	56	102.5	1.1/2			00945	00941	00nan	0.0	199536101010
9	5	5	---	8	1991104605	牡	5	460.0	8.0	56	102.9	2			0平澤則雄	[他] 川村孝一	00nan	0.0	199536101010
10	8	9	---	9	1988100338	セ	8	473.0	12.0	56	106.1	大			00663	00427	00nan	0.0	199536101010
1	3	3	---	2	1992105307	牡	4	513.0	-1.0	56	108.1	0			05023	05365	00nan	140.0	199536121006
2	8	8	---	1	1992109861	牝	4	446.0	-1.0	55	108.1	クビ			05110	05123	00nan	56.0	199536121006
3	1	1	---	5	1992104122	牡	4	434.0	4.0	56	108.5	2			05156	05320	00nan	28.0	199536121006
4	2	2	---	4	1992107494	牡	4	510.0	7.0	55	109.5	5			05262	05217	00nan	21.0	199536121006
5	7	7	---	8	1992105936	牡	4	520.0	5.0	55	109.8	1.1/2			0今野昭慶	05142	00nan	14.0	199536121006
6	4	4	---	6	1992108598	牡	4	461.0	5.0	56	110.3	2.1/2			05121	05248	00nan	0.0	199536121006
7	5	5	---	3	1992104243	牡	4	505.0	5.0	55	110.3	アタマ			05022	05022	00nan	0.0	199536121006
8	6	6	---	7	1992108385	牡	4	465.0	0.0	55	110.6	1.1/2			0小野寺雅	05362	00nan	0.0	199536121006
1	8	9	---	6	1992105788	牡	4	449.0	1.0	56	106.7	0			05023	05217	00nan	350.0	199536122408
2	5	5	---	3	1992103593	牡	4	495.0	10.0	56	106.7	アタマ			05119	05161	00nan	122.5	199536122408
3	3	3	---	2	1992109861	牝	4	445.0	-1.0	54	106.8	クビ			05110	05123	00nan	59.5	199536122408
4	7	7	---	7	1992104122	牡	4	433.0	-1.0	55	106.9	クビ			05156	05320	00nan	45.5	199536122408
5	6	6	---	4	1992101945	牡	4	443.0	-5.0	55	106.9	アタマ			05022	05320	00nan	35.0	199536122408
6	1	1	---	9	1992105191	牡	4	452.0	2.0	57	106.9	クビ			05258	05320	00nan	0.0	199536122408
7	2	2	---	8	1992103439	牡	4	415.0	5.0	55	107.0	クビ			00873	[他] 只野廣明	00nan	0.0	199536122408
8	4	4	---	5	1992104236	牝	4	453.0	-2.0	56	107.1	3/4			05104	05067	00nan	0.0	199536122408
9	7	8	---	1	1992108788	牝	4	443.0	0.0	56	107.3	1			05060	[他] 櫻田浩三	00nan	0.0	199536122408
10	8	10	---	10	1992107494	牡	4	511.0	1.0	55	107.5	1			05262	05217	00nan	0.0	199536122408
