着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	4	4	5.6	3.0	1993103411	牝	4	474.0	-8.0	51.0	109.0	0	12-9-4-4	39.0	1001	433	848001	500.0	199602010101
2	7	9	3.6	2.0	1993102740	牝	4	422.0	-4.0	53.0	109.3	1.3/4	1-1-1-1	40.1	630	274	421002	200.0	199602010101
3	6	8	10.0	4.0	1993101659	牝	4	450.0	-2.0	52.0	110.4	7	2-2-2-2	41.0	728	368	436006	130.0	199602010101
4	3	3	19.6	5.0	1993200055	牝	4	456.0	-2.0	53.0	110.6	1.1/2	10-10-6-5	40.2	699	426	347006	75.0	199602010101
5	7	10	21.7	6.0	1993108860	牝	4	430.0	-10.0	53.0	111.0	2.1/2	2-2-2-2	41.6	660	284	7009	50.0	199602010101
6	8	12	2.1	1.0	1993107317	牝	4	468.0	-4.0	53.0	111.1	クビ	7-7-5-5	40.8	713	110	572800	0.0	199602010101
7	5	6	24.9	7.0	1993103216	牝	4	436.0	4.0	53.0	112.1	6	10-10-9-9	41.4	675	108	903800	0.0	199602010101
8	2	2	107.5	12.0	1993103657	牝	4	444.0	-12.0	53.0	112.1	ハナ	9-7-6-7	41.7	672	161	802005	0.0	199602010101
9	1	1	46.5	9.0	1993102580	牝	4	492.0	2.0	53.0	113.6	9	4-4-12-12	41.7	679	219	664004	0.0	199602010101
10	5	5	79.5	11.0	1993104169	牝	4	448.0	10.0	53.0	113.6	ハナ	4-4-6-8	43.2	682	188	457004	0.0	199602010101
11	8	11	39.6	8.0	1993106826	牝	4	434.0	-6.0	53.0	113.7	3/4	4-6-9-10	43.0	651	330	34009	0.0	199602010101
12	6	7	53.2	10.0	1993108747	牝	4	432.0	-2.0	53.0	113.9	1.1/2	7-10-11-11	42.8	621	403	403006	0.0	199602010101
1	1	1	12.3	4.0	1993107634	牡	4	468.0	0.0	55.0	61.6	0	4-3	37.2	123	211	133006	500.0	199602010102
2	2	2	8.7	3.0	1993100240	牡	4	460.0	-2.0	55.0	61.8	1.1/4	3-3	37.6	600	295	979009	200.0	199602010102
3	6	7	1.9	1.0	1993103688	牝	4	408.0	-2.0	53.0	62.1	2	2-2	38.4	708	340	85009	130.0	199602010102
4	6	8	2.9	2.0	1993103784	牝	4	438.0	0.0	53.0	62.3	1.1/2	1-1	38.6	660	430	639009	75.0	199602010102
5	4	4	19.4	5.0	1993101565	牡	4	492.0	16.0	55.0	62.4	1/2	6-5	37.7	682	175	61800	50.0	199602010102
6	5	5	113.6	11.0	1993102427	牡	4	466.0	0.0	55.0	62.7	2	10-8	37.5	713	217	476001	0.0	199602010102
7	7	10	24.4	7.0	1993108911	牝	4	406.0	-8.0	53.0	62.8	クビ	6-6	38.1	631	317	618004	0.0	199602010102
8	7	9	21.4	6.0	1993102095	牝	4	434.0	16.0	53.0	63.3	3	5-6	38.8	672	409	589005	0.0	199602010102
9	3	3	38.1	8.0	1993101417	牝	4	436.0	0.0	53.0	64.1	5	9-8	39.0	624	267	467004	0.0	199602010102
10	8	11	93.1	10.0	1993107552	牡	4	488.0	0.0	55.0	64.3	1.1/4	11-11	38.3	698	350	674004	0.0	199602010102
11	5	6	160.0	12.0	1993107045	牡	4	426.0	0.0	55.0	65.4	7	12-12	38.0	648	243	988005	0.0	199602010102
12	8	12	78.3	9.0	1993105204	牡	4	532.0	0.0	55.0	66.2	5	8-10	41.3	705	362	266004	0.0	199602010102
1	4	4	4.5	2.0	1993110057	牡	4	456.0	-14.0	53.0	109.4	0	4-5-4-3	39.8	1001	435	308002	500.0	199602010103
2	3	3	2.2	1.0	1993110010	牡	4	482.0	0.0	55.0	109.5	3/4	2-2-1-1	40.3	660	112	517002	200.0	199602010103
3	8	11	48.3	10.0	1993109322	牡	4	480.0	14.0	55.0	109.9	2.1/2	3-2-2-2	40.7	713	110	500002	130.0	199602010103
4	7	9	7.0	4.0	1993107863	牡	4	454.0	14.0	55.0	110.1	1.1/4	9-9-7-5	40.1	600	417	46002	75.0	199602010103
5	1	1	28.7	7.0	1993109433	牡	4	484.0	16.0	55.0	110.7	3.1/2	6-6-6-7	40.9	392	405	155002	50.0	199602010103
6	5	5	19.5	6.0	1993102569	牡	4	476.0	0.0	55.0	111.2	3	1-1-3-3	41.8	702	403	946800	0.0	199602010103
7	5	6	5.6	3.0	1993100117	牡	4	484.0	-4.0	55.0	111.5	1.3/4	4-2-4-5	41.9	307	428	51800	0.0	199602010103
8	8	12	10.8	5.0	1993102567	牡	4	434.0	2.0	55.0	111.6	1/2	6-6-7-8	41.5	679	219	4006	0.0	199602010103
9	7	10	206.4	12.0	1993107808	牡	4	498.0	0.0	55.0	112.3	4	11-11-11-11	41.6	648	243	988005	0.0	199602010103
10	6	7	45.0	9.0	1993110038	牡	4	458.0	0.0	55.0	112.5	1.1/4	10-10-9-9	42.2	622	297	657009	0.0	199602010103
11	6	8	49.0	11.0	1993101355	牡	4	524.0	20.0	55.0	112.7	1.1/2	11-12-12-12	41.8	624	267	362009	0.0	199602010103
12	2	2	44.6	8.0	1993109599	牡	4	436.0	-2.0	55.0	112.7	クビ	8-8-9-9	39.5	395	419	513800	0.0	199602010103
1	4	4	4.1	3.0	1994107783	牝	3	466.0	0.0	53.0	71.7	0	1-1	36.2	700	114	295005	590.0	199602010104
2	7	7	8.5	4.0	1994104680	牝	3	426.0	0.0	53.0	71.9	1.1/2	2-2	36.2	630	424	488800	240.0	199602010104
3	5	5	2.2	1.0	1994108617	牝	3	372.0	0.0	53.0	72.2	2	3-3	36.4	660	383	415800	150.0	199602010104
4	3	3	51.8	7.0	1994103025	牝	3	438.0	0.0	53.0	72.6	2.1/2	7-6	36.4	699	426	942004	89.0	199602010104
5	6	6	2.7	2.0	1994104114	牝	3	418.0	0.0	53.0	73.2	3.1/2	4-4	37.3	682	261	695004	59.0	199602010104
6	1	1	49.0	6.0	1994102711	牝	3	424.0	0.0	53.0	73.3	3/4	4-4	37.4	702	1010	595800	0.0	199602010104
7	2	2	19.5	5.0	1994102343	牝	3	440.0	0.0	53.0	74.2	5	4-6	38.2	705	137	263005	0.0	199602010104
1	3	3	7.6	3.0	1994105267	牡	3	460.0	0.0	53.0	59.4	0	6-6	34.8	392	437	550006	590.0	199602010105
2	5	5	12.9	5.0	1994107419	牡	3	436.0	0.0	53.0	59.5	クビ	5-5	35.3	600	417	331002	240.0	199602010105
3	1	1	1.3	1.0	1994101522	牡	3	450.0	0.0	53.0	59.6	3/4	8-6	34.7	682	261	546800	150.0	199602010105
4	4	4	31.6	7.0	1994200048	牡	3	464.0	0.0	53.0	59.8	1.1/4	1-1	36.2	699	426	347006	89.0	199602010105
5	8	8	30.9	6.0	1994103350	牡	3	438.0	0.0	53.0	60.1	1.3/4	2-2	36.3	705	137	909800	59.0	199602010105
6	7	7	7.1	2.0	1994107025	牡	3	458.0	0.0	53.0	60.2	3/4	4-4	36.1	679	115	975004	0.0	199602010105
7	8	9	12.8	4.0	1994108644	牡	3	450.0	0.0	53.0	60.5	1.3/4	2-2	36.7	672	1008	415800	0.0	199602010105
8	2	2	59.8	9.0	1994100553	牡	3	476.0	0.0	53.0	60.5	クビ	6-6	35.9	299	1010	497006	0.0	199602010105
中	6	6	35.3	8.0	1994106072	牡	3	440.0	0.0	53.0					717	146	572800	0.0	199602010105
1	5	8	13.0	6.0	1993100893	牡	4	468.0	8.0	55.0	70.0	0	2-2	36.0	705	190	537002	740.0	199602010106
2	7	11	13.6	7.0	1992103047	牡	5	492.0	0.0	57.0	70.2	1.1/4	7-6	35.5	708	340	520005	300.0	199602010106
3	3	4	18.0	8.0	1993103425	牡	4	446.0	2.0	55.0	70.2	クビ	4-4	35.9	395	244	29006	190.0	199602010106
4	6	9	5.5	3.0	1992103233	牝	5	442.0	-2.0	55.0	70.4	1.1/4	1-1	36.5	621	219	975004	110.0	199602010106
5	1	1	4.9	2.0	1991104633	牝	6	470.0	-2.0	55.0	70.6	1.1/2	2-3	36.5	672	1005	321800	74.0	199602010106
