着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	12	1.7	1.0	1993105414	牝	4	458.0	-2.0	52.0	75.3	0	1-1	38.8	722	387	998004	500.0	199609010101
2	1	1	7.7	3.0	1993102890	牝	4	448.0	4.0	53.0	75.4	クビ	3-4	38.6	666	104	512004	200.0	199609010101
3	5	7	8.8	4.0	1993103964	牝	4	428.0	-4.0	52.0	75.4	クビ	2-2	38.7	1006	338	873005	130.0	199609010101
4	4	5	29.6	8.0	1993104093	牝	4	428.0	0.0	53.0	75.6	1.1/4	5-5	38.5	700	363	129002	75.0	199609010101
5	3	3	6.1	2.0	1993105051	牝	4	478.0	2.0	53.0	76.0	2.1/2	7-7	38.6	680	360	329004	50.0	199609010101
6	2	2	13.4	5.0	1993101342	牝	4	416.0	-12.0	53.0	76.1	クビ	6-6	38.9	657	199	430009	0.0	199609010101
7	6	9	179.0	12.0	1993104655	牝	4	434.0	-6.0	51.0	76.5	2.1/2	10-8	39.0	1002	161	881009	0.0	199609010101
8	6	8	16.6	6.0	1993106965	牝	4	462.0	0.0	53.0	76.9	2.1/2	7-9	39.4	691	400	356002	0.0	199609010101
9	4	4	84.8	10.0	1993103290	牝	4	460.0	16.0	53.0	76.9	ハナ	12-11	38.6	625	356	951005	0.0	199609010101
10	7	11	77.4	9.0	1993104548	牝	4	434.0	-2.0	53.0	77.1	1.1/2	3-3	40.2	705	406	466800	0.0	199609010101
11	7	10	17.2	7.0	1993103236	牝	4	440.0	0.0	53.0	79.0	大	11-11	40.8	710	161	545800	0.0	199609010101
12	8	13	105.3	11.0	1993105359	牝	4	378.0	2.0	53.0	79.7	4	7-10	42.1	637	346	802005	0.0	199609010101
取	5	6	---		1993104610	牝	4			53.0					670	334	93004	0.0	199609010101
1	8	11	4.9	3.0	1993103987	牡	4	490.0	2.0	55.0	116.9	0	1-1-1-1	38.7	675	411	157009	500.0	199609010102
2	8	12	18.8	7.0	1993106619	牡	4	468.0	16.0	55.0	117.0	3/4	2-2-2-2	38.6	504	181	527800	200.0	199609010102
3	6	7	4.1	2.0	1993107946	牡	4	500.0	-4.0	55.0	117.0	アタマ	6-5-6-4	38.3	682	421	546800	130.0	199609010102
4	6	8	107.3	10.0	1993100554	牡	4	436.0	-12.0	53.0	118.2	7	4-4-3-4	39.7	1002	307	173009	75.0	199609010102
5	7	9	2.9	1.0	1993107209	牡	4	468.0	4.0	55.0	118.2	ハナ	12-12-10-10	38.3	666	373	160800	50.0	199609010102
6	3	3	7.5	5.0	1993107875	牡	4	466.0	0.0	55.0	118.6	2.1/2	7-7-5-3	39.9	680	360	741009	0.0	199609010102
7	7	10	102.0	9.0	1993101478	牡	4	502.0	2.0	54.0	119.8	7	3-3-3-6	41.1	728	406	701005	0.0	199609010102
8	4	4	46.8	8.0	1993107156	牡	4	440.0	2.0	52.0	120.0	1.1/4	4-5-8-12	40.1	1005	212	634001	0.0	199609010102
9	1	1	139.9	11.0	1993102831	牡	4	450.0	2.0	55.0	120.3	1.3/4	8-8-8-8	40.7	665	202	788004	0.0	199609010102
10	5	6	14.9	6.0	1993100045	牡	4	486.0	0.0	55.0	120.5	1	8-8-7-7	41.1	540	357	520005	0.0	199609010102
11	2	2	168.5	12.0	1993101064	牡	4	514.0	2.0	55.0	120.8	2	11-10-10-8	41.1	643	286	356002	0.0	199609010102
12	5	5	5.9	4.0	1993101151	牡	4	468.0	2.0	55.0	121.1	1.3/4	10-10-10-11	41.2	705	161	561004	0.0	199609010102
1	5	10	4.6	3.0	1993109944	牝	4	458.0	0.0	53.0	72.7	0	2-2	36.8	705	395	151006	590.0	199609010103
2	6	12	4.6	2.0	1993110002	牡	4	474.0	0.0	55.0	73.9	7	3-3	37.8	709	324	741002	240.0	199609010103
3	7	13	3.1	1.0	1993109738	牝	4	440.0	0.0	53.0	74.1	1.1/4	5-4	37.3	666	348	415800	150.0	199609010103
4	2	3	5.8	4.0	1993109891	牝	4	470.0	0.0	53.0	74.4	1.3/4	1-1	38.7	657	419	513800	89.0	199609010103
5	3	6	13.9	6.0	1993102048	牡	4	518.0	0.0	55.0	74.6	1.1/2	8-5	37.6	685	251	90002	59.0	199609010103
6	3	5	116.1	11.0	1993109742	牡	4	462.0	0.0	55.0	75.3	4	7-7	38.2	670	407	415800	0.0	199609010103
7	8	15	15.7	7.0	1993109366	牡	4	458.0	0.0	55.0	75.5	1.1/2	9-8	38.0	367	221	527800	0.0	199609010103
8	5	9	42.9	8.0	1993105427	牡	4	444.0	0.0	55.0	75.6	1/2	12-8	38.1	504	354	26001	0.0	199609010103
9	7	14	67.0	10.0	1993100473	牝	4	408.0	0.0	52.0	76.2	3.1/2	13-12	37.8	734	382	367800	0.0	199609010103
10	6	11	60.1	9.0	1993106477	牡	4	454.0	0.0	55.0	76.2	アタマ	9-8	38.7	673	365	561004	0.0	199609010103
11	4	7	8.0	5.0	1993110069	牝	4	442.0	0.0	53.0	77.0	5	15-15	38.0	648	243	951005	0.0	199609010103
12	4	8	212.6	14.0	1993109828	牡	4	508.0	0.0	55.0	77.6	3.1/2	11-12	39.6	710	199	936005	0.0	199609010103
13	1	2	207.1	13.0	1993102753	牝	4	462.0	0.0	52.0	77.7	クビ	4-6	41.0	727	398	377800	0.0	199609010103
14	8	16	170.6	12.0	1993107930	牝	4	494.0	0.0	53.0	78.0	1.3/4	5-8	40.9	600	396	280009	0.0	199609010103
15	1	1	311.8	15.0	1993106939	牡	4	450.0	0.0	55.0	78.1	1/2	14-12	39.9	584	407	823003	0.0	199609010103
16	2	4	426.1	16.0	1993100732	牡	4	524.0	0.0	55.0	84.9	大	16-16	43.5	714	375	71004	0.0	199609010103
1	4	6	3.6	2.0	1993109994	牡	4	420.0	-4.0	55.0	95.7	0	9-3-2	36.0	682	137	90002	500.0	199609010104
2	8	13	4.4	3.0	1993109910	牡	4	450.0	2.0	54.0	95.9	1.1/2	7-8-5	36.0	727	398	951005	200.0	199609010104
3	7	12	17.6	6.0	1993109846	牡	4	466.0	0.0	55.0	96.5	3.1/2	5-3-3	36.8	705	250	434800	130.0	199609010104
4	3	3	29.4	9.0	1993110050	牡	4	466.0	0.0	55.0	96.6	3/4	12-8-5	36.6	709	324	582006	75.0	199609010104
5	5	7	3.4	1.0	1993109879	牝	4	428.0	-4.0	53.0	97.1	3	10-11-9	36.8	367	239	623003	50.0	199609010104
6	6	9	72.0	12.0	1993108495	牡	4	450.0	-4.0	54.0	97.3	1	14-14-12	36.7	728	191	332002	0.0	199609010104
7	2	2	29.2	8.0	1993100597	牝	4	428.0	-4.0	53.0	97.5	1.1/2	1-1-1	38.0	691	400	653001	0.0	199609010104
8	8	14	23.4	7.0	1993100327	牡	4	400.0	-4.0	55.0	97.5	アタマ	10-12-12	37.1	626	289	4005	0.0	199609010104
9	1	1	131.7	13.0	1993103806	牡	4	442.0	-12.0	55.0	97.6	3/4	7-8-9	37.4	643	286	446002	0.0	199609010104
10	7	11	8.1	4.0	1993109514	牝	4	438.0	-8.0	53.0	97.6	クビ	3-3-9	37.6	657	365	90002	0.0	199609010104
11	5	8	8.5	5.0	1993105283	牡	4	526.0	2.0	55.0	98.0	2.1/2	5-2-4	38.3	540	357	574001	0.0	199609010104
12	4	5	60.2	10.0	1993104113	牡	4	484.0	-10.0	55.0	98.2	1.1/4	2-3-8	38.3	710	161	674002	0.0	199609010104
13	6	10	255.5	14.0	1993106396	牝	4	426.0	6.0	52.0	98.6	2.1/2	12-13-14	38.0	734	416	803002	0.0	199609010104
14	3	4	66.0	11.0	1993103974	牝	4	418.0	0.0	53.0	99.7	7	3-3-5	39.9	688	108	932800	0.0	199609010104
1	2	2	44.6	6.0	1990109187	牡	7	444.0	-10.0	56.0	201.3	0	2-2-2-2	13.4	1005	212	857004	1020.0	199609010105
2	7	7	5.4	2.0	1991105703	牝	6	460.0	2.0	57.0	201.3	クビ	5-4-3-3	13.4	627	269	547800	410.0	199609010105
3	5	5	14.8	4.0	1990105996	牡	7	536.0	0.0	59.0	202.8	9	8-8-7-6	13.5	655	361	24009	260.0	199609010105
4	3	3	1.3	1.0	1991104957	牡	6	458.0	8.0	59.0	203.0	1	1-1-1-1	13.5	634	191	294002	150.0	199609010105
5	1	1	51.8	7.0	1992109201	牡	5	540.0	32.0	58.0	203.4	2.1/2	4-4-5-4	13.6	142	137	498800	102.0	199609010105
6	4	4	54.2	8.0	1991109425	牡	6	484.0	12.0	59.0	205.0	10	6-6-6-7	13.7	652	161	783002	0.0	199609010105
7	7	8	10.1	3.0	1990101488	セ	7	468.0	2.0	59.0	205.5	3	3-3-3-4	13.7	613	289	309001	0.0	199609010105
8	8	9	66.4	9.0	1992102476	牡	5	426.0	4.0	58.0	208.3	大	10-10-10-9	13.9	561	361	275005	0.0	199609010105
9	8	10	111.7	10.0	1991107763	牡	6	496.0	10.0	59.0	208.5	1	8-9-9-8	13.9	649	286	26001	0.0	199609010105
中	6	6	15.6	5.0	1991103277	牡	6	472.0	0.0	57.0			7-7-7		1003	400	653001	0.0	199609010105
1	4	6	17.4	6.0	1993110084	牡	4	398.0	-2.0	55.0	96.7	0	9-9-9	35.8	617	333	415800	500.0	199609010106
2	3	4	8.1	5.0	1993109980	牝	4	414.0	0.0	53.0	96.8	クビ	5-6-6	36.0	674	362	398002	200.0	199609010106
3	1	1	3.8	2.0	1993110005	牡	4	468.0	10.0	55.0	96.8	ハナ	9-10-6	35.9	652	250	401800	130.0	199609010106
4	8	13	4.5	3.0	1993100924	牡	4	474.0	2.0	55.0	96.8	ハナ	2-3-2	36.3	666	180	133005	75.0	199609010106
5	5	7	3.6	1.0	1993109780	牡	4	426.0	2.0	55.0	97.1	2	8-6-4	36.5	648	243	851009	50.0	199609010106
6	7	11	30.5	9.0	1993103292	牝	4	448.0	2.0	52.0	97.1	クビ	5-5-3	36.5	1006	338	951005	0.0	199609010106
7	3	3	7.6	4.0	1993101249	牡	4	460.0	-8.0	55.0	97.5	2.1/2	11-10-9	36.7	395	331	303800	0.0	199609010106
8	6	9	47.4	11.0	1993109983	牝	4	442.0	-4.0	52.0	97.6	3/4	2-3-6	36.9	732	250	522004	0.0	199609010106
9	5	8	24.3	7.0	1993101386	牝	4	416.0	-12.0	53.0	97.6	ハナ	1-1-1	37.2	692	1009	954800	0.0	199609010106
10	7	12	27.8	8.0	1993109984	牡	4	482.0	-14.0	53.0	97.8	1.1/2	14-12-12	36.6	1003	250	522004	0.0	199609010106
11	2	2	31.2	10.0	1993102758	牡	4	422.0	-2.0	55.0	98.5	4	5-6-11	37.5	123	373	377800	0.0	199609010106
12	8	14	60.1	12.0	1993102756	牝	4	430.0	-4.0	53.0	98.8	1.3/4	2-2-4	38.3	544	307	377800	0.0	199609010106
13	6	10	177.1	14.0	1993109637	牡	4	418.0	-10.0	55.0	99.2	2.1/2	12-14-13	37.5	628	221	797002	0.0	199609010106
14	4	5	146.1	13.0	1993109512	牡	4	450.0	-4.0	55.0	99.3	3/4	12-13-13	37.5	623	211	912002	0.0	199609010106
1	4	5	1.9	1.0	1993102548	牡	4	432.0	0.0	55.0	116.5	0	7-6-4-4	38.5	367	293	461004	590.0	199609010107
2	1	1	4.6	2.0	1993108203	牡	4	508.0	0.0	54.0	116.8	1.3/4	4-3-5-4	38.7	718	389	261005	240.0	199609010107
3	5	7	8.5	3.0	1993100519	牡	4	472.0	0.0	55.0	117.9	7	5-5-2-2	40.1	504	363	383002	150.0	199609010107
4	6	9	8.7	4.0	1993107223	牡	4	506.0	0.0	55.0	119.3	9	1-1-1-1	41.6	666	373	160800	89.0	199609010107
5	2	2	8.9	5.0	1993103458	牝	4	462.0	0.0	51.0	119.8	3	2-2-2-3	42.0	1002	351	713004	59.0	199609010107
6	8	12	64.8	10.0	1993105387	牡	4	456.0	0.0	55.0	119.9	クビ	9-8-8-8	40.7	652	348	359009	0.0	199609010107
7	4	4	25.4	7.0	1993103586	牡	4	512.0	0.0	54.0	119.9	アタマ	3-3-6-6	41.1	732	308	513800	0.0	199609010107
8	3	3	75.7	11.0	1993102689	牡	4	486.0	0.0	55.0	120.0	3/4	11-11-11-9	40.0	670	354	434800	0.0	199609010107
9	8	13	50.7	9.0	1993102082	牡	4	464.0	0.0	55.0	120.2	1.1/4	8-8-8-6	41.2	623	396	497005	0.0	199609010107
10	6	8	43.2	8.0	1993100839	牡	4	482.0	0.0	55.0	120.9	4	10-10-10-10	40.8	568	416	523005	0.0	199609010107
11	7	10	78.7	12.0	1993103983	牡	4	464.0	0.0	55.0	121.2	1.3/4	12-12-12-12	40.4	685	251	568800	0.0	199609010107
