着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	4	4	---	1	1989101627	牡	8	462.0	2.0	55	128.8	0			05038	05045	00nan	146.0	199656020409
2	3	3	---	4	1988107132	牡	9	483.0	5.0	55	129.4	3			0吉田隆三	05416	00nan	58.4	199656020409
3	7	7	---	5	1987104308	牡	10	450.0	0.0	58	129.4	アタマ			0高田大輔	[他] 宮本政晴	00nan	29.2	199656020409
4	8	8	---	2	1989100892	牡	8	479.0	0.0	57	129.4	ハナ			0西村栄喜	00870	00nan	19.0	199656020409
5	1	1	---	6	1988104459	牝	9	475.0	2.0	54	131.4	大			05003	[他] 後藤禎文	00nan	10.2	199656020409
6	2	2	---	9	1988100878	牡	9	445.0	-1.0	55	132.4	5			00419	00870	00nan	0.0	199656020409
7	5	5	---	7	1990100609	牡	7	492.0	7.0	55	132.7	1.1/2			05189	[他] 工藤榮一	00nan	0.0	199656020409
8	8	9	---	3	1989106913	牡	8	478.0	5.0	55	132.9	1			00421	05259	00nan	0.0	199656020409
9	6	6	---	8	1988105829	牡	9	483.0	1.0	55	133.4	2.1/2			05192	05227	00nan	0.0	199656020409
1	7	7	---	1	1989101627	牡	8	460.0	-2.0	55	134.3	0			05038	05045	00nan	146.0	199656021809
2	6	6	---	2	1987104308	牡	10	448.0	-2.0	58	134.7	2			0高田大輔	[他] 宮本政晴	00nan	58.4	199656021809
3	5	5	---	3	1989101587	牡	8	471.0	1.0	55	135.4	4			05042	00870	00nan	29.2	199656021809
4	2	2	---	4	1988107360	牡	9	488.0	-2.0	55	136.8	7			0中島洋三	[他] 松島壽	00nan	19.0	199656021809
5	8	8	---	7	1989106913	牡	8	471.0	-7.0	55	137.8	5			00421	05259	00nan	10.2	199656021809
6	3	3	---	8	1988100878	牡	9	440.0	-5.0	55	138.5	4			0西村栄喜	00870	00nan	0.0	199656021809
7	4	4	---	5	1991102371	牡	6	476.0	1.0	55	140.2	9			05192	05227	00nan	0.0	199656021809
8	1	1	---	5	1988104459	牝	9	468.0	-7.0	54	146.2	大			0吉留孝司	[他] 後藤禎文	00nan	0.0	199656021809
1	5	5	---	1	1989101627	牡	8	465.0	5.0	56	99.9	0			05038	05045	00nan	146.0	199656031009
2	1	1	---	2	1989101587	牡	8	472.0	1.0	55	100.5	3			00419	00870	00nan	58.4	199656031009
3	6	6	---	6	1991102371	牡	6	473.0	-3.0	55	101.1	3			05189	05227	00nan	29.2	199656031009
4	2	2	---	3	1988107360	牡	9	493.0	5.0	55	101.3	1			0中島洋三	[他] 松島壽	00nan	19.0	199656031009
5	7	7	---	4	1988104459	牝	9	472.0	4.0	54	101.4	1/2			0矢ケ部徹	[他] 後藤禎文	00nan	10.2	199656031009
6	8	9	---	5	1989106913	牡	8	467.0	-4.0	55	102.0	3			00421	05259	00nan	0.0	199656031009
7	8	8	---	8	1988107734	牡	9	510.0	4.0	55	102.2	1			0山田寿雄	[他] 宮本芳吉	00nan	0.0	199656031009
8	4	4	---	9	1988100878	牡	9	442.0	2.0	55	102.7	2.1/2			0吉田隆三	00870	00nan	0.0	199656031009
9	3	3	---	6	1988105829	牡	9	488.0	5.0	55	107.0	大			05192	05227	00nan	0.0	199656031009
1	7	7	---	1	1989101627	牡	8	453.0	-12.0	55	143.3	0			05038	05045	00nan	320.0	199656033109
2	4	4	---	2	1989101587	牡	8	462.0	-10.0	55	144.5	6			00419	00870	00nan	128.0	199656033109
3	2	2	---	3	1987104308	牡	10	450.0	2.0	55	146.0	8			0吉田隆三	[他] 宮本政晴	00nan	64.0	199656033109
4	8	8	---	6	1988107734	牡	9	507.0	-3.0	55	146.1	クビ			0山田寿雄	[他] 宮本芳吉	00nan	41.6	199656033109
5	3	3	---	4	1990106682	牡	7	532.0	-4.0	55	147.1	5			05189	[他] 工藤榮一	00nan	22.4	199656033109
6	6	6	---	5	1990100609	牡	7	483.0	3.0	55	147.5	2			05042	[他] 工藤榮一	00nan	0.0	199656033109
7	8	9	---	7	1989106913	牡	8	465.0	-2.0	55	147.6	1/2			00421	05259	00nan	0.0	199656033109
8	5	5	---	8	1989104425	牝	8	443.0	-7.0	54	148.9	7			05254	[他] 古澤清次	00nan	0.0	199656033109
9	1	1	---	9	1988104459	牝	9	472.0	0.0	54	157.4	大			00818	[他] 後藤禎文	00nan	0.0	199656033109
