	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199634070407	ダ	右	1000	曇	稍重		中央認定		1996-7-4	2	旭川	6	サラ系3才83万下																																											
199634070410	ダ	右	1600	曇	稍重		スターライト特別 		1996-7-4	2	旭川	6	サラ系4才OP																																											
199634070411	ダ	右	2100	曇	稍重		ステイヤーズCA	G	1996-7-4	2	旭川	6	サラ系一般OP																																											
199634071803	ダ	右	1000	曇	不良		サラ系3才新馬		1996-7-18	3	旭川	6																																												
199634071811	ダ	右	1600	晴	重		グランシャリオC	G	1996-7-18	3	旭川	6	サラ系4才OP																																											
199634080102	ダ	右	1000	晴	良		サラ系3才新馬		1996-8-1	4	旭川	6																																												
199634080103	ダ	右	1000	晴	良		サラ系3才		1996-8-1	4	旭川	6																																												
199634080107	ダ	右	1000	晴	良		JRA認定競走		1996-8-1	4	旭川	6	サラ系3才OP																																											
199634080110	ダ	右	1500	晴	良		旭川えぞまつ特別A 		1996-8-1	4	旭川	6	サラ系一般OP																																											
199634080803	ダ	右	1000	曇	良		中央認定		1996-8-8	5	旭川	3	サラ系3才62万下																																											
199634081504	ダ	右	1000	雨	良		サラ系3才		1996-8-15	5	旭川	6																																												
199634081510	ダ	右	1500	雨	重		アポロ特別 		1996-8-15	5	旭川	6	サラ系3才OP																																											
199634081511	ダ	右	2300	雨	重		ブリーダーズGC	G	1996-8-15	5	旭川	6	サラ系一般OP																																											
199634082202	ダ	右	1000	曇	良		サラ系3才		1996-8-22	6	旭川	3																																												
199634082205	ダ	右	1000	曇	良		中央認定		1996-8-22	6	旭川	3	サラ系3才64万下																																											
199634090504	ダ	右	1000	雨	不良		中央認定		1996-9-5	7	旭川	3	サラ系3才63万下																																											
199634091204	ダ	右	1000	晴	良		サラ系3才		1996-9-12	7	旭川	6																																												
199634091209	ダ	右	1400	晴	良		中央認定		1996-9-12	7	旭川	6	サラ系3才143万下																																											
199634091211	ダ	右	1600	晴	良		旭岳賞A	G	1996-9-12	7	旭川	6	サラ系一般OP																																											
199634091803	ダ	右	900	曇	良		サラ系3才		1996-9-18	8	旭川	2																																												
199634091807	ダ	右	1000	曇	良		中央認定		1996-9-18	8	旭川	2	サラ系3才66万下																																											
199634071704	ダ	右	1400	雨	不良		サラ系3才		1996-7-17	3	旭川	5																																												
199634071708	ダ	右	1600	曇	不良		サラ系4才OP		1996-7-17	3	旭川	5																																												
199634071709	ダ	右	1000	曇	不良		中央認定		1996-7-17	3	旭川	5	サラ系3才84万下																																											
199634073005	ダ	右	1000	雨	稍重		中央認定		1996-7-30	4	旭川	4	サラ系3才73万下																																											
