着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	8	11	19.8	9.0	1994100737	牡	4	486.0	0.0	55.0	75.7	0	1-1	40.2	678	1010	138800	500.0	199704010101
2	4	4	8.4	4.0	1994104742	牝	4	464.0	0.0	52.0	76.4	4	3-3	40.1	1009	421	131005	200.0	199704010101
3	6	8	45.4	11.0	1994101412	牝	4	460.0	0.0	53.0	76.5	1/2	11-10	38.5	719	371	367800	130.0	199704010101
4	6	7	17.1	8.0	1994105992	牝	4	430.0	0.0	53.0	76.5	クビ	7-6	39.4	672	214	712004	75.0	199704010101
5	3	3	4.0	1.0	1994107632	牡	4	430.0	0.0	55.0	76.7	1.1/4	2-2	40.8	701	374	338002	50.0	199704010101
6	5	5	10.3	6.0	1994101087	牡	4	474.0	0.0	55.0	77.0	2	10-10	39.3	706	286	495005	0.0	199704010101
7	7	9	62.0	12.0	1994101195	牝	4	424.0	0.0	50.0	77.1	1/2	7-8	40.0	1020	376	851009	0.0	199704010101
8	2	2	4.5	2.0	1994102302	牝	4	488.0	0.0	53.0	77.5	2.1/2	6-6	40.6	681	216	523005	0.0	199704010101
9	8	12	13.0	7.0	1994100481	牡	4	442.0	0.0	52.0	77.7	3/4	9-9	40.6	1027	410	488800	0.0	199704010101
10	5	6	4.7	3.0	1994108182	牝	4	428.0	0.0	53.0	77.7	ハナ	5-4	41.1	725	325	313002	0.0	199704010101
11	1	1	25.0	10.0	1994106194	牡	4	498.0	0.0	55.0	78.1	2.1/2	12-12	39.7	123	203	531006	0.0	199704010101
12	7	10	9.1	5.0	1994101694	牝	4	438.0	0.0	50.0	78.4	1.3/4	4-4	41.9	1017	418	19800	0.0	199704010101
1	1	1	5.3	3.0	1994108634	牝	4	482.0	0.0	53.0	110.7	0	1-1-1-1	39.2	670	438	790005	500.0	199704010102
2	6	7	3.5	1.0	1994107798	牡	4	508.0	0.0	55.0	111.4	4	10-8-7-6	39.0	729	430	546800	200.0	199704010102
3	5	6	11.6	5.0	1994108720	牝	4	442.0	0.0	53.0	112.6	7	11-11-11-11	39.5	702	1003	415800	130.0	199704010102
4	3	3	3.8	2.0	1994101253	牡	4	462.0	0.0	55.0	112.8	1	8-8-7-7	40.3	682	379	382004	75.0	199704010102
5	7	10	7.0	4.0	1994108366	牝	4	510.0	0.0	53.0	113.3	3	4-4-5-4	41.0	707	168	402009	50.0	199704010102
6	6	8	19.8	8.0	1994105584	牝	4	482.0	0.0	53.0	113.5	1.1/4	8-10-9-9	40.9	727	303	160800	0.0	199704010102
7	8	11	31.3	11.0	1994102247	牡	4	498.0	0.0	55.0	114.1	3.1/2	6-5-5-7	41.8	706	158	547800	0.0	199704010102
8	5	5	21.7	9.0	1994104683	牝	4	508.0	0.0	53.0	114.2	クビ	2-3-3-3	42.3	732	1002	354006	0.0	199704010102
9	7	9	18.5	7.0	1994106242	牡	4	486.0	0.0	55.0	114.2	クビ	12-11-10-10	41.4	629	393	321004	0.0	199704010102
10	2	2	30.3	10.0	1994106933	牡	4	460.0	0.0	55.0	114.3	クビ	2-2-2-2	42.7	725	381	891002	0.0	199704010102
11	8	12	79.8	12.0	1994102100	牡	4	440.0	0.0	55.0	114.4	1/2	7-5-4-4	42.2	656	370	63002	0.0	199704010102
中	4	4	15.8	6.0	1994101948	牝	4	506.0	0.0	53.0			4-7-12-12		622	339	605009	0.0	199704010102
1	7	11	1.8	1.0	1994109583	牝	4	418.0	0.0	53.0	126.1	0	2-2-2-2	35.6	674	361	398002	500.0	199704010103
2	3	3	21.3	7.0	1994107745	牝	4	476.0	0.0	53.0	126.4	2	9-7-8-7	35.4	622	239	321800	200.0	199704010103
3	4	6	25.7	8.0	1994102968	牡	4	482.0	0.0	55.0	126.6	1.1/4	5-5-5-5	35.7	707	168	547800	130.0	199704010103
4	7	12	10.1	4.0	1994104423	牡	4	476.0	0.0	54.0	126.6	ハナ	4-3-2-2	36.1	1004	355	546800	75.0	199704010103
5	8	13	34.9	10.0	1994102831	牡	4	500.0	0.0	55.0	126.8	1.1/2	3-3-4-6	35.8	629	393	635009	50.0	199704010103
6	3	4	19.6	5.0	1994107043	牡	4	492.0	0.0	55.0	126.8	アタマ	5-5-5-4	36.0	683	394	817002	0.0	199704010103
7	5	8	5.0	2.0	1994109516	牡	4	434.0	0.0	53.0	126.9	1/2	12-13-11-11	35.5	672	376	127002	0.0	199704010103
8	2	2	75.9	13.0	1994108096	牡	4	448.0	0.0	55.0	127.7	5	10-10-8-9	36.4	658	113	85800	0.0	199704010103
9	6	9	9.2	3.0	1994101768	牡	4	476.0	0.0	55.0	127.9	1.1/4	14-14-10-9	36.6	729	359	576009	0.0	199704010103
10	5	7	20.7	6.0	1994105405	牡	4	506.0	0.0	55.0	128.3	2.1/2	10-11-13-13	36.2	648	243	988005	0.0	199704010103
11	1	1	127.5	14.0	1994108320	牡	4	442.0	0.0	55.0	128.6	1.3/4	13-11-11-12	36.8	730	299	577001	0.0	199704010103
12	4	5	59.6	12.0	1994107522	牡	4	478.0	0.0	55.0	128.8	1.1/2	7-7-7-8	37.6	712	299	321800	0.0	199704010103
13	6	10	58.7	11.0	1994108266	牡	4	552.0	0.0	54.0	129.4	3.1/2	1-1-1-1	38.9	1009	214	927002	0.0	199704010103
14	8	14	31.4	9.0	1994106335	牡	4	488.0	0.0	55.0	131.0	10	7-9-14-14	38.2	633	436	180800	0.0	199704010103
1	2	2	10.0	4.0	1994106612	セ	4	452.0	0.0	55.0	109.3	0	1-1-1-1	39.7	696	360	513800	500.0	199704010104
2	1	1	3.0	2.0	1994108636	牡	4	492.0	-8.0	55.0	109.4	クビ	8-5-2-2	39.6	688	412	904800	200.0	199704010104
3	7	9	9.5	3.0	1994103046	牡	4	460.0	-8.0	55.0	111.0	10	10-10-8-8	40.2	702	1007	946800	130.0	199704010104
4	5	5	11.7	6.0	1994102471	牡	4	488.0	-8.0	55.0	111.3	1.3/4	3-3-4-3	41.4	633	392	684004	75.0	199704010104
5	5	6	12.4	7.0	1994109066	牡	4	516.0	-18.0	54.0	111.5	1	6-5-4-5	41.6	1009	311	648004	50.0	199704010104
6	3	3	11.5	5.0	1994101526	牡	4	488.0	-12.0	55.0	111.5	クビ	9-7-7-6	41.3	670	1003	484002	0.0	199704010104
7	7	10	55.5	10.0	1994107206	牡	4	432.0	-12.0	54.0	112.2	4	12-11-11-10	40.6	1015	425	634001	0.0	199704010104
