	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199702010101	ダ	右	1700	小雨	良	09:50	4歳未勝利		1997-6-7	1	函館	1	4歳未勝利	牝[指](馬齢)	9	150	1	9	110	1	6	190	4	3.0	240.0	5.0	5-7	480	2	6-9	830.0	3.0																							7.0 - 11.0 - 11.9 - 13.0 - 13.7 - 13.3 - 13.3 - 12.5 - 12.7	7.0 - 18.0 - 29.9 - 42.9 - 56.6 - 69.9 - 83.2 - 95.7 - 108.4 (7.0-7.0)
199702010102	ダ	右	1000	小雨	良	10:15	4歳未勝利		1997-6-7	1	函館	1	4歳未勝利	[指](馬齢)	3	270	1	3	100	1	6	110	2	7.0	170.0	3.0	3-5	350	1	3-6	380.0	1.0																							12.8 - 11.3 - 12.0 - 11.9 - 12.7	12.8 - 24.1 - 36.1 - 48.0 - 60.7 (12.8-12.8)
199702010103	ダ	右	1700	小雨	良	10:40	4歳未勝利		1997-6-7	1	函館	1	4歳未勝利	(混)[指](馬齢)	1	400	2	1	140	2	3	130	1	6.0	140.0	3.0	1-3	800	4	1-3	750.0	1.0																							7.0 - 10.8 - 11.7 - 12.5 - 13.0 - 13.2 - 12.9 - 13.0 - 13.1	7.0 - 17.8 - 29.5 - 42.0 - 55.0 - 68.2 - 81.1 - 94.1 - 107.2 (7.0-7.0)
199702010104	ダ	右	1000	曇	良	11:10	4歳未勝利		1997-6-7	1	函館	1	4歳未勝利	[指](馬齢)	8	190	1	8	100	1	3	120	2	9.0	400.0	6.0	3-7	250	1	3-8	270.0	1.0																							12.8 - 11.0 - 11.9 - 12.2 - 12.2	12.8 - 23.8 - 35.7 - 47.9 - 60.1 (12.8-12.8)
199702010105	芝	右	1000	曇	良	11:40	3歳新馬		1997-6-7	1	函館	1	3歳新馬	牝[指](馬齢)	1	1170	7	1	360	8	2	340	7	4.0	290.0	5.0	1-2	4710	18	1-2	4530.0	23.0																							12.5 - 11.1 - 11.2 - 12.4 - 12.1	12.5 - 23.6 - 34.8 - 47.2 - 59.3 (12.5-12.5)
199702010106	芝	右	1200	曇	良	12:40	3歳新馬		1997-6-7	1	函館	1	3歳新馬	(混)[指](馬齢)	7	190	1	7	160	2	5	370	4				5-7	990	5																										12.7 - 11.1 - 11.3 - 11.6 - 12.5 - 11.8	12.7 - 23.8 - 35.1 - 46.7 - 59.2 - 71.0 (12.7-12.7)
199702010107	芝	右	1000	曇	良	13:15	4歳以上500万下		1997-6-7	1	函館	1	4歳以上500万下	[指](馬齢)	1	240	1	1	120	1	3	140	2	2.0	150.0	3.0	1-3	570	1	1-3	540.0	1.0																							12.5 - 11.0 - 11.1 - 12.2 - 11.8	12.5 - 23.5 - 34.6 - 46.8 - 58.6 (12.5-12.5)
199702010108	芝	右	1000	曇	良	13:50	4歳以上500万下		1997-6-7	1	函館	1	4歳以上500万下	[指](馬齢)	3	680	4	3	240	5	2	1,210	8	6.0	190.0	4.0	2-3	11250	24	2-3	11090.0	28.0																							12.5 - 11.0 - 11.1 - 12.1 - 11.5	12.5 - 23.5 - 34.6 - 46.7 - 58.2 (12.5-12.5)
199702010109	ダ	右	1700	曇	良	14:25	檜山特別 		1997-6-7	1	函館	1	4歳以上500万下	[指](馬齢)	6	1430	6	6	310	6	4	140	1	1.0	190.0	3.0	4-5	540	1	4-6	2250.0	8.0																							6.8 - 11.2 - 11.5 - 12.5 - 13.2 - 12.6 - 13.2 - 13.0 - 12.8	6.8 - 18.0 - 29.5 - 42.0 - 55.2 - 67.8 - 81.0 - 94.0 - 106.8 (6.8-6.8)
199702010110	芝	右	1800	曇	良	15:00	奥尻特別 		1997-6-7	1	函館	1	4歳以上500万下	(混)[指](馬齢)	11	320	1	11	140	1	4	180	4	1.0	240.0	5.0	3-7	900	3	4-11	1180.0	5.0																							12.8 - 12.8 - 12.2 - 12.4 - 12.2 - 12.2 - 11.7 - 12.5 - 11.7	12.8 - 25.6 - 37.8 - 50.2 - 62.4 - 74.6 - 86.3 - 98.8 - 110.5 (12.8-12.8)
199702010111	芝	右	1200	曇	良	15:35	TVh杯 		1997-6-7	1	函館	1	4歳以上900万下	(混)[指](定量)	9	170	1	9	100	1	1	130	2	8.0	180.0	4.0	1-7	310	1	1-9	400.0	1.0																							12.1 - 10.7 - 11.0 - 11.4 - 12.2 - 12.5	12.1 - 22.8 - 33.8 - 45.2 - 57.4 - 69.9 (12.1-12.1)
199702010201	ダ	右	1000	晴	良	10:00	4歳未勝利		1997-6-8	1	函館	2	4歳未勝利	[指](馬齢)	9	240	1	9	130	2	6	490	8	8.0	120.0	1.0	6-7	400	2	6-9	3540.0	13.0																							12.4 - 10.7 - 11.8 - 12.1 - 13.3	12.4 - 23.1 - 34.9 - 47.0 - 60.3 (12.4-12.4)
199702010202	ダ	右	1700	曇	良	10:25	4歳未勝利		1997-6-8	1	函館	2	4歳未勝利	[指](馬齢)	7	500	2	7	110	2	10	100	1	4.0	110.0	3.0	6-8	320	1	7-10	400.0	2.0																							7.1 - 11.7 - 12.3 - 12.9 - 13.5 - 12.8 - 12.6 - 12.4 - 12.8	7.1 - 18.8 - 31.1 - 44.0 - 57.5 - 70.3 - 82.9 - 95.3 - 108.1 (7.1-7.1)
199702010203	芝	右	1200	曇	良	10:50	4歳未勝利		1997-6-8	1	函館	2	4歳未勝利	(混)[指](馬齢)	13	200	1	13	120	1	8	160	3	14.0	200.0	4.0	4-7	470	2	8-13	710.0	2.0																							12.3 - 10.9 - 11.2 - 11.7 - 12.6 - 12.5	12.3 - 23.2 - 34.4 - 46.1 - 58.7 - 71.2 (12.3-12.3)
199702010204	ダ	右	1000	曇	良	11:15	3歳新馬		1997-6-8	1	函館	2	3歳新馬	(混)[指](馬齢)	8	190	1	8	120	1	2	320	7	4.0	280.0	6.0	2-8	1150	5																										12.5 - 10.9 - 12.1 - 12.1 - 12.8	12.5 - 23.4 - 35.5 - 47.6 - 60.4 (12.5-12.5)
199702010205	芝	右	1000	曇	良	11:40	3歳新馬		1997-6-8	1	函館	2	3歳新馬	[指](馬齢)	1	230	1	1	140	2	3	140	3	4.0	410.0	6.0	1-3	630	2	1-3	660.0	2.0																							12.8 - 11.1 - 11.5 - 12.6 - 12.3	12.8 - 23.9 - 35.4 - 48.0 - 60.3 (12.8-12.8)
