着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	4	6	38.3	7.0	1995101932	牝	4	432.0	-4.0	52.0	109.4	0	4-4-4-3	38.7	1015	202	302800	510.0	199807010101
2	8	15	9.9	4.0	1995101983	牝	4	402.0	-4.0	53.0	109.5	クビ	4-4-2-2	38.9	682	391	900006	200.0	199807010101
3	6	11	1.8	1.0	1995105402	牝	4	446.0	6.0	53.0	109.9	2.1/2	9-9-9-10	38.7	298	419	237009	130.0	199807010101
4	7	12	195.1	14.0	1995106694	牝	4	400.0	-4.0	53.0	110.1	1	9-9-4-3	39.3	349	131	488800	77.0	199807010101
5	8	14	4.8	2.0	1995108289	牝	4	416.0	-6.0	53.0	110.3	1.1/4	3-3-1-1	39.8	722	289	801002	51.0	199807010101
6	3	5	60.3	9.0	1995104152	牝	4	454.0	0.0	50.0	110.6	2	2-1-7-7	39.7	1016	1011	930800	0.0	199807010101
7	5	8	20.4	5.0	1995100061	牝	4	500.0	0.0	53.0	110.6	クビ	6-6-4-6	39.8	705	357	520005	0.0	199807010101
8	5	9	98.4	11.0	1995103339	牝	4	442.0	0.0	52.0	110.7	クビ	14-13-11-10	39.4	1026	406	911005	0.0	199807010101
9	6	10	24.9	6.0	1995106939	牝	4	450.0	0.0	53.0	111.3	3.1/2	1-2-2-5	40.6	690	131	772002	0.0	199807010101
10	1	1	5.5	3.0	1995103762	牝	4	474.0	-6.0	53.0	111.3	アタマ	8-8-9-9	40.1	723	401	523006	0.0	199807010101
11	7	13	73.9	10.0	1995102558	牝	4	458.0	-8.0	53.0	111.5	1.1/4	12-13-14-15	39.7	706	400	688005	0.0	199807010101
12	2	3	113.0	12.0	1995100894	牝	4	420.0	-8.0	53.0	111.5	クビ	6-6-8-7	40.5	625	211	321800	0.0	199807010101
13	4	7	199.8	15.0	1995108105	牝	4	376.0	-12.0	50.0	111.6	クビ	9-9-11-12	40.3	1020	119	527800	0.0	199807010101
14	2	2	114.2	13.0	1995104914	牝	4	410.0	-12.0	53.0	111.6	アタマ	13-12-13-13	40.1	600	342	598009	0.0	199807010101
15	3	4	53.9	8.0	1995104919	牝	4	428.0	-6.0	53.0	111.7	1/2	14-15-15-14	39.8	307	1001	537006	0.0	199807010101
1	7	12	8.2	4.0	1995106262	牡	4	446.0	0.0	53.0	60.4	0	2-2	36.7	1008	207	980009	510.0	199807010102
2	7	11	3.5	2.0	1995108263	牡	4	472.0	-4.0	55.0	60.7	2	1-1	37.1	349	131	570002	200.0	199807010102
3	3	3	115.8	13.0	1995101502	牝	4	424.0	2.0	53.0	61.1	2.1/2	7-7	36.6	688	425	951005	130.0	199807010102
4	6	9	4.3	3.0	1995100402	牡	4	482.0	2.0	55.0	61.5	2.1/2	4-4	37.4	670	1003	367800	77.0	199807010102
5	4	6	3.0	1.0	1995102049	牡	4	462.0	6.0	55.0	61.5	クビ	6-6	37.2	676	1010	475002	51.0	199807010102
6	1	1	11.3	5.0	1995101747	牡	4	458.0	2.0	55.0	61.7	1.1/2	3-3	37.8	705	177	442800	0.0	199807010102
7	5	8	67.3	10.0	1995102314	牡	4	488.0	10.0	52.0	62.0	2	11-10	37.2	1030	365	760005	0.0	199807010102
8	2	2	20.4	7.0	1995103484	牡	4	482.0	-4.0	55.0	62.2	1.1/2	4-4	38.1	706	333	356002	0.0	199807010102
9	4	5	42.1	9.0	1995103263	牝	4	446.0	-18.0	53.0	62.2	ハナ	14-13	36.7	729	164	769003	0.0	199807010102
10	8	13	108.1	12.0	1995105679	牡	4	432.0	-4.0	55.0	62.2	ハナ	9-9	37.7	728	368	373800	0.0	199807010102
11	5	7	103.5	11.0	1995107266	牡	4	430.0	-4.0	52.0	62.4	3/4	11-12	37.6	1022	1012	458800	0.0	199807010102
12	6	10	29.8	8.0	1995102260	牡	4	550.0	14.0	55.0	62.7	2	13-14	37.4	628	350	602002	0.0	199807010102
13	3	4	19.5	6.0	1995106017	牝	4	434.0	-4.0	53.0	62.7	アタマ	7-8	38.2	631	424	117800	0.0	199807010102
14	8	14	369.0	14.0	1995106704	牝	4	410.0	4.0	53.0	63.9	7	10-10	39.3	702	1008	293002	0.0	199807010102
1	8	16	10.2	5.0	1995107973	牡	4	468.0	-4.0	55.0	121.9	0	6-6-6-5	36.7	698	175	463800	510.0	199807010103
2	3	6	146.3	14.0	1995108008	牡	4	464.0	-4.0	52.0	122.0	1/2	13-13-8-8	36.3	1020	427	84800	200.0	199807010103
3	4	8	1.9	1.0	1995108951	牡	4	466.0	-2.0	55.0	122.2	1.1/4	11-11-5-2	37.1	676	383	536800	130.0	199807010103
4	2	4	18.2	8.0	1995106050	牡	4	498.0	-4.0	55.0	122.2	クビ	1-1-1-1	38.0	648	250	878005	77.0	199807010103
5	6	11	10.2	4.0	1995102761	牡	4	460.0	-4.0	54.0	122.3	3/4	9-9-10-9	36.5	1011	180	980800	51.0	199807010103
6	2	3	9.1	3.0	1995108422	牡	4	470.0	-6.0	55.0	122.7	2.1/2	5-5-3-2	37.7	734	329	948006	0.0	199807010103
7	3	5	16.5	6.0	1995108364	牡	4	456.0	0.0	55.0	123.0	1.3/4	7-7-7-7	37.5	670	110	513800	0.0	199807010103
8	1	1	5.6	2.0	1995100433	牡	4	420.0	0.0	55.0	123.2	1.1/2	11-11-13-13	37.2	705	137	263005	0.0	199807010103
9	5	9	93.6	12.0	1995105919	牡	4	442.0	-8.0	55.0	123.4	1.1/2	2-2-2-2	38.6	682	391	548800	0.0	199807010103
10	8	15	137.3	13.0	1995100908	牡	4	464.0	-8.0	54.0	123.9	3	9-9-10-10	38.1	1004	418	326005	0.0	199807010103
11	4	7	71.6	10.0	1995101746	牡	4	466.0	0.0	55.0	123.9	クビ	13-13-14-11	37.6	544	177	75002	0.0	199807010103
12	5	10	17.6	7.0	1995108842	牝	4	448.0	0.0	53.0	124.3	2.1/2	2-2-3-6	39.3	726	353	924009	0.0	199807010103
13	6	12	79.6	11.0	1995101779	牝	4	430.0	-8.0	53.0	124.5	1.1/4	7-8-10-11	38.7	722	406	547800	0.0	199807010103
14	7	14	38.4	9.0	1995104577	牡	4	476.0	-4.0	55.0	124.7	1.1/2	2-2-8-13	39.0	606	140	918005	0.0	199807010103
15	7	13	209.4	15.0	1995102429	牡	4	418.0	4.0	55.0	125.1	2.1/2	15-15-15-15	38.2	349	217	727000	0.0	199807010103
除	1	2	---		1995100940	牝	4	456.0	-4.0	53.0					678	1010	359009	0.0	199807010103
1	1	1	2.3	1.0	1995106430	牡	4	496.0	20.0	55.0	107.8	0	2-3-5-3	37.7	682	114	593006	510.0	199807010104
2	2	2	2.9	2.0	1995106510	牡	4	446.0	-2.0	55.0	108.0	1	4-6-6-6	37.6	298	199	741002	200.0	199807010104
3	5	6	12.4	6.0	1995102801	牡	4	484.0	-12.0	54.0	108.1	3/4	1-1-1-1	38.4	1015	396	497005	130.0	199807010104
4	7	10	7.5	3.0	1995104994	牡	4	456.0	-2.0	55.0	108.3	1.1/2	7-7-4-3	38.3	600	1016	424009	77.0	199807010104
5	8	11	10.9	4.0	1995103487	牡	4	464.0	6.0	53.0	108.3	クビ	2-2-2-2	38.5	1008	433	691001	51.0	199807010104
6	5	5	264.3	11.0	1995100212	牡	4	458.0	-4.0	55.0	109.0	4	10-10-7-7	38.5	628	357	574001	0.0	199807010104
7	6	8	76.6	9.0	1995106468	牡	4	436.0	4.0	55.0	109.2	1.1/4	11-11-11-9	37.9	705	1002	334009	0.0	199807010104
8	8	12	11.8	5.0	1995103209	牡	4	472.0	-4.0	54.0	109.9	4	4-4-3-5	40.0	1026	158	280009	0.0	199807010104
9	6	7	58.8	8.0	1995108442	牡	4	444.0	-2.0	55.0	110.1	1.1/4	4-4-8-8	39.4	734	378	436005	0.0	199807010104
10	3	3	16.2	7.0	1995100259	牡	4	460.0	-18.0	55.0	110.2	3/4	8-8-9-9	39.2	681	216	382004	0.0	199807010104
11	7	9	312.0	12.0	1995101644	牡	4	450.0	0.0	55.0	111.3	7	11-11-12-11	39.8	723	1017	397800	0.0	199807010104
12	4	4	224.2	10.0	1995101661	牡	4	448.0	0.0	55.0	112.1	5	8-8-9-11	41.1	706	212	308004	0.0	199807010104
1	6	12	5.2	3.0	1995101918	牡	4	432.0	0.0	54.0	112.1	0	4-4-4-3	33.7	1015	395	97002	600.0	199807010105
2	7	14	58.0	15.0	1995101612	牝	4	448.0	0.0	53.0	112.4	2	1-1-1-1	34.4	688	413	958800	240.0	199807010105
3	8	15	3.3	1.0	1995103655	牡	4	476.0	0.0	55.0	112.6	1.1/2	2-2-2-2	34.5	674	191	542800	150.0	199807010105
4	8	16	14.9	5.0	1995100479	牡	4	440.0	0.0	55.0	113.3	4	4-4-5-4	34.8	600	177	738005	90.0	199807010105
5	5	10	47.4	14.0	1995100147	セ	4	494.0	0.0	55.0	114.0	4	10-9-6-6	35.3	690	337	50002	60.0	199807010105
6	6	11	11.4	4.0	1995100336	牡	4	454.0	0.0	52.0	114.0	クビ	2-3-3-4	35.7	1020	427	764001	0.0	199807010105
7	3	5	27.6	10.0	1995106505	牡	4	440.0	0.0	55.0	114.1	クビ	4-8-8-8	35.2	728	368	4800	0.0	199807010105
8	5	9	3.9	2.0	1995101507	牡	4	456.0	0.0	55.0	114.4	1.3/4	15-15-10-8	35.3	705	425	56002	0.0	199807010105
9	2	4	26.9	9.0	1995108390	牡	4	494.0	0.0	55.0	114.6	1.1/2	14-14-13-12	35.3	714	301	145002	0.0	199807010105
10	3	6	29.8	11.0	1995105166	牝	4	386.0	0.0	52.0	114.7	1/2	9-9-10-8	35.6	1026	181	530006	0.0	199807010105
11	2	3	15.0	6.0	1995102805	牡	4	460.0	0.0	55.0	114.7	クビ	10-11-10-12	35.6	698	350	196800	0.0	199807010105
12	7	13	21.9	7.0	1995105320	牡	4	490.0	0.0	55.0	115.7	6	8-6-6-7	37.0	682	250	401800	0.0	199807010105
13	1	2	44.6	13.0	1995103527	牡	4	466.0	0.0	55.0	115.9	1.1/4	15-15-14-15	36.3	136	340	523005	0.0	199807010105
14	4	8	24.9	8.0	1995104978	牡	4	480.0	0.0	55.0	115.9	クビ	4-6-8-11	37.0	729	184	331800	0.0	199807010105
15	4	7	30.0	12.0	1995101727	牝	4	470.0	0.0	52.0	116.3	2.1/2	13-11-14-14	36.7	1011	336	595009	0.0	199807010105
16	1	1	100.5	16.0	1995105325	牡	4	484.0	0.0	55.0	118.9	大	10-11-16-16	39.0	670	334	748001	0.0	199807010105
1	3	5	13.7	6.0	1993109029	牝	6	466.0	-4.0	55.0	107.2	0	8-8-7-7	38.1	642	108	560009	750.0	199807010106
2	3	6	153.7	15.0	1994100259	牝	5	422.0	2.0	54.0	107.2	クビ	4-4-3-3	38.3	726	1005	578009	300.0	199807010106
3	1	1	6.8	3.0	1993102051	牝	6	452.0	0.0	55.0	107.3	クビ	15-14-12-9	37.8	714	253	919004	190.0	199807010106
4	2	4	51.1	12.0	1994105896	牝	5	422.0	-8.0	54.0	107.5	1.1/4	4-5-3-3	38.6	307	153	321009	110.0	199807010106
5	6	12	10.4	5.0	1993105282	牝	6	460.0	-6.0	55.0	107.6	1/2	2-2-2-2	38.9	628	357	574001	75.0	199807010106
6	4	8	3.4	2.0	1993107485	牝	6	436.0	4.0	55.0	107.6	アタマ	11-11-7-8	38.4	298	212	976002	0.0	199807010106
7	5	9	10.1	4.0	1994100158	牝	5	466.0	2.0	54.0	107.9	1.3/4	1-1-1-1	39.3	623	396	342004	0.0	199807010106
8	2	3	171.6	16.0	1994101086	牝	5	460.0	8.0	54.0	108.0	1/2	13-11-11-9	38.6	729	184	359800	0.0	199807010106
9	7	13	3.2	1.0	1993109160	牝	6	466.0	-6.0	55.0	108.2	1.1/2	4-5-3-3	39.3	705	175	415800	0.0	199807010106
10	8	15	25.0	9.0	1994104462	牝	5	428.0	-8.0	54.0	108.2	ハナ	11-11-13-13	38.5	688	431	334009	0.0	199807010106
