	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199809010101	ダ	右	1800	晴	良	10:05	4歳未勝利		1998-2-28	1	阪神	1	4歳未勝利	(父)[指](馬齢)	2	480	2	2	140	2	7	270	5	10.0	160.0	3.0	2-6	850	4	2-7	2070.0	8.0																							13.4 - 12.4 - 13.8 - 13.7 - 13.7 - 13.2 - 12.4 - 12.5 - 12.2	13.4 - 25.8 - 39.6 - 53.3 - 67.0 - 80.2 - 92.6 - 105.1 - 117.3 (13.4-13.4)
199809010102	ダ	右	1200	晴	良	10:30	4歳未勝利		1998-2-28	1	阪神	1	4歳未勝利	(混)[指](馬齢)	6	180	1	6	120	1	2	170	4	5.0	140.0	3.0	2-6	710	3	2-6	770.0	3.0																							13.0 - 11.2 - 11.8 - 11.9 - 12.3 - 12.6	13.0 - 24.2 - 36.0 - 47.9 - 60.2 - 72.8 (13.0-13.0)
199809010103	ダ	右	1800	曇	良	10:55	4歳新馬		1998-2-28	1	阪神	1	4歳新馬	(混)[指](馬齢)	5	2200	7	5	470	7	6	220	4	2.0	120.0	1.0	5-6	7260	20																										13.1 - 12.0 - 14.0 - 13.9 - 12.5 - 12.8 - 12.7 - 12.8 - 12.8	13.1 - 25.1 - 39.1 - 53.0 - 65.5 - 78.3 - 91.0 - 103.8 - 116.6 (13.1-13.1)
199809010104	ダ	右	1200	曇	良	11:25	4歳新馬		1998-2-28	1	阪神	1	4歳新馬	牝[指](馬齢)	14	230	1	14	120	1	4	170	3	15.0	170.0	4.0	3-8	440	1	4-14	850.0	2.0																							12.9 - 11.3 - 12.8 - 12.3 - 12.5 - 12.9	12.9 - 24.2 - 37.0 - 49.3 - 61.8 - 74.7 (12.9-12.9)
199809010105	障		3000	曇	良  ダート	11:55	障害4歳以上未勝利		1998-2-28	1	阪神	1	障害4歳以上未勝利	(混)(馬齢)	10	170	1	10	120	1	8	350	5	1.0	180.0	3.0	7-8	240	1	8-10	1370.0	5.0																								
199809010106	芝	右	2000	曇	良	12:55	4歳新馬		1998-2-28	1	阪神	1	4歳新馬	(混)[指](馬齢)	1	440	2	1	140	2	6	110	1	3.0	550.0	8.0	1-5	420	1	1-6	430.0	1.0																							12.7 - 11.8 - 13.2 - 13.3 - 13.3 - 13.3 - 13.1 - 12.0 - 11.5 - 11.4	12.7 - 24.5 - 37.7 - 51.0 - 64.3 - 77.6 - 90.7 - 102.7 - 114.2 - 125.6 (12.7-12.7)
199809010107	ダ	右	1200	曇	良	13:25	4歳500万下		1998-2-28	1	阪神	1	4歳500万下	(特指)(馬齢)	13	810	3	13	340	6	16	330	5	10.0	260.0	4.0	7-8	2020	7	13-16	3370.0	10.0																							12.6 - 10.7 - 11.5 - 11.8 - 12.4 - 12.9	12.6 - 23.3 - 34.8 - 46.6 - 59.0 - 71.9 (12.6-12.6)
199809010108	ダ	右	1800	曇	良	14:00	4歳以上500万下		1998-2-28	1	阪神	1	4歳以上500万下	[指](別定)	11	480	3	11	180	3	6	270	5	7.0	330.0	7.0	6-8	670	3	6-11	1940.0	9.0																							13.2 - 11.9 - 13.2 - 12.8 - 13.0 - 12.7 - 12.7 - 12.3 - 13.0	13.2 - 25.1 - 38.3 - 51.1 - 64.1 - 76.8 - 89.5 - 101.8 - 114.8 (13.2-13.2)
199809010109	芝	右	1200	曇	良	14:35	雪割草特別 		1998-2-28	1	阪神	1	4歳500万下	(混)(特指)(馬齢)	11	2270	9	11	420	8	5	180	3	6.0	140.0	1.0	4-7	790	2	5-11	5210.0	25.0																							12.3 - 10.9 - 11.4 - 12.0 - 11.6 - 12.3	12.3 - 23.2 - 34.6 - 46.6 - 58.2 - 70.5 (12.3-12.3)
199809010110	芝	右	1400	曇	良	15:10	うずしおステークス 		1998-2-28	1	阪神	1	4歳以上1600万下	(混)	8	860	3	8	300	3	12	360	6	4.0	900.0	10.0	6-8	2830	10	8-12	5030.0	20.0																							12.2 - 10.9 - 11.4 - 11.6 - 11.8 - 11.5 - 12.3	12.2 - 23.1 - 34.5 - 46.1 - 57.9 - 69.4 - 81.7 (12.2-12.2)
