着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	---	6	1994501943	牡	5	470.0	4.0	55.0	95.4	0			00443	a0136	x00d73	30.0	199839012501
2	2	2	---	8	1994500500	牡	5	471.0	-1.0	55.0	95.5	クビ			a00f8	a0136	x00b87	9.6	199839012501
3	5	5	---	9	1993501196	牡	6	443.0	3.0	55.0	95.5	クビ			05312	a0130	x00b94	3.6	199839012501
4	8	8	---	1	1993500893	牡	6	452.0	-4.0	55.0	95.6	クビ			a00f6	a0137	125009	3.3	199839012501
5	6	6	---	7	1991501661	牡	8	458.0	3.0	55.0	96.0	2			a00f1	a013b	x00dd7	3.0	199839012501
6	8	9	---	4	1993500576	牡	6	465.0	-5.0	55.0	96.2	1			05024	a0142	x00e19	0.0	199839012501
7	4	4	---	3	1992501609	牝	7	443.0	-3.0	54.0	96.3	1/2			05298	a0140	x00e1b	0.0	199839012501
8	7	7	---	5	1994501846	牡	5	442.0	3.0	55.0	96.5	1			a00ea	a0145	x00b22	0.0	199839012501
9	1	1	---	2	1993501563	牝	6	438.0	-3.0	54.0	98.7	大			a00f2	05336	462007	0.0	199839012501
1	7	8	---	3	1994103155	牡	5	435.0	-5.0	55.0	94.0	0			05248	a0137	x00b15	30.0	199839012502
2	8	9	---	10	1993101634	牝	6	416.0	-4.0	54.0	94.1	3/4			00443	a0140	x00b86	9.6	199839012502
3	3	3	---	4	1994101492	牝	5	416.0	-4.0	54.0	94.7	3			05215	a013e	x0029d	3.6	199839012502
4	2	2	---	1	1994103510	牝	5	450.0	5.0	54.0	95.2	2.1/2			05012	a0139	795005	3.3	199839012502
5	7	7	---	6	1994100659	牝	5	423.0	-3.0	54.0	95.4	3/4			a00eb	a0148	x00e1d	3.0	199839012502
6	6	6	---	2	1992109301	牝	7	465.0	5.0	54.0	95.5	3/4			a00f1	a013e	x00644	0.0	199839012502
7	1	1	---	5	1994102106	牝	5	419.0	-4.0	54.0	95.6	1/2			05001	a013a	412800	0.0	199839012502
8	5	5	---	8	1993101391	牝	6	425.0	-2.0	54.0	96.2	3			05358	a0139	x00c63	0.0	199839012502
