	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199843010201	ダ	左	1500	晴	重	10:10	C3七		1998-1-2	11	船橋	2	(定量)																																								2,4,7,8,11,10,12,(1,6),9,3,5	(2,4),(8,7),(10,11),12,9,3,6,5,1		
199843010202	ダ	左	1500	晴	重	10:35	C3六		1998-1-2	11	船橋	2	(定量)																																								10,12,7,(2,6),(5,4),(1,11),3,8,9	10,12,7,2,(6,4,5),3,(1,11),8,9		
199843010203	ダ	左	1500	晴	重	11:00	5才		1998-1-2	11	船橋	2	37万円以上76万円以下	(定量)																																							86529731104	8,5,6,7,2,9,3,(10,4),1		
199843010204	ダ	左	1500	晴	重	11:30	5才イ		1998-1-2	11	船橋	2	76万円以上145万円以下	(定量)																																							(2,3),7,4,1,6,(5,8),9	2,7,3,1,4,(6,8),5,9		
199843010206	ダ	左	1400	曇	重	12:30	4才イ		1998-1-2	11	船橋	2	20万円以上55万円以下	(定量)																																							3,7,1,5,6,4,8,(9,2)	(3,7),1,5,8,(4,6),9,2		
199843010207	ダ	左	1400	曇	重	13:05	4才ア		1998-1-2	11	船橋	2	20万円以上55万円以下	(定量)																																							1,3,(7,6),4,11,2,9,10,5,8	(1,3),6,7,4,2,11,10,9,5,8		
199843010208	ダ	左	1600	曇	稍重	13:40	特選		1998-1-2	11	船橋	2	(定量)																																								12,(11,9),4,6,7,2,8,1,3,5	12,9,11,4,7,(6,2),8,(1,3),5		
199843010301	ダ	左	1400	晴	稍重	10:10	4才ウ		1998-1-3	11	船橋	3	20万円以下	(定量)																																							1,(6,5),9,10,7,3,4,2,8	1,6,(9,5),10,(3,7),4,(8,2)		
199843010302	ダ	左	1400	晴	稍重	10:35	4才イ		1998-1-3	11	船橋	3	20万円以下	(定量)																																							(7,12),9,(3,10),(1,5),2,8,6,11,4	(7,12),3,10,8,5,1,9,4,(11,6),2		
199843010303	ダ	左	1400	晴	稍重	11:00	4才ア		1998-1-3	11	船橋	3	20万円以下	(定量)																																							1,(4,9),3,(5,6),8,2,10,11,7	(1,4,9),(3,6),8,(5,10),11,2-7		
199843010304	ダ	左	1500	晴	稍重	11:30	C3五		1998-1-3	11	船橋	3	(定量)																																								(2,10),8,5,7,4,6,(9,11),3,1	(2,10),8,5,(7,4),(9,11),6,1,3		
199843010305	ダ	左	1500	晴	稍重	12:00	C3四		1998-1-3	11	船橋	3	(定量)																																								4,12,2,1,(7,10),(6,9),(11,5),(8,3)	(4,12),2,(1,7),5,10,(11,9,6),(8,3)		
199843010306	ダ	左	1600	晴	稍重	12:30	5才イ		1998-1-3	11	船橋	3	145万円以上210万円以下	(定量)																																							10,9,6,(3,8),5,4,7,1,2	10,9,8,(3,4),7,5,6,1-2		
199843010307	ダ	左	1600	晴	稍重	13:05	5才ア		1998-1-3	11	船橋	3	145万円以上210万円以下	(定量)																																							(9,10),12,(3,4),6,(8,7),(5,2),11,1	(9,10),12,(3,4,6),7,(2,8),5,(1,11)		
199843010308	ダ	左	1600	晴	稍重	13:40	特選		1998-1-3	11	船橋	3	(定量)																																								2,5,8,(9,7,6,4),3,1	(5,8,2),(4,6),9,7,3,1		
199843010309	ダ	左	1600	晴	稍重	14:15	若獅子特別 		1998-1-3	11	船橋	3	190万円以上300万円以下	(定量)																																							(6,10),4,8,9,5,7,(3,1),2	61048975312		
199843010310	ダ	左	1600	晴	稍重	14:50	初春特別 		1998-1-3	11	船橋	3	(定量)																																								(1,4,8),9,(3,5),13,(2,7),6,12,10,11	(1,4),9,(8,7),5,13,3,(6,11),2,10,12		
199843010311	ダ	左	1800	晴	稍重	15:30	報知グランプリカップ	G	1998-1-3	11	船橋	3	(ハンデ)																																								(7,12),9,14,(13,1),6,(5,8),4,(11,3),10,2	(7,12),14,9,13,1,5,(8,6),11,(10,4),3,2		
199843010401	ダ	左	1000	雨	稍重	10:10	4才ウ　未出走		1998-1-4	11	船橋	4	(定量)																																								(2,3),6,1,7,4,5	3621754		
199843010402	ダ	左	1000	雨	稍重	10:35	4才イ　未出走		1998-1-4	11	船橋	4	(定量)																																								5642731.0	5642731.0		
199843010403	ダ	左	1000	雨	稍重	11:00	4才ア　未出走		1998-1-4	11	船橋	4	(定量)																																								7,3,(1,2),5,4,6	7,(1,3),2,5,4,6		
199843010404	ダ	左	1600	雨	重	11:30	5才イ		1998-1-4	11	船橋	4	210万円以上	(定量)																																							7,9,(6,8),(1,3),5,4,2	7,9,(8,3),6,1,5,4,2		
199843010405	ダ	左	1600	雨	重	12:00	5才ア		1998-1-4	11	船橋	4	210万円以上	(定量)																																							(10,11),6,(7,8),2,3,(4,1),9,5	(10,11),7,6,8,3,(2,4),1,5,9		
199843010406	ダ	左	1600	雨	重	12:30	特選		1998-1-4	11	船橋	4	(ハンデ)																																								5,6,(4,3),12,2,8,7,14,11,13,10,9	5,6,(4,3),12,7,2,8,14,11,(13,10),9		
199843010407	ダ	左	1600	曇	重	13:05	特選		1998-1-4	11	船橋	4	(定量)																																								(8,9),2,11,12,(6,4),(10,7),(3,1,5)	(8,9),2,(12,11),(6,4),10,7,1,5-3		
199843010408	ダ	左	1600	曇	重	13:40	特選		1998-1-4	11	船橋	4	(定量)																																								(11,4),(13,2),(8,10,14),9,6,(5,3),12,7,1	11,(13,4),2,14,(9,8),10,3,6,5,12,7,1		
199843010409	ダ	左	1600	曇	重	14:15	千両特別 		1998-1-4	11	船橋	4	(定量)																																								(7,1),5,2,9,8,6,4,(3,12),11,(10,13)	(7,1),2,9,(6,4),(5,12),(11,3),8,10,13		
199843021001	ダ	左	1400	曇	良	11:20	5才		1998-2-10	12	船橋	2	30万円以上44万円以下	(定量)																																							69518103724	9,(6,5),1,(10,8),3,7,(2,4)		
199843021002	ダ	左	1500	曇	良	11:45	5才		1998-2-10	12	船橋	2	44万円以上85万円以下	(定量)																																							8,5,(4,3,2),7,(1,6),10,9	(8,3),4,5,(1,2,6),10,7,9		
199843021003	ダ	左	1400	曇	良	12:10	C3五　イ		1998-2-10	12	船橋	2	(定量)																																								2,10,3,5,1,11,(6,7),9,8,4	2,10,3,5,11,1,9,(6,7),8,4		
199843021004	ダ	左	1400	曇	良	12:40	C3五　ア		1998-2-10	12	船橋	2	(定量)																																								10,1,6,5,8,2,7,(9,4),(3,11)	10,1,5,8,6,2,7,(3,4,9),11		
199843021005	ダ	左	1500	曇	良	13:10	4才イ		1998-2-10	12	船橋	2	26万円以上59万円以下	(定量)																																							5,(7,8,9),(4,12),1,(3,2),10,(6,11)	(5,9),(8,7),12,1,4,(3,2),10,6,11		
199843021006	ダ	左	1500	曇	良	13:40	4才ア		1998-2-10	12	船橋	2	26万円以上59万円以下	(定量)																																							2,10,(3,11),5,6,4,9,1,7,8,12	2,(10,11),3,4,6,5,9,1,7,(8,12)		
199843021007	ダ	左	1600	曇	良	14:10	特選		1998-2-10	12	船橋	2	(定量)																																								(8,2),9,13,11,(6,14),12,5,4,1,3,7,10	8,(2,9),13,(11,6),12,14,5,4,1,3,7,10		
199843021008	ダ	左	1600	曇	良	14:40	特選		1998-2-10	12	船橋	2	(定量)																																								8,1,11,(9,14),(7,10),(3,13),(2,5,4),12,6	8,14,1,11,10,7,13,(9,3),2,(4,12,6),5		
199843021009	ダ	左	1600	曇	良	15:10	’98ベストスパー特 		1998-2-10	12	船橋	2	(定量)																																								(1,8),(9,12,5),4,(11,13),(10,2),(3,7),6	(8,1),(9,5),4,12,10,(11,2),13,3,7,6		
199843021010	ダ	左	1600	曇	良	15:40	春寒特別 		1998-2-10	12	船橋	2	(定量)																																								(4,7,14),6,(8,10,2,5),12,(11,1),3,13,9	(4,7,14),6,10,5,(8,12),3,2,(1,13),11,9		
199843021011	ダ	左	1700	晴	良	16:10	’98フレンドリース 		1998-2-10	12	船橋	2	(別定)																																								6,14,12,(3,4),(2,7,11,13),(8,9),10,1,5	6,(12,14),(13,11),3,(8,7,4,9),1,(10,2,5)		
199843021201	ダ	左	1400	曇	良	11:20	C1		1998-2-12	12	船橋	4	(定量)																																								(3,8),(1,6,5),9,2,4,7	8,3,5,6,1,2,4,(7,9)		
199843021202	ダ	左	1000	曇	良	11:45	4才　未出走		1998-2-12	12	船橋	4	(定量)																																								8,7,2,1,9,(5,3),(4,6)	8,7,2,9,1,(5,3),4,6		
199843021203	ダ	左	1000	曇	良	12:10	4才　未出走		1998-2-12	12	船橋	4	(定量)																																								1,9,4,(7,3),8,2,(5,6)	1,9,4,(7,3),8,2,6,5		
199843021204	ダ	左	1600	曇	良	12:40	5才イ		1998-2-12	12	船橋	4	150万円以上220万円以下	(定量)																																							26789101345	(2,6),7,8,9,10,1,3,4,5		
199843021205	ダ	左	1600	曇	良	13:10	5才ア		1998-2-12	12	船橋	4	150万円以上220万円以下	(定量)																																							1,3,10,(4,2),11,5,6,9,7,8,12	1,3,10,11,4,12,(2,6),5,(7,8),9		
199843021206	ダ	左	1500	曇	良	13:40	C3三		1998-2-12	12	船橋	4	(定量)																																								(4,8),6,(5,2,3),1,7,9	4,8,6,5,2,3,(1,9),7		
199843021207	ダ	左	1600	曇	良	14:10	C3二		1998-2-12	12	船橋	4	(定量)																																								7,8,6,(2,10),1,4,5,(3,9)	7,8,(6,10),2,1,5,4,9,3		
199843021208	ダ	左	1600	雨	良	14:40	特選		1998-2-12	12	船橋	4	(定量)																																								14,2,5,8,6,(1,4),10,11,3,9,12,7,13	14,8,(6,2),1,4,(11,10),5,3,9,12,13,7		
199843021209	ダ	左	1600	雨	稍重	15:10	’98ベストスパー特 		1998-2-12	12	船橋	4	(定量)																																								5,(7,14),1,6,11,3,12,10,4,2,9,8,13	(5,7,14),6,1,12,11,10,3,(4,9,2),8,13		
199843021210	ダ	左	1600	曇	稍重	15:40	カトレア特別 		1998-2-12	12	船橋	4	(定量)																																								4,1,2,8,(12,13,10),11,5,7,3,6,9	4,1,(2,8),11,12,10,13,(5,3,7),6,9		
199843031601	ダ	左	1400	晴	良	11:20	5才イ		1998-3-16	13	船橋	1	43万円以下	(定量)																																							9,(11,10),3,12,7,5,8,2,6,4,1	9,(10,11),3,12,7,(2,5),8,6,4,1		
199843031602	ダ	左	1400	晴	良	11:45	5才ア		1998-3-16	13	船橋	1	43万円以下	(定量)																																							1,2,3,8,9,4,10,5,6,12,11-7	1,2,8,3,(6,10,9),5,11,12,4-7		
199843031603	ダ	左	1400	晴	良	12:10	C3八		1998-3-16	13	船橋	1	(定量)																																								4,10,2,11,9,1,5,(12,6),3,8,7	4,11,(2,10),9,1,(12,6),(5,3,8),7		
199843031604	ダ	左	1400	晴	良	12:40	C3七		1998-3-16	13	船橋	1	(定量)																																								192611584312710	1,2,9,(11,4),6,8,5,3,12,10,7		
199843031605	ダ	左	1500	晴	良	13:10	4才		1998-3-16	13	船橋	1	144万円以上168万円以下	(定量)																																							915284673	9,5,2,(8,4),1,(7,6),3		
199843031606	ダ	左	1500	晴	良	13:40	4才ア		1998-3-16	13	船橋	1	168万円以上305万円以下	(定量)																																							3,11,2,(10,12),8,6,7,9,(5,1),4	3,11,2,(12,10),9,8,7,6,5,1,4		
199843031607	ダ	左	1500	晴	良	14:10	4才イ		1998-3-16	13	船橋	1	168万円以上305万円以下	(定量)																																							6,7,2,(3,11),9,(8,5,10),1,4	6,2,7,11,3,9,8,(5,1),10,4		
199843031608	ダ	左	1600	晴	良	14:40	特選		1998-3-16	13	船橋	1	(定量)																																								13,(12,8),(5,9),6,7,14,11,2,10,1,3,4	1312895671411121034		
199843031609	ダ	左	1600	晴	良	15:10	すみれ特別 		1998-3-16	13	船橋	1	430万円以上	(定量)																																							3,8,9,5,1,4-7,6,2	3,(8,9),1,4,5,7,6,2		
