	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
199846091501	ダ	右	900	曇	稍重	11:20	3才		1998-9-15	12	金沢	6	(馬齢)																																								(1,7)-9,(2,3,6),(5,4),8	(1,7)=3,(2,9,6,5),4,8					
199846091502	ダ	右	1300	曇	稍重	11:50	3才		1998-9-15	12	金沢	6	(馬齢)																																						(5,3),(6,7),(9,4),8,2,1	(5,6,7),(3,9),(8,4),(1,2)	(5,6,7),9,3,(8,4),2-1	7,9-5,2,(3,4),6-8-1					
199846091503	ダ	右	1400	晴	稍重	12:20	C3		1998-9-15	12	金沢	6	(馬齢)																																						4,6,(7,3),8,5,1,2	(4,6),7=3,8,(2,1),5	(6,4,3),(7,2),8,(5,1)	6,3,(8,2),1,(5,4),7					
199846091504	ダ	右	1400	晴	稍重	12:50	C1		1998-9-15	12	金沢	6	(馬齢)																																						(6,1),(2,3),4,8,(5,7),9	6,1,2,3,(5,4),8,7,9	6,(1,2),3,4,(5,8),(7,9)	(6,2),3-1,5,4,(8,7,9)					
199846091505	ダ	右	1400	曇	稍重	13:20	C1		1998-9-15	12	金沢	6	(馬齢)																																						2,5-3-1,6,(4,7),8	2,5=3,1=4,(6,8),7	(5,2),(3,1),(6,4),8,7	5-3,(2,1,4,6)=(7,8)					
199846091506	ダ	右	1500	雨	稍重	13:55	シリウス特別 		1998-9-15	12	金沢	6	(馬齢)																																						4,5,8,(7,1,6),3,2	4,5,(8,7,1),(3,6),2	(5,4),8,6,(7,1),3=2	5,4,(7,8,6),(1,3)=2					
199846091507	ダ	右	1500	雨	稍重	14:30	B3		1998-9-15	12	金沢	6	(馬齢)																																						4,8,10-9,(1,5),6,(2,7),3	4,8,10,1-9,(5,6),2,7-3	(4,8),10-9,(1,2,5,6)-7,3	4,8,10-9,2,6,1-5,(7,3)					
199846091508	ダ	右	1700	曇	重	15:05	レグルス特別 		1998-9-15	12	金沢	6	(馬齢)																																						(3,4,7),(2,6),5,1	(3,4),7,2,(6,5),1	(3,4),7,(6,5,2)-1	(3,4),(6,5),(7,2)-1					
199846091509	ダ	右	2100	雨	重	15:40	MRO金賞	G	1998-9-15	12	金沢	6	(別定)																																						10,11,7,9,(2,3),6,5,1-(4,8)	10,11,7,(2,9,1),(3,5),6,(4,8)	(10,11,7),2,(9,5),1,(8,3,4),6	7,11-10,(2,5),9-8,(1,4,3)=6					
199846041301	ダ	右	900	曇	良	11:20	4才		1998-4-13	1	金沢	5	(馬齢)																																								2,(5,6)-8,4,(1,3,7)	2-6,5=4-(7,8),(1,3)					
199846041302	ダ	右	1300	曇	良	11:50	4才		1998-4-13	1	金沢	5	(馬齢)																																						(5,6),(2,7,8),4-3,1	5,6-(2,7),8,4-3,1	(5,6),7,2,8,(1,4),3	56471283					
199846041303	ダ	右	1400	曇	良	12:20	C2		1998-4-13	1	金沢	5	(馬齢)																																						5,6,(4,10),(3,1,8),7,9,2	(5,6),10,4,3,1,8,7,(2,9)	(6,10,5),4,3,1,(7,8,2,9)	10,(3,5),(4,6,1)-(7,8,2),9					
199846041304	ダ	右	1400	曇	良	12:50	C1		1998-4-13	1	金沢	5	(馬齢)																																						(2,4,5),(7,9,10),6,1,3,8	2,4,5,7,(9,10),(1,6,3,8)	(2,5,7),(4,8,3,10),9,6,1	5,7,(2,4),(3,8),(6,10),9-1					
199846042801	ダ	右	1300	晴	稍重	11:20	4才		1998-4-28	2	金沢	6	(馬齢)																																						(3,4,7),(2,5),(6,1)	(3,4,7),(2,5),(1,6)	7,(5,3),4,6,2,1	7,5,6,(1,3)-(2,4)					
199846042802	ダ	右	1300	晴	稍重	11:50	4才		1998-4-28	2	金沢	6	(馬齢)																																						5,6,(3,7,9,8),1,2	5,6,(3,7),(9,8),1,2	(6,5),(7,3),(9,8),1-2	(6,5),7-(8,1,3),2,9					
199846042803	ダ	右	1300	晴	稍重	12:20	4才		1998-4-28	2	金沢	6	(馬齢)																																						(2,5,6,8),1,(4,7),3	5,6,(2,8),(7,4,1),3	6,(8,3),(4,7,5),(2,1)	6,8-3,4,(7,1),5,2					
199846042804	ダ	右	1400	晴	稍重	12:50	C2		1998-4-28	2	金沢	6	(馬齢)																																						5,(1,4),6,3,8,(10,9,2),7	5,1,4,6,3,(9,8),(2,10),7	(5,1,4,6),3,9,(7,2,8),10	(4,6,1),(3,5),9,7,(2,10),8					
199846051101	ダ	右	1300	曇	稍重	11:20	4才		1998-5-11	3	金沢	5	(馬齢)																																						(8,1,2),3,(4,6,7,5)	(1,8),2,(4,3,6),(5,7)	(1,8)-(6,2),4,3,(7,5)	8,1,2,(6,4,5),3,7					
199846051102	ダ	右	1300	曇	稍重	11:50	4才		1998-5-11	3	金沢	5	(馬齢)																																						(5,6),(3,4),(2,7),1	5,6,4,(7,3,2),1	(5,6),(4,7),3,1-2	(7,6),5-(4,1,3)-2					
199846051103	ダ	右	1400	曇	稍重	12:20	C3		1998-5-11	3	金沢	5	(馬齢)																																						(1,2,4),5,6-3,7	1,2,4,5,(6,3)-7	1,2,4,5,6,(3,7)	1-4,5,(3,2),7,6					
199846051104	ダ	右	1400	曇	稍重	12:50	C2		1998-5-11	3	金沢	5	(馬齢)																																						(2,3),9,(1,8),7,5,4,6	2,3,9,(7,8),1,5,(6,4)	3,9,(2,8),7-(6,5),1-4	3,9,2,(7,5),8,6,1,4					
199846052401	ダ	右	1300	曇	良	11:20	C5		1998-5-24	4	金沢	4	(馬齢)																																						(3,4,5),(7,8,10),6-9,2,1	(5,4,3)-(7,8),(6,10),9,1,2	5,(4,3),(7,8),6-(9,10),2,1	5,(3,8,7),6,4,9,(10,1,2)					
199846052402	ダ	右	1300	曇	良	11:50	C4		1998-5-24	4	金沢	4	(馬齢)																																						(1,6),(2,9),(3,4),5,7,8	(1,6,2),9,(3,4),5,(8,7)	(6,9,4),(2,7),(3,5,8),1	(4,9,6)-3,(8,5),7,2=1					
199846052403	ダ	右	1400	曇	良	12:20	C1		1998-5-24	4	金沢	4	(馬齢)																																						6,(7,3),8,5,9,(2,1,4)	6,7,3,8,5,(9,1),2,4	(6,7),5,(9,3),8,1,(2,4)	(7,6),(5,3,9)-(8,1),2,4					
199846052404	ダ	右	900	曇	良	12:50	JRA認定3歳新馬戦		1998-5-24	4	金沢	4	(馬齢)																																								8,2,(6,4,9,7)-(3,5)=1	8,2=(4,6),9,(3,7)=5-1					
199846052405	ダ	右	1500	雨	良	13:20	シリウス特別 		1998-5-24	4	金沢	4	(馬齢)																																						(3,6),(10,2),1,5,(8,9),(7,4)	3,6,(10,2),1,(5,4),(7,8),9	(6,10),(2,3),1,(7,5),(4,8),9	(2,6),(7,10),(5,3),(4,1),8,9					
199846052406	ダ	右	1500	曇	良	13:55	B2		1998-5-24	4	金沢	4	(馬齢)																																						2-7,(10,6),9,(1,3,5),(4,8)	2=7,(6,10),(9,1),3,5,4,8	2,(6,10,7),(9,3),1,(5,4)=8	6,(10,2),3,9,7,5,1,4=8					
199846052407	ダ	右	1500	曇	良	14:30	アルタイル特別 		1998-5-24	4	金沢	4	(馬齢)																																						5,(10,6),(2,9,3),(1,4,7,8)	5,(6,10),2,(1,9,8),3,(4,7)	6,(10,5),9,(2,1),(7,8,3),4	10=(6,7,9,5),(3,1,2),8,4					
199846052408	ダ	右	1500	曇	良	15:05	選抜特別サラブレッド 		1998-5-24	4	金沢	4	(馬齢)																																						1,3,(9,10),4,(5,2,8),(7,6)	1,3,9,10,(4,2),(5,8),(6,7)	3,1,(9,10,4),2-(8,5),(6,7)	3,4,(1,9,10),2,(8,5),6,7					
199846060901	ダ	右	1300	曇	良	11:50	4才		1998-6-9	5	金沢	6	(馬齢)																																						3,(5,7,8),2,(6,1)-9	3,5,8,(7,2),6-1=9	3,5,8,7,(1,2,6)=9	(5,3)-8,(7,1),(2,6)=9					
199846060902	ダ	右	1400	曇	良	12:20	C1		1998-6-9	5	金沢	6	(馬齢)																																						1,(8,5),10,6,2,(7,3,9,4)	1,(8,5)-10,6,(2,3),(9,7),4	1,8,(5,10),(3,7,9,4,6,2)	1,8,10,(5,7),2,(6,3,4)-9					
199846060903	ダ	右	1400	晴	良	12:50	C1		1998-6-9	5	金沢	6	(馬齢)																																						(9,10),(5,4),8,(7,2,3),1,6	(10,9),5,4,8,(1,2,3,7),6	(9,10),5,8,(1,4,3),(2,7),6	10,5,9,1,8,(6,3),(2,7),4					
199846060904	ダ	右	1500	晴	良	13:20	C2		1998-6-9	5	金沢	6	(馬齢)																																						4,(5,7,8),2,(3,6),1	4,5,7,2,8,(1,3),6	5,7,1,(8,2,4)-6,3	5,7,1,(2,8)-(4,6),3					
199846060905	ダ	右	1500	曇	良	13:55	プロキオン特別 		1998-6-9	5	金沢	6	(馬齢)																																						3,6,(10,8),(2,5,9),(7,1),4	3,6,10,8,(2,5),7,(1,9)-4	3,6,(10,8),2,5,(9,7)-4,1	(3,6),10,8,(5,7)-(9,4,2),1					
199846060906	ダ	右	1500	曇	良	14:30	B2		1998-6-9	5	金沢	6	(馬齢)																																						1,(2,3,6),8,5,9,4,(7,10)	1,(2,3),6,8,5-4,9,(7,10)	(3,2,6),8,(1,4),5,(10,9)-7	3,4,(8,6),2,5-9,10,7,1					
199846062101	ダ	右	1300	曇	重	11:00	C3		1998-6-21	6	金沢	4	(馬齢)																																						(2,5,3,7),6,(9,1,8),4	5,(2,7),3,6,(8,1),(9,4)	5,7,(3,2),8,6-9,4,1	7,(5,3)-8,2-6,4,9,1					
199846062102	ダ	右	1400	曇	重	11:30	4才		1998-6-21	6	金沢	4	(馬齢)																																						1,3,4,7,2,8,(5,6)	1,3-(4,7,5),(8,2),6	3-1,7-8,(6,4,5)-2	3=7,1,8,5,6-4,2					
199846062103	ダ	右	1400	曇	重	12:00	C2		1998-6-21	6	金沢	4	(馬齢)																																						(3,4,7,9),5,6,(2,8,1)	3,4,7,(9,5,6),2,8-1	(3,4,7),9,(2,5,6),8-1	(7,3),(6,9),(4,2),5,8-1					
199846062301	ダ	右	900	曇	重	11:20	3才		1998-6-23	6	金沢	6	(馬齢)																																								2,5,3,4-1	23541					
199846062302	ダ	右	1300	曇	重	11:50	4才		1998-6-23	6	金沢	6	(馬齢)																																						(3,2,7),(8,5),(6,9),1,4	(3,7)-(5,2),8,6,(4,9),1	(3,7,5)-(4,8),6,(2,9)=1	3,5=(7,4),8-6-9-(1,2)					
199846062303	ダ	右	1400	曇	重	12:20	C2		1998-6-23	6	金沢	6	(馬齢)																																						9-6,3,(1,5,8),2,7,4	9=1,6,(5,3)-2,(8,4),7	9=(1,6,5)-(8,4,3),2-7	9=(1,5),(6,8),4-3,2=7					
199846062304	ダ	右	1400	曇	重	12:50	C2		1998-6-23	6	金沢	6	(馬齢)																																						(2,4,5),(6,7),(8,3)-1	2,4,5,(3,6),(8,7),1	(5,8),6,4,(2,7),(3,1)	5,8-6-(7,1,3)=2,4					
199846062305	ダ	右	1400	曇	重	13:20	C1		1998-6-23	6	金沢	6	(馬齢)																																						6,(7,8,9)-3,(4,10)-(2,5)-1	6-7,8,(9,3,4)-(2,10),5=1	6-(7,8),9,4,(2,3),10,5=1	6,(8,7),9,10,4,(3,2),5=1					
199846062306	ダ	右	1500	晴	重	13:55	シリウス特別 		1998-6-23	6	金沢	6	(馬齢)																																						5,(6,7),8,(1,2),(3,9),10,4	5,6,(1,7),8,2,3,(4,10),9	5,7,(6,3,8,1),(2,4,10)=9	5,(7,3),(8,4,10),6,2,1-9					
199846062307	ダ	右	1500	曇	重	14:30	B2		1998-6-23	6	金沢	6	(馬齢)																																						(4,7),(8,3,9),(6,1),(2,5)	(4,7),3,9,8,(6,1)-2,5	7,(4,3),9-2,8,6,5,1	7,3,4-9,2,8,(6,5),1					
199846062308	ダ	右	1500	曇	重	15:05	アルタイル特別 		1998-6-23	6	金沢	6	(馬齢)																																						(4,5,6),(3,8,2)-(1,7)	(4,5,6),(3,8,2)-(1,7)	(5,6,3),(8,4)-(7,2)-1	(5,6,3),8,(7,4),2-1					
199846062309	ダ	右	1700	曇	重	15:40	フェニックス特別 		1998-6-23	6	金沢	6	(定量)																																						(1,3),(4,7),5-6,2	1,3-(7,4),5,(2,6)	(7,1,2,3),4,5-6	2,7-1,4,5,(6,3)					
199846062310	ダ	右	1500	曇	重	16:15	B2		1998-6-23	6	金沢	6	(馬齢)																																						(1,3,7),(8,5,6),2,9,4	(1,3,7),(5,6,8),(9,2),4	(7,3),5,6,1,8,(9,4),2	(7,3),6-5,2,9,4,(8,1)					
