	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199858050401	ダ	右	1100	晴	良	11:50	4才　条件		1998-5-4	1	札幌(地)	4	40万円以下	(規定)																																										
199858050402	ダ	右	1000	晴	良	12:20	アタックチャレンジ		1998-5-4	1	札幌(地)	4	(規定)																																											
199858050403	ダ	右	1000	晴	良	12:50	フレッシュチャレンジ		1998-5-4	1	札幌(地)	4	(規定)																																											
199858050404	ダ	右	1000	晴	良	13:25	フレッシュチャレンジ		1998-5-4	1	札幌(地)	4	(規定)																																											
199858050405	ダ	右	1600	晴	良	13:55	D　3		1998-5-4	1	札幌(地)	4	118万円以下	(規定)																																										
199858050406	ダ	右	1000	晴	良	14:25	桑園特別 		1998-5-4	1	札幌(地)	4	102万円以下	(規定)																																										
199858050407	ダ	右	1700	晴	良	14:55	裏参道特別 		1998-5-4	1	札幌(地)	4	102万円以下	(規定)																																										
199858050408	ダ	右	1000	晴	良	15:30	豊平川特別 		1998-5-4	1	札幌(地)	4	700万円以下	(規定)																																										
199858050501	ダ	右	1600	晴	良	11:20	4才　条件		1998-5-5	1	札幌(地)	5	(規定)																																											
199858050502	ダ	右	1600	晴	良	11:50	4才　条件		1998-5-5	1	札幌(地)	5	(規定)																																											
199858050503	ダ	右	1100	晴	良	12:20	4才　条件		1998-5-5	1	札幌(地)	5	35万円以下	(規定)																																										
199858050504	ダ	右	1000	晴	良	12:50	フレッシュチャレンジ		1998-5-5	1	札幌(地)	5	(規定)																																											
199858050505	ダ	右	1000	晴	良	13:25	D　4		1998-5-5	1	札幌(地)	5	58万円以下	(規定)																																										
199858050506	ダ	右	1000	晴	良	13:55	藻南公園特別 		1998-5-5	1	札幌(地)	5	102万円以下	(規定)																																										
199858050507	ダ	右	1000	晴	良	14:25	石狩川特別 		1998-5-5	1	札幌(地)	5	700万円以下	(規定)																																										
199858050508	ダ	右	1700	晴	良	15:00	創成川特別 		1998-5-5	1	札幌(地)	5	700万円以下	(規定)																																										
199858050509	ダ	右	1700	晴	良	16:10	瑞穂賞	G	1998-5-5	1	札幌(地)	5	(別定)																																											
199858050601	ダ	右	1000	晴	良	12:20	3歳　未勝利		1998-5-6	1	札幌(地)	6	(規定)																																											
199858050602	ダ	右	1600	晴	良	12:55	4歳　条件		1998-5-6	1	札幌(地)	6	(規定)																																											
199858050603	ダ	右	1000	晴	良	13:30	フレッシュチャレンジ		1998-5-6	1	札幌(地)	6	(規定)																																											
199858050604	ダ	右	1000	晴	良	14:10	アタックチャレンジ		1998-5-6	1	札幌(地)	6	(規定)																																											
199858050605	ダ	右	1700	晴	良	14:50	4歳　条件		1998-5-6	1	札幌(地)	6	124万円以下	(規定)																																										
199858052101	ダ	右	1000	曇	良	12:20	3才　新馬		1998-5-21	2	札幌(地)	6	(規定)																																											
199858052102	ダ	右	1600	曇	良	13:00	4才　条件		1998-5-21	2	札幌(地)	6	(規定)																																											
199858052103	ダ	右	1000	曇	良	13:40	アタックチャレンジ		1998-5-21	2	札幌(地)	6	(規定)																																											
199858052104	ダ	右	1600	曇	良	14:20	D　2		1998-5-21	2	札幌(地)	6	144万円以下	(規定)																																										
199858052105	ダ	右	1600	曇	良	15:00	D　3		1998-5-21	2	札幌(地)	6	119万円以下	(規定)																																										
199858052106	ダ	右	1700	曇	良	15:40	新緑特別 		1998-5-21	2	札幌(地)	6	(別定)																																											
199858052107	ダ	右	1700	曇	良	16:20	琴似特別 		1998-5-21	2	札幌(地)	6	(別定)																																											
199858052601	ダ	右	1100	晴	良	12:20	4才　条件		1998-5-26	3	札幌(地)	1	(規定)																																											
199858052602	ダ	右	1100	晴	良	12:55	4才　条件		1998-5-26	3	札幌(地)	1	(規定)																																											
199858052603	ダ	右	1000	晴	良	13:30	アタックチャレンジ		1998-5-26	3	札幌(地)	1	(規定)																																											
199858052604	ダ	右	1000	晴	良	14:05	フレッシュチャレンジ		1998-5-26	3	札幌(地)	1	(規定)																																											
199858060201	ダ	右	1600	晴	良	11:30	4才　条件		1998-6-2	3	札幌(地)	4	(規定)																																											
199858060202	ダ	右	1000	晴	良	12:00	アタックチャレンジ		1998-6-2	3	札幌(地)	4	(規定)																																											
199858060203	ダ	右	1000	晴	良	12:35	アタックチャレンジ		1998-6-2	3	札幌(地)	4	(規定)																																											
199858060204	ダ	右	1000	晴	良	13:10	アタックチャレンジ		1998-6-2	3	札幌(地)	4	(規定)																																											
199858060205	ダ	右	1000	晴	良	13:45	フレッシュチャレンジ		1998-6-2	3	札幌(地)	4	(規定)																																											
199858060206	ダ	右	1600	晴	良	14:20	D　3		1998-6-2	3	札幌(地)	4	123万円以下	(規定)																																										
