	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199901010101	ダ	右	1000	晴	稍重	09:50	4歳未勝利		1999-8-7	1	札幌	1	4歳未勝利	(父)[指](馬齢)	1	720	5	1	190	5	10	110	1	7.0	190	6.0	1-8	700	2	1-10	820.0	3.0																							13.0 - 11.0 - 11.8 - 11.9 - 12.6	13.0 - 24.0 - 35.8 - 47.7 - 60.3 (13.0-13.0)
199901010102	ダ	右	1700	晴	稍重	10:15	4歳未勝利		1999-8-7	1	札幌	1	4歳未勝利	[指](馬齢)	3	820	4	3	260	4	5	1,380	11	8.0	440	7.0	3-4	14850	30	3-5	21270.0	44.0																							7.0 - 10.8 - 11.9 - 12.9 - 12.8 - 12.5 - 13.3 - 13.0 - 13.5	7.0 - 17.8 - 29.7 - 42.6 - 55.4 - 67.9 - 81.2 - 94.2 - 107.7 (7.0-7.0)
199901010103	芝	右	1800	晴	稍重	10:40	4歳未勝利		1999-8-7	1	札幌	1	4歳未勝利	(混)[指](馬齢)	4	190	1	4	110	1	2	450	9	5.0	160	2.0	2-3	3550	11	2-4	3140.0	10.0																							12.5 - 11.8 - 12.3 - 12.1 - 12.5 - 12.2 - 12.4 - 12.6 - 12.1	12.5 - 24.3 - 36.6 - 48.7 - 61.2 - 73.4 - 85.8 - 98.4 - 110.5 (12.5-12.5)
199901010104	ダ	右	1000	晴	稍重	11:10	3歳新馬		1999-8-7	1	札幌	1	3歳新馬	[指](馬齢)	5	360	2	5	140	1	9	140	2	2.0	370	7.0	5-7	490	1	5-9	670.0	1.0																							12.5 - 10.9 - 11.6 - 12.5 - 13.2	12.5 - 23.4 - 35.0 - 47.5 - 60.7 (12.5-12.5)
199901010105	芝	右	1200	晴	稍重	11:40	3歳新馬		1999-8-7	1	札幌	1	3歳新馬	(混)[指](馬齢)	10	370	2	10	160	2	3	210	5	12.0	120	1.0	3-7	1660	8	3-10	1980.0	8.0																							12.4 - 10.8 - 11.4 - 11.8 - 12.4 - 12.2	12.4 - 23.2 - 34.6 - 46.4 - 58.8 - 71.0 (12.4-12.4)
199901010106	ダ	右	1000	晴	稍重	12:40	3歳500万下		1999-8-7	1	札幌	1	3歳500万下	(特指)(馬齢)	1	210	1	1	120	1	4	150	2	9.0	400	7.0	1-4	430	1	1-4	450.0	1.0																							12.6 - 11.1 - 11.7 - 12.0 - 12.5	12.6 - 23.7 - 35.4 - 47.4 - 59.9 (12.6-12.6)
199901010107	ダ	右	1700	晴	稍重	13:15	4歳以上500万下		1999-8-7	1	札幌	1	4歳以上500万下	[指](別定)	3	4980	11	3	590	9	1	110	1	5.0	220	3.0	1-3	6000	18	1-3	6330.0	26.0																							7.0 - 10.5 - 11.9 - 12.6 - 12.9 - 12.7 - 12.9 - 13.0 - 12.9	7.0 - 17.5 - 29.4 - 42.0 - 54.9 - 67.6 - 80.5 - 93.5 - 106.4 (7.0-7.0)
199901010108	芝	右	1200	曇	稍重	13:50	4歳以上500万下		1999-8-7	1	札幌	1	4歳以上500万下	牝[指](別定)	14	370	2	14	160	2	6	160	3	12.0	120	1.0	3-7	1380	5	6-14	1710.0	6.0																							12.0 - 10.9 - 11.1 - 11.5 - 11.9 - 11.9	12.0 - 22.9 - 34.0 - 45.5 - 57.4 - 69.3 (12.0-12.0)
199901010109	芝	右	2000	曇	稍重	14:25	日高特別 		1999-8-7	1	札幌	1	4歳以上900万下	(混)[指](ハンデ)	5	140	1	5	100	1	4	110	2	1.0	120	3.0	4-5	290	1																										13.1 - 11.3 - 12.0 - 11.9 - 11.7 - 12.0 - 11.8 - 12.0 - 12.7 - 13.2	13.1 - 24.4 - 36.4 - 48.3 - 60.0 - 72.0 - 83.8 - 95.8 - 108.5 - 121.7 (13.1-13.1)
199901010110	芝	右	1500	晴	良	15:00	手稲山特別 		1999-8-7	1	札幌	1	4歳以上500万下	(混)[指](別定)	5	1850	6	5	260	6	8	130	2	10.0	120	1.0	5-6	1480	6	5-8	1860.0	8.0																							6.9 - 11.1 - 11.4 - 12.1 - 11.9 - 11.9 - 12.6 - 12.0	6.9 - 18.0 - 29.4 - 41.5 - 53.4 - 65.3 - 77.9 - 89.9 (6.9-6.9)
199901010111	芝	右	1200	晴	良	15:35	TVh賞 		1999-8-7	1	札幌	1	4歳以上900万下	(混)(特指)(別定)	11	260	1	11	130	1	12	260	5	4.0	2,300	13.0	7-8	610	2	11-12	960.0	3.0																							12.4 - 10.6 - 11.2 - 11.7 - 12.1 - 12.3	12.4 - 23.0 - 34.2 - 45.9 - 58.0 - 70.3 (12.4-12.4)
199901010201	ダ	右	1700	晴	良	09:50	4歳未勝利		1999-8-8	1	札幌	2	4歳未勝利	牝[指](馬齢)	7	170	1	7	130	1	12	310	4	9.0	520	7.0	5-8	630	3	7-12	990.0	3.0																							7.0 - 10.8 - 12.6 - 13.1 - 13.4 - 12.7 - 12.5 - 12.8 - 13.6	7.0 - 17.8 - 30.4 - 43.5 - 56.9 - 69.6 - 82.1 - 94.9 - 108.5 (7.0-7.0)
199901010202	ダ	右	1000	晴	良	10:15	4歳未勝利		1999-8-8	1	札幌	2	4歳未勝利	(混)[指](馬齢)	7	150	1	7	130	1	11	310	5	6.0	500	7.0	6-8	610	4	7-11	1100.0	4.0																							12.4 - 11.2 - 11.5 - 12.4 - 12.9	12.4 - 23.6 - 35.1 - 47.5 - 60.4 (12.4-12.4)
199901010203	ダ	右	1700	晴	良	10:40	4歳未勝利		1999-8-8	1	札幌	2	4歳未勝利	[指](馬齢)	6	4950	9	6	940	9	7	220	4	12.0	210	3.0	5-5	7350	20	6-7	7390.0	22.0																							7.0 - 11.0 - 11.9 - 12.8 - 13.1 - 12.4 - 12.7 - 12.9 - 12.9	7.0 - 18.0 - 29.9 - 42.7 - 55.8 - 68.2 - 80.9 - 93.8 - 106.7 (7.0-7.0)
199901010204	芝	右	1200	晴	良	11:10	4歳未勝利		1999-8-8	1	札幌	2	4歳未勝利	(混)[指](馬齢)	14	400	2	14	140	2	3	260	5	7.0	120	1.0	2-7	1100	2	3-14	1830.0	6.0																							12.3 - 10.8 - 11.2 - 11.7 - 12.6 - 12.4	12.3 - 23.1 - 34.3 - 46.0 - 58.6 - 71.0 (12.3-12.3)
199901010205	芝	右	1000	晴	良	11:40	3歳新馬		1999-8-8	1	札幌	2	3歳新馬	[指](馬齢)	7	1210	5	7	280	5	5	140	2	2.0	210	4.0	5-7	1630	7	5-7	1730.0	7.0																							12.2 - 10.7 - 11.1 - 12.3 - 13.0	12.2 - 22.9 - 34.0 - 46.3 - 59.3 (12.2-12.2)
