	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199909010101	ダ	右	1800	曇	不良	10:05	4歳未勝利		1999-2-27	1	阪神	1	4歳未勝利	(混)[指](馬齢)	8	260	2	8	120	1	5	450	6	7.0	150	3.0	5-8	2420	10																							13.2 - 12.6 - 13.4 - 13.0 - 12.8 - 12.8 - 12.4 - 12.1 - 12.6	13.2 - 25.8 - 39.2 - 52.2 - 65.0 - 77.8 - 90.2 - 102.3 - 114.9 (13.2-13.2)			
199909010102	ダ	右	1200	曇	不良	10:30	4歳未勝利		1999-2-27	1	阪神	1	4歳未勝利	(父)[指](馬齢)	1	530	3	1	170	3	8	1,070	8	7.0	320	4.0	1-8	15830	19																							12.9 - 11.1 - 11.7 - 12.0 - 12.7 - 13.3	12.9 - 24.0 - 35.7 - 47.7 - 60.4 - 73.7 (12.9-12.9)			
199909010103	ダ	右	1800	曇	不良	10:55	4歳新馬		1999-2-27	1	阪神	1	4歳新馬	[指](馬齢)	4	580	2	4	150	2	8	100	1	7.0	160	4.0	4-8	400	1																							13.3 - 11.4 - 12.6 - 12.3 - 12.8 - 13.3 - 12.8 - 12.4 - 12.6	13.3 - 24.7 - 37.3 - 49.6 - 62.4 - 75.7 - 88.5 - 100.9 - 113.5 (13.3-13.3)	4-8	420.0	1.0
199909010104	ダ	右	1200	曇	不良	11:25	4歳新馬		1999-2-27	1	阪神	1	4歳新馬	牝[指](馬齢)	13	860	3	13	190	5	10	110	1	12.0	170	2.0	7-8	400	1																							12.7 - 10.8 - 11.5 - 12.1 - 12.1 - 13.3	12.7 - 23.5 - 35.0 - 47.1 - 59.2 - 72.5 (12.7-12.7)	10-13	880.0	3.0
199909010105	障		3150	曇	重  ダート	11:55	障害4歳以上オープン		1999-2-27	1	阪神	1	障害4歳以上オープン	(混)(別定)	7	1000	5	7	320	5	8	160	1	9.0	850	11.0	5-5	1420	6																									7-8	1500.0	3.0
199909010106	ダ	右	1400	曇	不良	12:55	4歳新馬		1999-2-27	1	阪神	1	4歳新馬	(混)[指](馬齢)	9	260	1	9	140	1	1	470	7	13.0	230	5.0	1-6	2770	11																							12.6 - 10.7 - 11.4 - 12.0 - 12.0 - 12.3 - 13.0	12.6 - 23.3 - 34.7 - 46.7 - 58.7 - 71.0 - 84.0 (12.6-12.6)	1-9	2740.0	11.0
199909010107	芝	右	1200	曇	稍重	13:25	4歳新馬		1999-2-27	1	阪神	1	4歳新馬	(混)[指](馬齢)	10	730	3	10	190	4	1	130	1	12.0	180	3.0	1-6	390	1																							12.2 - 11.3 - 11.6 - 12.0 - 12.1 - 13.0	12.2 - 23.5 - 35.1 - 47.1 - 59.2 - 72.2 (12.2-12.2)	1-10	1090.0	4.0
199909010108	ダ	右	1400	曇	不良	14:00	4歳以上500万下		1999-2-27	1	阪神	1	4歳以上500万下	[指](別定)	1	260	2	1	110	2	6	100	1	8.0	340	7.0	1-6	180	1																							12.4 - 10.8 - 11.5 - 12.0 - 12.3 - 12.5 - 13.4	12.4 - 23.2 - 34.7 - 46.7 - 59.0 - 71.5 - 84.9 (12.4-12.4)	1-6	200.0	1.0
199909010109	芝	右	2000	曇	稍重	14:35	ゆきやなぎ賞 		1999-2-27	1	阪神	1	4歳500万下	(混)(特指)(馬齢)	13	480	2	13	210	2	9	220	3	1.0	1,110	11.0	6-8	560	1																							13.1 - 11.8 - 13.2 - 12.7 - 12.7 - 12.8 - 12.1 - 12.1 - 12.1 - 12.7	13.1 - 24.9 - 38.1 - 50.8 - 63.5 - 76.3 - 88.4 - 100.5 - 112.6 - 125.3 (13.1-13.1)	9-13	1990.0	11.0
199909010110	芝	右	1600	曇	稍重	15:10	丹波特別 		1999-2-27	1	阪神	1	4歳以上900万下	(混)[指](ハンデ)	11	1380	6	11	500	6	14	630	9	1.0	210	3.0	7-8	2660	12																							13.4 - 12.2 - 11.8 - 12.3 - 11.9 - 11.9 - 11.2 - 12.5	13.4 - 25.6 - 37.4 - 49.7 - 61.6 - 73.5 - 84.7 - 97.2 (13.4-13.4)	11-14	24330.0	57.0
