	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199935052301	ダ	左	1400	晴	良	10:45	C		1999-5-23	1	盛岡	5																																												
199935052302	芝	左	1000	晴	良	11:15	3才　新馬		1999-5-23	1	盛岡	5																																												
199935060601	芝	左	1000	晴	良	10:45	3才　新馬		1999-6-6	2	盛岡	5																																												
199935060602	ダ	左	1400	晴	良	11:20	C3		1999-6-6	2	盛岡	5																																												
199935060603	ダ	左	1400	晴	良	11:55	C3		1999-6-6	2	盛岡	5																																												
199935060604	ダ	左	1200	晴	良	12:30	4才　C3		1999-6-6	2	盛岡	5																																												
199935060605	ダ	左	1200	晴	良	13:05	4才　C3		1999-6-6	2	盛岡	5																																												
199935060606	ダ	左	1200	晴	良	13:40	C3		1999-6-6	2	盛岡	5																																												
199935060607	ダ	左	1200	晴	良	14:20	C3		1999-6-6	2	盛岡	5																																												
199935060608	ダ	左	1400	晴	良	15:00	C		1999-6-6	2	盛岡	5																																												
199935060609	ダ	左	1800	晴	良	15:40	A		1999-6-6	2	盛岡	5																																												
199935060610	芝	左	1600	晴	良	16:15	みなづき賞 		1999-6-6	2	盛岡	5																																												
199935062001	ダ	左	1200	曇	良	10:45	C3		1999-6-20	3	盛岡	5																																												
199935062002	ダ	左	1200	曇	良	11:15	C3		1999-6-20	3	盛岡	5																																												
199935062003	ダ	左	1200	曇	良	11:45	3才　B		1999-6-20	3	盛岡	5																																												
199935062101	ダ	左	1200	晴	良	10:45	C3		1999-6-21	3	盛岡	6																																												
199935062102	ダ	左	1200	晴	良	11:20	4才　C3		1999-6-21	3	盛岡	6																																												
199935062103	ダ	左	1200	晴	良	11:55	C		1999-6-21	3	盛岡	6																																												
199935062104	ダ	左	1400	晴	良	12:30	C3		1999-6-21	3	盛岡	6																																												
199935062105	ダ	左	1400	晴	良	13:10	C2		1999-6-21	3	盛岡	6																																												
199935062106	ダ	左	1400	晴	良	13:50	C2		1999-6-21	3	盛岡	6																																												
199935062107	ダ	左	1600	晴	良	14:30	フレンドリートロフィ 		1999-6-21	3	盛岡	6																																												
199935062108	ダ	左	1800	晴	良	15:10	A		1999-6-21	3	盛岡	6																																												
199935062109	ダ	左	1600	晴	良	15:50	フレンドリーカップ 		1999-6-21	3	盛岡	6																																												
199935080701	ダ	左	1200	晴	良	10:45	C3		1999-8-7	5	盛岡	1																																												
199935080702	ダ	左	1200	晴	良	11:20	C3		1999-8-7	5	盛岡	1																																												
199935080703	ダ	左	1200	晴	良	11:55	C3		1999-8-7	5	盛岡	1																																												
199935080704	芝	左	1000	晴	良	12:30	3才　新馬戦		1999-8-7	5	盛岡	1																																												
199935081601	ダ	左	1400	晴	良	12:00	C2		1999-8-16	5	盛岡	5																																												
