	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199938073001	ダ	右	800	晴	良	12:00	登竜門		1999-7-30	1	三条	5	(馬齢)																																											
199938073002	ダ	右	800	晴	良	12:30	3才　C2		1999-7-30	1	三条	5	(馬齢)																																											
199938073003	ダ	右	800	晴	良	13:00	3才　B3		1999-7-30	1	三条	5	(馬齢)																																											
199938073004	ダ	右	1700	晴	良	13:30	一般　B3ロ		1999-7-30	1	三条	5	(馬齢)																																											
199938073005	ダ	右	1600	晴	良	14:00	一般　B2ハ		1999-7-30	1	三条	5	(馬齢)																																											
199938073006	ダ	右	1700	晴	良	14:30	一般　B2イ		1999-7-30	1	三条	5	(馬齢)																																											
199938073007	ダ	右	1700	晴	良	15:00	一般　B1ハ		1999-7-30	1	三条	5	(馬齢)																																											
199938073008	ダ	右	1700	晴	良	15:35	魚野川特別 		1999-7-30	1	三条	5	(馬齢)																																											
199938073009	ダ	右	1200	晴	良	16:10	三條新聞賞 		1999-7-30	1	三条	5	(別定)																																											
199938102401	ダ	右	1200	晴	良	11:00	3才　B3		1999-10-24	6	三条	5	(馬齢)																																											
199938102402	ダ	右	1200	晴	良	11:30	一般　C1ロ		1999-10-24	6	三条	5	(馬齢)																																											
199938102403	ダ	右	1650	晴	良	12:05	登竜門		1999-10-24	6	三条	5	(馬齢)																																											
199938102404	ダ	右	1650	晴	良	12:40	一般　B2イ		1999-10-24	6	三条	5	(馬齢)																																											
199938102405	ダ	右	1600	晴	良	13:15	一般　B2ハ		1999-10-24	6	三条	5	(馬齢)																																											
199938102406	ダ	右	1600	晴	良	13:50	越後七浦特別 		1999-10-24	6	三条	5	(ハンデ)																																											
199938102407	ダ	右	1650	晴	良	14:25	一般　B1ハ		1999-10-24	6	三条	5	(馬齢)																																											
199938102408	ダ	右	1600	晴	良	15:00	一般　B1イ		1999-10-24	6	三条	5	(馬齢)																																											
199938102409	ダ	右	1700	晴	良	15:35	ペガサス賞 		1999-10-24	6	三条	5	(別定)																																											
199938122201	ダ	右	1600	雪	不良	11:30	一般　B2ハ		1999-12-22	11	三条	4	(馬齢)																																											
199938122202	ダ	右	1700	雪	不良	12:00	一般　B1ロ		1999-12-22	11	三条	4	(馬齢)																																											
199938122203	ダ	右	1600	雪	不良	12:30	3才　B3		1999-12-22	11	三条	4	(馬齢)																																											
199938122204	ダ	右	1600	雪	不良	13:00	一般　B2イ		1999-12-22	11	三条	4	(馬齢)																																											
199938122205	ダ	右	1200	雪	不良	13:30	3才　C5		1999-12-22	11	三条	4	(馬齢)																																											
199938123101	ダ	右	1200	晴	重	11:00	4才　C3		1999-12-31	12	三条	2	(馬齢)																																											
199938123102	ダ	右	1600	晴	重	11:30	4才　B3		1999-12-31	12	三条	2	(馬齢)																																											
199938123103	ダ	右	1700	晴	重	12:00	4才　B2		1999-12-31	12	三条	2	(馬齢)																																											
199938123104	ダ	右	1600	晴	重	12:30	4才　C1		1999-12-31	12	三条	2	(馬齢)																																											
199938123105	ダ	右	1200	晴	重	13:00	3才　C2イ		1999-12-31	12	三条	2	(馬齢)																																											
199938123106	ダ	右	1200	晴	重	13:30	3才　C3イ		1999-12-31	12	三条	2	(馬齢)																																											
