	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199944010301	ダ	右	1400	晴	良	10:30	4才		1999-1-3	17	大井	3	78万円未満																																								1,(7,8),6,(11,9),(5,3),10,4,2	1,6,7,9,10,(11,8),5,(3,4),2	13.4 - 11.9 - 12.5 - 13.3 - 14.5 - 13.6 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.4 - 25.3 - 37.8 - 51.1 - 65.6 - 79.2 - 92.3 - 92.3 - 92.3 - 92.3 - 92.3 - 92.3 - 92.3 - 92.3 - 92.3 (37.8-41.2)
199944010302	ダ	右	1400	晴	良	10:55	4才		1999-1-3	17	大井	3	78万円未満																																								8721119563104	8,7,9,2,11,(1,5),10,(3,6),4	13.0 - 11.9 - 12.7 - 12.9 - 13.9 - 13.2 - 13.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 24.9 - 37.6 - 50.5 - 64.4 - 77.6 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 (37.6-41.0)
199944010303	ダ	右	1400	晴	良	11:25	選抜		1999-1-3	17	大井	3	78万円未満																																								2,7,(3,11),9,5,4,(10,1),8,6	2,3,11,7,4,(5,9),1,8,10,6	13.1 - 11.9 - 12.3 - 13.3 - 14.3 - 13.1 - 13.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.1 - 25.0 - 37.3 - 50.6 - 64.9 - 78.0 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 (37.3-41.2)
199944010304	ダ	右	1600	晴	良	11:55	C3二　三		1999-1-3	17	大井	3																																							2,3,6,4,12,1,9,5,11,(7,8),10	2,6,3,(4,12),1,9,(5,11),8,7,10	2,6,3,(4,12),9,1,10,11,(5,8),7	236491121158710	13.0 - 12.7 - 13.4 - 13.1 - 13.0 - 13.5 - 13.5 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 25.7 - 39.1 - 52.2 - 65.2 - 78.7 - 92.2 - 105.8 - 105.8 - 105.8 - 105.8 - 105.8 - 105.8 - 105.8 - 105.8 (39.1-40.6)
199944010305	ダ	右	1400	晴	良	12:25	C3二　三		1999-1-3	17	大井	3																																									101342612598711	(1,10),4,3,6,2,(5,12),8,9,(7,11)	13.5 - 12.2 - 11.8 - 12.5 - 13.4 - 13.4 - 14.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.5 - 25.7 - 37.5 - 50.0 - 63.4 - 76.8 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 - 91.0 (37.5-41.0)
199944010306	ダ	右	1600	晴	良	13:00	C2三　四		1999-1-3	17	大井	3																																							8,11,4,10,(5,3),(7,9),1,2,6	8114103579126	8114103579162	(8,11),4,3,(10,5),7,9,(1,6),2	12.6 - 12.2 - 13.2 - 12.9 - 12.9 - 13.9 - 13.7 - 12.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.8 - 38.0 - 50.9 - 63.8 - 77.7 - 91.4 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 (38.0-40.4)
199944011901	ダ	右	1500	曇	良	11:10	4才		1999-1-19	18	大井	2	120万円以上176万円未満																																						1091648112537	10,9,1,4,6,8,(11,2),5,3,7	10,9,1,4,8,(6,2),3,(5,11),7	10,1,4,9,(2,3),8,6,5,11,7	7.0 - 11.9 - 12.5 - 12.7 - 13.0 - 14.0 - 13.8 - 14.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.0 - 18.9 - 31.4 - 44.1 - 57.1 - 71.1 - 84.9 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 (31.4-41.9)
199944011902	ダ	右	1500	曇	良	11:40	4才		1999-1-19	18	大井	2	120万円以上176万円未満																																						8,9,2,5,(6,7),3,1,4	8,9,(2,6),5,7,3,(4,1)	8,9,6,(2,5),7,3,4,1	8,9,2,5,3,(1,7),6,4	7.0 - 12.3 - 13.0 - 13.0 - 13.0 - 13.5 - 13.5 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.0 - 19.3 - 32.3 - 45.3 - 58.3 - 71.8 - 85.3 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 (32.3-40.7)
199944011903	ダ	右	1400	曇	良	12:10	5才		1999-1-19	18	大井	2	145万円未満																																								11,9,2,10,(1,4,5),3,8,6,7	11,9,2,1,5,4,10,(3,6,8),7	13.3 - 11.6 - 12.2 - 12.9 - 13.7 - 13.5 - 14.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.3 - 24.9 - 37.1 - 50.0 - 63.7 - 77.2 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 - 91.5 (37.1-41.5)
199944011904	ダ	右	1400	曇	良	12:40	5才		1999-1-19	18	大井	2	145万円未満																																								81065231749	8,10,2,(6,5),1,(3,4),9,7	13.5 - 11.7 - 12.5 - 13.1 - 13.6 - 13.1 - 13.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.5 - 25.2 - 37.7 - 50.8 - 64.4 - 77.5 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 (37.7-40.5)
199944011905	ダ	右	1200	曇	良	13:10	C3二　三		1999-1-19	18	大井	2																																									4,(1,10),9,5,2,11,(6,3,7),8	(1,4,10),9,(5,2),11,6,7,3,8	12.8 - 11.3 - 12.2 - 13.5 - 13.1 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.1 - 36.3 - 49.8 - 62.9 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 - 76.5 (36.3-40.2)
199944011906	ダ	右	1500	曇	良	13:40	C3二　三		1999-1-19	18	大井	2																																							410123871112596	4,10,(3,12),11,(1,8),(2,7),5,9,6	4,10,3,12,11,(1,8),2,(7,6),(5,9)	4,12,10,3,1,(8,11),2,6,(7,5),9	7.1 - 12.4 - 13.3 - 13.0 - 13.0 - 13.9 - 13.2 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.1 - 19.5 - 32.8 - 45.8 - 58.8 - 72.7 - 85.9 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 - 99.0 (32.8-40.2)
199944011907	ダ	右	1400	曇	良	14:10	C1三　四		1999-1-19	18	大井	2																																									621071943128511.0	621103948712511.0	13.2 - 11.7 - 12.0 - 12.6 - 13.4 - 12.9 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 24.9 - 36.9 - 49.5 - 62.9 - 75.8 - 88.5 - 88.5 - 88.5 - 88.5 - 88.5 - 88.5 - 88.5 - 88.5 - 88.5 (36.9-39.0)
199944011908	ダ	右	1600	曇	良	14:40	選抜		1999-1-19	18	大井	2																																							9,11,7,5,13,12,(1,10),2,8,14,(3,6),4	9,(7,11),5,13,12,1,10,2,8,3,4,14,6	9,(10,4),7,(11,8),(5,13),14,(1,12),2,3,6	9,(10,4),7,8,5,13,(1,2),3,11,6,12,14	12.6 - 11.8 - 12.9 - 13.5 - 13.2 - 13.2 - 13.3 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 24.4 - 37.3 - 50.8 - 64.0 - 77.2 - 90.5 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 (37.3-39.6)
199944011909	ダ	右	1700	曇	良	15:10	若獅子特別 		1999-1-19	18	大井	2	585万円以上																																						11,14,4,6,8,(3,5),13,1,10,12,2,(7,9)	14,11,8,4,6,(3,5),(1,13),10,12,2,7,9	14-(11,8),5,4,(1,13),6,3,10,12,(2,7),9	14-(11,8),5,4,(1,13),6,(3,12),(2,10),7,9	7.0 - 11.7 - 12.2 - 11.9 - 12.2 - 12.8 - 13.4 - 13.1 - 14.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.0 - 18.7 - 30.9 - 42.8 - 55.0 - 67.8 - 81.2 - 94.3 - 108.6 - 108.6 - 108.6 - 108.6 - 108.6 - 108.6 - 108.6 (30.9-40.8)
199944012001	ダ	右	1400	晴	良	11:00	4才		1999-1-20	18	大井	3	40万円以上73万円未満																																								11,8,(2,3),7,1,5,4,9,10,6	11,8,3,2,(7,9),1,5,4,10,6	12.8 - 11.9 - 12.1 - 13.1 - 13.8 - 13.2 - 14.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.7 - 36.8 - 49.9 - 63.7 - 76.9 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 - 91.3 (36.8-41.4)
