	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200002010101	ダ	右	1700	晴	良	09:50	4歳未勝利		2000-6-10	1	函館	1	4歳未勝利	[指](馬齢)	10	550	4	10	160	4	3	140	1	11.0	1,240	10.0	3-7	1240	6	3-10	1260.0	5.0	3-10	540	5.0	10-11	2,850	30.0	3-11	2,090	26.0					6.9 - 11.1 - 11.9 - 13.1 - 13.4 - 13.0 - 12.8 - 13.4 - 12.9	6.9 - 18.0 - 29.9 - 43.0 - 56.4 - 69.4 - 82.2 - 95.6 - 108.5 (6.9-6.9)									
200002010102	ダ	右	1000	晴	良	10:15	4歳未勝利		2000-6-10	1	函館	1	4歳未勝利	[指](馬齢)	3	550	2	3	160	2	7	110	1	10.0	410	8.0	3-6	460	2	3-7	480.0	2.0	3-7	220	1.0	3-10	1,290	16.0	7-10	690	8.0					12.8 - 11.1 - 11.8 - 11.9 - 13.2	12.8 - 23.9 - 35.7 - 47.6 - 60.8 (12.8-12.8)									
200002010103	ダ	右	1700	晴	良	10:40	4歳未勝利		2000-6-10	1	函館	1	4歳未勝利	[指](馬齢)	9	1390	5	9	260	5	6	250	4	2.0	210	3.0	5-6	1620	8	6-9	2820.0	12.0	6-9	850	11.0	2-9	1,050	13.0	2-6	1,130	14.0					7.1 - 11.1 - 12.0 - 13.1 - 13.2 - 13.0 - 13.7 - 12.8 - 13.0	7.1 - 18.2 - 30.2 - 43.3 - 56.5 - 69.5 - 83.2 - 96.0 - 109.0 (7.1-7.1)									
200002010104	芝	右	1200	晴	良	11:10	4歳未勝利		2000-6-10	1	函館	1	4歳未勝利	(混)[指](馬齢)	11	260	1	11	160	1	10	450	6	2.0	1,520	11.0	5-6	2830	12	10-11	4180.0	15.0	10-11	1,320	14.0	2-11	3,350	32.0	2-10	5,720	54.0					12.5 - 10.7 - 11.2 - 12.1 - 12.3 - 12.0	12.5 - 23.2 - 34.4 - 46.5 - 58.8 - 70.8 (12.5-12.5)									
200002010105	ダ	右	1000	晴	良	11:40	3歳新馬		2000-6-10	1	函館	1	3歳新馬	[指](馬齢)	7	600	4	7	160	4	8	110	1	4.0	160	2.0	6-6	570	3	7-8	590.0	1.0	7-8	270	1.0	4-7	490	5.0	4-8	340	3.0					12.3 - 10.8 - 12.0 - 12.4 - 12.8	12.3 - 23.1 - 35.1 - 47.5 - 60.3 (12.3-12.3)									
200002010106	芝	右	1000	晴	良	12:40	3歳新馬		2000-6-10	1	函館	1	3歳新馬	牝[指](馬齢)	3	430	2	3	110	2	1	140	3	8.0	100	1.0	1-3	1070	5	1-3	1140.0	5.0	1-3	270	4.0	3-8	150	1.0	1-8	200	2.0					12.5 - 11.1 - 11.4 - 11.6 - 11.5	12.5 - 23.6 - 35.0 - 46.6 - 58.1 (12.5-12.5)									
200002010107	芝	右	2600	晴	良	13:10	4歳以上500万下		2000-6-10	1	函館	1	4歳以上500万下	(混)[指](定量)	4	480	3	4	210	3	1	150	2	2.0	700	6.0	1-4	800	3	1-4	810.0	3.0	1-4	340	3.0	2-4	1,630	15.0	1-2	1,310	12.0					12.7 - 11.6 - 12.3 - 12.3 - 12.1 - 12.4 - 12.7 - 12.8 - 12.2 - 12.3 - 12.4 - 12.2 - 12.4	12.7 - 24.3 - 36.6 - 48.9 - 61.0 - 73.4 - 86.1 - 98.9 - 111.1 - 123.4 - 135.8 - 148.0 - 160.4 (12.7-12.7)									
200002010108	芝	右	1800	晴	良	13:40	4歳以上500万下		2000-6-10	1	函館	1	4歳以上500万下	(特指)(馬齢)	10	1100	5	10	280	5	3	1,670	11	5.0	200	2.0	2-6	7950	19	3-10	35000.0	55.0	3-10	6,680	53.0	5-10	770	6.0	3-5	2,860	29.0					12.2 - 11.1 - 12.4 - 12.8 - 12.3 - 12.3 - 12.4 - 12.4 - 12.1	12.2 - 23.3 - 35.7 - 48.5 - 60.8 - 73.1 - 85.5 - 97.9 - 110.0 (12.2-12.2)									
200002010109	ダ	右	1700	晴	良	14:15	檜山特別 		2000-6-10	1	函館	1	4歳以上500万下	[指](馬齢)	13	2260	9	13	460	10	12	150	1	8.0	680	11.0	8-8	3820	18	12-13	3180.0	13.0	12-13	1,270	17.0	8-13	5,140	56.0	8-12	2,280	35.0					7.0 - 10.5 - 11.7 - 12.7 - 12.9 - 12.9 - 13.2 - 12.9 - 13.1	7.0 - 17.5 - 29.2 - 41.9 - 54.8 - 67.7 - 80.9 - 93.8 - 106.9 (7.0-7.0)									
200002010110	芝	右	2000	晴	良	14:55	奥尻特別 		2000-6-10	1	函館	1	4歳以上500万下	(混)[指](馬齢)	7	150	1	7	110	1	6	230	4	2.0	180	3.0	4-5	910	4	6-7	1020.0	3.0	6-7	450	3.0	2-7	280	2.0	2-6	870	9.0					12.7 - 11.2 - 12.2 - 12.9 - 13.0 - 12.7 - 11.9 - 12.0 - 11.8 - 12.2	12.7 - 23.9 - 36.1 - 49.0 - 62.0 - 74.7 - 86.6 - 98.6 - 110.4 - 122.6 (12.7-12.7)									
