	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200007010101	ダ	左	1700	曇	良	09:50	4歳未勝利		2000-3-4	1	中京	1	4歳未勝利	(混)[指](馬齢)	4	940	3	4	170	4	2	100	1	3.0	170	3.0	2-4	340	2	2-4	350.0	2.0	2-4	160	1.0	3-4	550	8.0	2-3	290	3.0					7.2 - 11.9 - 12.7 - 13.8 - 12.7 - 12.6 - 13.2 - 13.1 - 12.7	7.2 - 19.1 - 31.8 - 45.6 - 58.3 - 70.9 - 84.1 - 97.2 - 109.9 (7.2-7.2)									
200007010102	ダ	左	1700	雨	良	10:15	4歳未勝利		2000-3-4	1	中京	1	4歳未勝利	牝[指](馬齢)	5	140	1	5	100	1	3	150	2	4.0	180	4.0	3-4	430	2	3-5	510.0	2.0	3-5	240	2.0	4-5	330	3.0	3-4	640	8.0					7.2 - 10.8 - 11.9 - 13.7 - 13.2 - 12.9 - 13.6 - 13.8 - 13.5	7.2 - 18.0 - 29.9 - 43.6 - 56.8 - 69.7 - 83.3 - 97.1 - 110.6 (7.2-7.2)									
200007010103	ダ	左	1000	雨	良	10:40	4歳未勝利		2000-3-4	1	中京	1	4歳未勝利	[指](馬齢)	3	3810	7	3	440	6	8	120	1	6.0	210	4.0	3-6	2580	8	3-8	2600.0	8.0	3-8	840	8.0	3-6	1,560	18.0	6-8	360	4.0					12.5 - 11.0 - 12.3 - 12.1 - 12.9	12.5 - 23.5 - 35.8 - 47.9 - 60.8 (12.5-12.5)									
200007010104	芝	左	1700	雨	良	11:10	4歳未出走		2000-3-4	1	中京	1	4歳未出走	(混)[指](馬齢)	8	2570	7	8	560	8	12	140	1	9.0	280	5.0	5-7	2110	9	8-12	2140.0	8.0	8-12	900	10.0	8-9	2,050	24.0	9-12	550	5.0					7.2 - 11.8 - 13.3 - 13.5 - 12.9 - 12.6 - 12.1 - 12.1 - 11.9	7.2 - 19.0 - 32.3 - 45.8 - 58.7 - 71.3 - 83.4 - 95.5 - 107.4 (7.2-7.2)									
200007010105	ダ	左	1600	雨	良	11:40	4歳以上500万下		2000-3-4	1	中京	1	4歳以上500万下	(混)[指](別定)	10	350	2	10	130	2	5	110	1	6.0	160	3.0	4-6	230	1	5-10	380.0	1.0	5-10	180	1.0	6-10	330	3.0	5-6	240	2.0					13.0 - 11.0 - 12.3 - 12.5 - 13.0 - 13.3 - 12.9 - 13.0	13.0 - 24.0 - 36.3 - 48.8 - 61.8 - 75.1 - 88.0 - 101.0 (13.0-13.0)									
200007010106	ダ	左	1000	雨	良	12:40	4歳以上500万下		2000-3-4	1	中京	1	4歳以上500万下	牝[指](別定)	3	460	2	3	170	2	15	150	1	16.0	310	6.0	2-8	890	3	3-15	1180.0	1.0	3-15	490	2.0	3-16	930	11.0	15-16	990	14.0					12.6 - 10.9 - 12.3 - 12.1 - 12.7	12.6 - 23.5 - 35.8 - 47.9 - 60.6 (12.6-12.6)									
200007010107	ダ	左	1700	雨	稍重	13:15	4歳以上500万下		2000-3-4	1	中京	1	4歳以上500万下	[指](別定)	7	150	1	7	110	1	8	210	4	10.0	300	5.0	4-4	770	2	7-8	820.0	2.0	7-8	380	2.0	7-10	550	4.0	8-10	1,350	16.0					7.2 - 10.8 - 11.9 - 13.6 - 12.8 - 12.7 - 13.0 - 12.6 - 12.7	7.2 - 18.0 - 29.9 - 43.5 - 56.3 - 69.0 - 82.0 - 94.6 - 107.3 (7.2-7.2)									
200007010108	芝	左	2500	雨	良	13:50	4歳以上500万下		2000-3-4	1	中京	1	4歳以上500万下	(混)[指](別定)	4	490	2	4	190	3	16	1,030	11	12.0	140	1.0	2-8	7010	21	4-16	16760.0	44.0	4-16	4,210	41.0	4-12	470	2.0	12-16	2,580	31.0					7.0 - 11.7 - 12.7 - 12.6 - 12.4 - 12.8 - 13.2 - 12.9 - 12.1 - 12.0 - 12.2 - 12.1 - 12.4	7.0 - 18.7 - 31.4 - 44.0 - 56.4 - 69.2 - 82.4 - 95.3 - 107.4 - 119.4 - 131.6 - 143.7 - 156.1 (7.0-7.0)									
200007010109	芝	左	1200	雨	良	14:25	岡崎特別 		2000-3-4	1	中京	1	4歳以上500万下	牝[指](別定)	16	290	2	16	140	2	3	130	1	1.0	1,370	13.0	2-8	380	1	3-16	530.0	1.0	3-16	290	1.0	1-16	5,680	56.0	1-3	5,810	57.0					12.2 - 10.7 - 11.4 - 11.9 - 11.9 - 12.2	12.2 - 22.9 - 34.3 - 46.2 - 58.1 - 70.3 (12.2-12.2)									
200007010110	芝	左	2000	雨	稍重	15:00	フリージア賞 		2000-3-4	1	中京	1	4歳500万下	(混)(特指)(馬齢)	4	340	2	4	150	2	3	300	4	8.0	680	10.0	3-4	1660	7	3-4	1760.0	5.0	3-4	690	5.0	4-8	900	10.0	3-8	3,420	40.0					12.7 - 10.8 - 11.9 - 13.1 - 12.6 - 12.5 - 12.4 - 12.4 - 12.5 - 12.3	12.7 - 23.5 - 35.4 - 48.5 - 61.1 - 73.6 - 86.0 - 98.4 - 110.9 - 123.2 (12.7-12.7)									
