	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200008010101	ダ	右	1800	晴	良	10:05	4歳未勝利		2000-1-5	1	京都	1	4歳未勝利	(混)[指](馬齢)	4	750	4	4	170	4	1	120	2	9.0	100	1.0	1-4	1350	6	1-4	1290.0	5.0	1-4	400	6.0	4-9	340	3.0	1-9	170	1.0					12.6 - 11.5 - 13.1 - 13.1 - 13.2 - 13.1 - 13.4 - 12.9 - 12.1	12.6 - 24.1 - 37.2 - 50.3 - 63.5 - 76.6 - 90.0 - 102.9 - 115.0 (12.6-12.6)									
200008010102	ダ	右	1200	晴	良	10:30	4歳未勝利		2000-1-5	1	京都	1	4歳未勝利	[指](馬齢)	9	310	2	9	120	2	14	120	1	15.0	530	6.0	5-7	270	1	9-14	520.0	2.0	9-14	270	2.0	9-15	950	10.0	14-15	1,210	14.0					12.4 - 11.4 - 11.7 - 12.2 - 12.7 - 13.0	12.4 - 23.8 - 35.5 - 47.7 - 60.4 - 73.4 (12.4-12.4)									
200008010103	ダ	右	1800	晴	良	10:55	4歳新馬		2000-1-5	1	京都	1	4歳新馬	(父)[指](馬齢)	4	1820	6	4	440	7	8	200	2	6.0	260	5.0	4-7	5130	16	4-8	7480.0	27.0	4-8	1,820	27.0	4-6	1,510	24.0	6-8	780	9.0					12.6 - 12.3 - 13.7 - 13.6 - 13.3 - 12.7 - 12.5 - 13.0 - 12.9	12.6 - 24.9 - 38.6 - 52.2 - 65.5 - 78.2 - 90.7 - 103.7 - 116.6 (12.6-12.6)									
200008010104	ダ	右	1400	晴	良	11:20	4歳新馬		2000-1-5	1	京都	1	4歳新馬	[指](馬齢)	13	670	3	13	160	3	7	120	1	12.0	190	4.0	5-8	490	3	7-13	890.0	3.0	7-13	380	3.0	12-13	630	6.0	7-12	530	5.0					12.7 - 11.7 - 12.5 - 12.9 - 13.1 - 12.4 - 12.5	12.7 - 24.4 - 36.9 - 49.8 - 62.9 - 75.3 - 87.8 (12.7-12.7)									
200008010105	芝	右	1800	晴	良	11:50	4歳新馬		2000-1-5	1	京都	1	4歳新馬	(混)[指](馬齢)	10	240	1	10	140	1	5	430	6	8.0	510	8.0	3-6	2210	7	5-10	2750.0	11.0	5-10	1,060	13.0	8-10	1,020	12.0	5-8	2,860	30.0					12.9 - 11.4 - 12.0 - 12.9 - 13.3 - 12.2 - 11.1 - 12.3 - 11.8	12.9 - 24.3 - 36.3 - 49.2 - 62.5 - 74.7 - 85.8 - 98.1 - 109.9 (12.9-12.9)									
200008010106	ダ	右	1800	晴	良	12:50	4歳500万下		2000-1-5	1	京都	1	4歳500万下	(混)(特指)(馬齢)	10	1190	5	10	460	8	4	220	4	1.0	430	6.0	4-8	1370	6	4-10	4380.0	19.0	4-10	1,310	20.0	1-10	2,790	29.0	1-4	1,390	21.0					12.3 - 11.1 - 13.0 - 13.8 - 13.2 - 13.0 - 12.7 - 13.1 - 13.0	12.3 - 23.4 - 36.4 - 50.2 - 63.4 - 76.4 - 89.1 - 102.2 - 115.2 (12.3-12.3)									
200008010107	ダ	右	1200	晴	良	13:20	4歳以上500万下		2000-1-5	1	京都	1	4歳以上500万下	[指](別定)	4	2460	5	4	240	5	12	200	3	16.0	140	2.0	2-6	3110	10	4-12	4700.0	14.0	4-12	980	9.0	4-16	640	8.0	12-16	370	2.0					12.5 - 11.1 - 11.7 - 12.1 - 12.7 - 12.4	12.5 - 23.6 - 35.3 - 47.4 - 60.1 - 72.5 (12.5-12.5)									
200008010108	ダ	右	1800	晴	良	13:50	4歳以上500万下		2000-1-5	1	京都	1	4歳以上500万下	(混)[指](別定)	6	290	1	6	120	1	7	160	3	1.0	120	2.0	3-4	880	3	6-7	880.0	2.0	6-7	360	2.0	1-6	270	1.0	1-7	440	4.0					12.3 - 11.1 - 13.3 - 13.2 - 13.6 - 12.9 - 12.3 - 12.5 - 12.6	12.3 - 23.4 - 36.7 - 49.9 - 63.5 - 76.4 - 88.7 - 101.2 - 113.8 (12.3-12.3)									
200008010109	芝	右	2400	晴	良	14:25	睦月賞 		2000-1-5	1	京都	1	4歳以上900万下	(混)[指](別定)	2	1240	7	2	340	6	12	170	1	10.0	990	12.0	1-6	1410	5	2-12	3310.0	11.0	2-12	1,150	10.0	2-10	7,480	64.0	10-12	4,060	52.0					12.9 - 11.2 - 11.2 - 12.8 - 12.2 - 12.4 - 12.6 - 12.7 - 12.4 - 11.9 - 11.9 - 12.4	12.9 - 24.1 - 35.3 - 48.1 - 60.3 - 72.7 - 85.3 - 98.0 - 110.4 - 122.3 - 134.2 - 146.6 (12.9-12.9)									
200008010110	ダ	右	1200	晴	良	15:00	門松ステークス 		2000-1-5	1	京都	1	4歳以上1600万下	(混)[指](別定)	13	170	1	13	130	1	12	560	8	3.0	350	5.0	6-7	2210	9	12-13	2690.0	11.0	12-13	1,070	11.0	3-13	660	5.0	3-12	3,090	31.0					12.6 - 10.9 - 11.4 - 11.6 - 11.9 - 12.5	12.6 - 23.5 - 34.9 - 46.5 - 58.4 - 70.9 (12.6-12.6)									
200008010111	芝	右	1600	晴	良	15:35	スポニチ賞京都金杯	G3	2000-1-5	1	京都	1	4歳以上オープン	(混)[指](ハンデ)	6	710	3	6	240	4	9	120	1	13.0	4,360	15.0	3-5	700	3	6-9	900.0	3.0	6-9	420	3.0	6-13	17,090	70.0	9-13	8,430	59.0					12.3 - 10.9 - 11.8 - 11.7 - 11.5 - 11.7 - 11.9 - 11.6	12.3 - 23.2 - 35.0 - 46.7 - 58.2 - 69.9 - 81.8 - 93.4 (12.3-12.3)									
200008010201	ダ	右	1800	曇	良	10:05	4歳未勝利		2000-1-6	1	京都	2	4歳未勝利	(市)(抽)[指](馬齢)	11	1000	4	11	360	5	7	210	2	10.0	430	6.0	6-8	1480	6	7-11	1980.0	7.0	7-11	450	5.0	10-11	1,700	18.0	7-10	890	9.0					12.3 - 11.9 - 13.1 - 13.1 - 12.9 - 13.0 - 13.0 - 13.0 - 12.8	12.3 - 24.2 - 37.3 - 50.4 - 63.3 - 76.3 - 89.3 - 102.3 - 115.1 (12.3-12.3)									
200008010202	ダ	右	1400	曇	良	10:35	4歳未勝利		2000-1-6	1	京都	2	4歳未勝利	(混)[指](馬齢)	10	300	2	10	170	3	1	140	2	8.0	200	4.0	1-7	1220	5	1-10	1040.0	4.0	1-10	370	3.0	8-10	620	6.0	1-8	700	7.0					12.6 - 11.3 - 11.9 - 12.0 - 12.3 - 13.4 - 13.2	12.6 - 23.9 - 35.8 - 47.8 - 60.1 - 73.5 - 86.7 (12.6-12.6)									
200008010203	ダ	右	1200	曇	良	11:00	4歳未勝利		2000-1-6	1	京都	2	4歳未勝利	牝[指](馬齢)	10	760	4	10	180	4	14	110	1	6.0	550	7.0	6-8	430	3	10-14	510.0	3.0	10-14	290	3.0	6-10	2,320	25.0	6-14	940	8.0					12.7 - 11.2 - 11.8 - 12.2 - 12.7 - 13.5	12.7 - 23.9 - 35.7 - 47.9 - 60.6 - 74.1 (12.7-12.7)									
200008010204	ダ	右	1800	曇	良	11:25	4歳新馬		2000-1-6	1	京都	2	4歳新馬	(混)[指](馬齢)	7	1090	6	7	240	6	1	210	4	4.0	130	1.0	1-7	2400	12																	12.6 - 12.3 - 13.8 - 13.4 - 13.1 - 12.7 - 12.6 - 13.5 - 13.7	12.6 - 24.9 - 38.7 - 52.1 - 65.2 - 77.9 - 90.5 - 104.0 - 117.7 (12.6-12.6)									
200008010205	ダ	右	1400	曇	良	11:50	4歳新馬		2000-1-6	1	京都	2	4歳新馬	(混)[指](馬齢)	8	650	4	8	210	4	5	200	3	6.0	270	5.0	5-7	1360	6	5-8	1290.0	5.0	5-8	490	4.0	6-8	670	8.0	5-6	790	9.0					12.9 - 11.5 - 12.3 - 12.6 - 12.3 - 12.7 - 12.8	12.9 - 24.4 - 36.7 - 49.3 - 61.6 - 74.3 - 87.1 (12.9-12.9)									
200008010206	芝	右	1200	曇	良	12:50	4歳新馬		2000-1-6	1	京都	2	4歳新馬	[指](馬齢)	1	1030	4	1	280	5	3	130	1	6.0	740	9.0	1-2	720	3	1-3	950.0	3.0	1-3	490	3.0	1-6	3,360	35.0	3-6	1,680	23.0					12.4 - 11.2 - 11.7 - 11.8 - 11.9 - 12.4	12.4 - 23.6 - 35.3 - 47.1 - 59.0 - 71.4 (12.4-12.4)									
200008010207	ダ	右	1800	曇	良	13:20	4歳以上500万下		2000-1-6	1	京都	2	4歳以上500万下	牝[指](別定)	3	410	2	3	150	2	11	450	6	13.0	260	4.0	2-6	2510	11	3-11	5750.0	19.0	3-11	1,510	15.0	3-13	660	5.0	11-13	3,400	40.0					12.3 - 11.5 - 12.0 - 12.5 - 13.3 - 13.1 - 13.0 - 13.5 - 13.4	12.3 - 23.8 - 35.8 - 48.3 - 61.6 - 74.7 - 87.7 - 101.2 - 114.6 (12.3-12.3)									
200008010208	ダ	右	1400	曇	良	13:50	4歳以上500万下		2000-1-6	1	京都	2	4歳以上500万下	(混)[指](別定)	16	360	2	16	150	2	5	140	1	15.0	290	5.0	3-8	580	1	5-16	810.0	1.0	5-16	400	1.0	15-16	820	5.0	5-15	880	7.0					12.6 - 10.9 - 11.7 - 12.2 - 12.4 - 12.5 - 13.0	12.6 - 23.5 - 35.2 - 47.4 - 59.8 - 72.3 - 85.3 (12.6-12.6)									
