着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	1	1	---	2	1997102558	牝	4	448.0	-8.0	54.0	94.7	0			05312	a0144	x00535	36.0	200040050301
2	6	6	---	3	1997109228	牡	4	468.0	-2.0	55.0	94.7	アタマ			a0164	05255	x00b03	10.8	200040050301
3	7	7	---	5	1997101822	牝	4	400.0	0.0	54.0	94.9	1			a00f5	a0135	352008	4.0	200040050301
4	3	3	---	1	1997106176	牝	4	525.0	1.0	54.0	95.0	クビ			05024	a0147	057008	3.6	200040050301
5	4	4	---	6	1997109132	牝	4	475.0	-5.0	54.0	95.9	4			a00ec	a0133	873007	3.3	200040050301
6	2	2	---	4	1997109297	牝	4	400.0	-5.0	54.0	96.2	1.1/2			05209	05255	x00b03	0.0	200040050301
7	5	5	---	7	1997101116	牡	4	470.0	0.0	54.0	97.2	5			a0188	a0140	x008e1	0.0	200040050301
1	5	5	---	9	1997102202	牝	4	425.0	-7.0	53.0	94.9	0			05413	05421	x00dd2	36.0	200040050302
2	7	7	---	2	1997102205	牝	4	433.0	2.0	54.0	94.9	クビ			05358	05421	x01465	10.8	200040050302
3	8	9	---	4	1997101089	牡	4	409.0	1.0	55.0	95.3	2			05012	05440	x00d56	4.0	200040050302
4	8	8	---	7	1997104939	牝	4	457.0	7.0	53.0	96.5	6			a0181	a013b	x00b73	3.6	200040050302
5	1	1	---	6	1997103095	牝	4	390.0	0.0	54.0	96.5	ハナ			a00f1	a013e	x00e2f	3.3	200040050302
6	6	6	---	3	1997109214	牡	4	435.0	-2.0	55.0	96.8	1.1/2			05024	a013d	x01209	0.0	200040050302
7	4	4	---	8	1997102093	牝	4	460.0	-5.0	54.0	96.9	1/2			a00f0	a0138	x00c4f	0.0	200040050302
8	3	3	---	5	1997106802	牝	4	434.0	2.0	54.0	97.2	1.1/2			05315	a0143	x008bc	0.0	200040050302
