	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200052010401	ダ	右	1200	晴	良	11:00	4才		2000-1-4	13	益田	6	(馬齢)																																						614325	614352	6,(5,4),1,2,3			
200052010402	ダ	右	1200	晴	良	11:25	サラ		2000-1-4	13	益田	6	(馬齢)																																						642351	6,(1,4,3,5),2	6,4,(1,3,5)-2			
200052010403	ダ	右	1200	晴	良	11:50	サラ		2000-1-4	13	益田	6	(馬齢)																																						1,3,(5,6),4,2	1,3,(5,6),2,4	1,3,(2,4),5,6			
200052010801	ダ	右	1200	曇	稍重	11:40	4才		2000-1-8	14	益田	1	(馬齢)																																						25413	2,5,3,(1,4)	25314			
200052010802	ダ	右	1200	曇	稍重	12:05	4才		2000-1-8	14	益田	1	(馬齢)																																						1,5,(3,4),2	1,(4,5),3,2	1,5,(3,2),4			
200052010803	ダ	右	1200	曇	稍重	12:30	D		2000-1-8	14	益田	1	(馬齢)																																						613245	613245	6,(1,3),2,5,4			
200052010804	ダ	右	1200	曇	良	13:00	D		2000-1-8	14	益田	1	(馬齢)																																						164523	162543	1,2,3,6,(4,5)			
200052010805	ダ	右	1200	曇	良	13:30	サラ		2000-1-8	14	益田	1	(馬齢)																																						1562437	1,5,2,4,6,(3,7)	1,4,5,6,7,(3,2)			
200052011501	ダ	右	1200	曇	重	11:40	4才		2000-1-15	14	益田	4	(馬齢)																																						2,6,(1,5),3,4	2,(1,6),(3,5,4)	(1,2),6,3,4,5			
200052011502	ダ	右	1200	曇	重	12:05	D		2000-1-15	14	益田	4	(馬齢)																																						1237456	1234756	(1,3),2,4,5,7,6			
200052011503	ダ	右	1200	曇	重	12:30	サラ		2000-1-15	14	益田	4	(馬齢)																																						136524	1,3,6,(2,5),4	1,3,6,(5,4),2			
200052031101	ダ	右	1200	雨	良	12:00	4才		2000-3-11	15	益田	1	(馬齢)																																						2,5,(1,3,4)	25413	(2,5),1,3,4			
200052031102	ダ	右	1200	雨	良	12:25	4才		2000-3-11	15	益田	1	(馬齢)																																						1325.0	1325.0	1325.0			
200052031103	ダ	右	1200	雨	良	12:50	D		2000-3-11	15	益田	1	(馬齢)																																						653421.0	653421.0	625341.0			
200052031104	ダ	右	1200	雨	良	13:20	サラ		2000-3-11	15	益田	1	(馬齢)																																						3152647	3,1,(2,5),(4,6),7	3,1,5,2,(4,6),7			
200052032601	ダ	右	1200	晴	良	12:00	D		2000-3-26	15	益田	6	(馬齢)																																						1,6,(4,5),3,7,2	1645327	(1,6),4,3,2,5,7			
200052032602	ダ	右	1200	晴	良	12:25	D		2000-3-26	15	益田	6	(馬齢)																																						4,5,(1,6),7,(2,3)	4,5,1,6,7,(2,3)	1,(4,5),6,7,3,2			
200052032603	ダ	右	1200	晴	良	12:50	サラ		2000-3-26	15	益田	6	(馬齢)																																						3,2,(1,6),4,(5,7)	3,2,1,6,4,(5,7)	3,2,(5,6),(1,4,7)			
200052040101	ダ	右	1200	晴	良	12:00	4才		2000-4-1	1	益田	1	(馬齢)																																						2671543.0	2671534.0	6712453.0			
200052040102	ダ	右	1200	晴	良	12:30	サラ		2000-4-1	1	益田	1	(馬齢)																																						5716342	5,7,1,6,3-4,2	5761342			
200052040103	ダ	右	1200	晴	良	13:00	サラ		2000-4-1	1	益田	1	(馬齢)																																						(6,7),4,5,2,1,3	(6,7),4,5,2,1,3	(6,7),4,5,2,1,3			
200052041601	ダ	右	1200	晴	良	12:00	D		2000-4-16	1	益田	6	(馬齢)																																						4,7,(3,5),(2,6),1	4,7,3,5,2,(6,1)	4-7,5,3,6,2,1			
200052041602	ダ	右	1200	晴	良	12:25	サラ		2000-4-16	1	益田	6	(馬齢)																																						4,(1,2,5,6),7,3	4,1,5,2,(6,3),7	4,(1,2),7,3,6,5			
200052042301	ダ	右	1200	晴	良	12:00	D		2000-4-23	2	益田	1	(馬齢)																																						2,6,(3,4,5),1	6,2,(3,4),1,5	2,1,(3,6),4,5			
200052042302	ダ	右	1200	晴	良	12:25	D		2000-4-23	2	益田	1	(馬齢)																																						1,4,5,(2,3,6)	1,4,5,(2,3,6)	1,2,5,(4,6),3			
200052042303	ダ	右	1200	晴	良	12:50	D		2000-4-23	2	益田	1	(馬齢)																																						4,(2,6),3,1,5	4,(2,6),3,1,5	462315			
200052042304	ダ	右	1350	晴	良	13:20	C		2000-4-23	2	益田	1	(馬齢)																																						1,2,(3,4,5)	1,2,(3,5),4	1,(2,5),(3,4)			
200052042305	ダ	右	1200	晴	良	13:50	サラ		2000-4-23	2	益田	1	(馬齢)																																						(6,7),4,1,5,2,3	(6,7),4,1,5,2,3	6742153			
200052050401	ダ	右	1200	晴	良	12:00	D		2000-5-4	2	益田	4	(馬齢)																																						514632	5,(1,4),6,3,2	5,1,(2,4),3,6			
200052050402	ダ	右	1200	晴	良	12:30	サラ		2000-5-4	2	益田	4	(馬齢)																																						1,(4,6),5,3,2	146532	(5,4,6),1,3,2			
200052051301	ダ	右	1200	晴	良	12:00	D		2000-5-13	3	益田	1	(馬齢)																																						4,5,(2,3),1,6	4,(2,5),3,1,6	4,(2,5),3,1,6			
200052051302	ダ	右	1200	晴	良	12:30	サラ		2000-5-13	3	益田	1	(馬齢)																																						1,2,(3,6),5,4	123645	126345			
200052051303	ダ	右	1200	曇	良	13:00	サラ		2000-5-13	3	益田	1	(馬齢)																																						6,(1,2),4,5,3	6,1,(2,4),5,3	612354			
200052051304	ダ	右	1350	曇	良	13:30	C		2000-5-13	3	益田	1	(馬齢)																																						(3,4),2,5,6,1	423651	423615			
200052051305	ダ	右	1350	曇	良	14:00	C		2000-5-13	3	益田	1	(馬齢)																																						261543	2,(4,6),1,5,3	2,6,(4,5),1,3			
200052051306	ダ	右	1350	曇	良	14:30	C		2000-5-13	3	益田	1	(馬齢)																																						625341	6,2,(3,4,5),1	621435			
200052051307	ダ	右	1350	曇	良	15:00	サラ		2000-5-13	3	益田	1	(馬齢)																																						125634.0	125634.0	135642.0			
200052052001	ダ	右	1200	曇	良	12:00	D		2000-5-20	3	益田	3	(馬齢)																																						2,6,3,(1,5),4	265314	215346			
200052052002	ダ	右	1200	曇	良	12:30	D		2000-5-20	3	益田	3	(馬齢)																																						463152.0	436152.0	431256.0			
200052052003	ダ	右	1350	曇	良	13:00	C		2000-5-20	3	益田	3	(馬齢)																																						4,6,1,5,(3,2)	461523	462135			
200052052005	ダ	右	1350	曇	良	14:00	C		2000-5-20	3	益田	3	(馬齢)																																						41632.0	41632.0	41632.0			
200052052006	ダ	右	1350	曇	良	14:30	サラ		2000-5-20	3	益田	3	(馬齢)																																						2,6,(1,3,5),4	2,6,(1,3),5,4	263451			
200052060401	ダ	右	800	曇	良	12:00	3才		2000-6-4	4	益田	2	(馬齢)																																								53241.0			
200052060402	ダ	右	800	曇	良	12:25	3才		2000-6-4	4	益田	2	(馬齢)																																								241356.0			
200052060403	ダ	右	1200	曇	良	12:50	サラ		2000-6-4	4	益田	2	(馬齢)																																						6345721	6534721	6,5,(3,7),4,1,2			
200052060404	ダ	右	1350	曇	良	13:20	C		2000-6-4	4	益田	2	(馬齢)																																						3,(4,2),5,6,1	342561	352461			
200052060405	ダ	右	1350	晴	良	13:50	C		2000-6-4	4	益田	2	(馬齢)																																						2476153	2476135	(2,5),(3,1,4),7,6			
200052060406	ダ	右	1350	晴	良	14:20	C		2000-6-4	4	益田	2	(馬齢)																																						1243756	1,2,(3,4),7,5,6	(3,4),(1,5),7,2,6			
200052060407	ダ	右	1350	晴	良	14:50	サラ		2000-6-4	4	益田	2	(馬齢)																																						28143657.0	28143657.0	16428357.0			
200052061101	ダ	右	800	晴	稍重	12:00	3才		2000-6-11	4	益田	4	(馬齢)																																								25314.0			
200052061102	ダ	右	800	晴	稍重	12:25	3才		2000-6-11	4	益田	4	(馬齢)																																								2,(1,5,3),6,4			
200052061103	ダ	右	1200	晴	稍重	12:50	D		2000-6-11	4	益田	4	(馬齢)																																						2,(4,3,5),1,6	(2,5),3,1,4,6	523164			
200052061104	ダ	右	1200	曇	稍重	13:20	D		2000-6-11	4	益田	4	(馬齢)																																						2,(5,7),(3,6),1,4	2573641	2,(1,4),6,7,3,5			
200052061105	ダ	右	1350	曇	稍重	13:50	C		2000-6-11	4	益田	4	(馬齢)																																						3761425	3,7,(4,6),1,2,5	(1,3),(7,6),4,2,5			
200052061106	ダ	右	1350	曇	稍重	14:20	C		2000-6-11	4	益田	4	(馬齢)																																						1,(2,6),5,3,7,4	1263547	1726354			
200052061107	ダ	右	1350	曇	稍重	14:50	サラ		2000-6-11	4	益田	4	(馬齢)																																						4,5,1,6,7,(2,3),8	4,(1,5),6,7,3,2,8	45613782			
