	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200101010101	ダ	右	1000	曇	重	09:50	3歳未勝利		2001-8-4	1	札幌	1	3歳未勝利	[指](馬齢)	2	140	1	2	100	1	4	190	3	11.0	310	6.0	2-4	520	2	2-4	510.0	2.0	2-4	240	2.0	2-11	480	6.0	4-11	1,080	13.0					12.3 - 10.8 - 11.4 - 11.7 - 12.4	12.3 - 23.1 - 34.5 - 46.2 - 58.6 (12.3-12.3)									
200101010103	芝	右	1200	晴	稍重	10:45	3歳未勝利		2001-8-4	1	札幌	1	3歳未勝利	(混)[指](馬齢)	16	260	1	16	110	1	9	120	2	2.0	190	4.0	5-8	250	1	9-16	370.0	1.0	9-16	170	1.0	2-16	410	4.0	2-9	430	5.0					12.4 - 10.8 - 11.2 - 11.7 - 11.7 - 12.1	12.4 - 23.2 - 34.4 - 46.1 - 57.8 - 69.9 (12.4-12.4)									
200101010104	芝	右	1000	晴	稍重	11:15	2歳新馬		2001-8-4	1	札幌	1	2歳新馬	[指](馬齢)	3	4390	8	3	840	8	5	160	2	10.0	470	7.0	3-4	4000	14	3-5	6700.0	17.0	3-5	1,890	19.0	3-10	4,490	38.0	5-10	1,500	14.0					12.1 - 10.7 - 11.2 - 11.8 - 12.5	12.1 - 22.8 - 34.0 - 45.8 - 58.3 (12.1-12.1)									
200101010105	芝	右	1800	晴	稍重	11:45	2歳新馬		2001-8-4	1	札幌	1	2歳新馬	(混)[指](馬齢)	2	260	1	2	160	2	9	730	8	3.0	510	7.0	2-6	450	1	2-9	4330.0	15.0	2-9	1,570	18.0	2-3	1,060	12.0	3-9	3,620	35.0					13.1 - 12.5 - 13.1 - 13.5 - 12.9 - 12.5 - 12.3 - 11.9 - 11.7	13.1 - 25.6 - 38.7 - 52.2 - 65.1 - 77.6 - 89.9 - 101.8 - 113.5 (13.1-13.1)									
200101010106	ダ	右	1700	晴	稍重	12:45	3歳以上500万下		2001-8-4	1	札幌	1	3歳以上500万下	[指](別定)	2	640	4	2	260	4	9	180	3	3.0	880	7.0	2-6	1230	7	2-9	1340.0	7.0	2-9	520	6.0	2-3	2,310	23.0	3-9	1,940	20.0					7.1 - 11.0 - 12.2 - 12.6 - 12.8 - 12.6 - 12.4 - 12.2 - 12.3	7.1 - 18.1 - 30.3 - 42.9 - 55.7 - 68.3 - 80.7 - 92.9 - 105.2 (7.1-7.1)									
200101010107	ダ	右	1700	晴	稍重	13:15	3歳以上500万下		2001-8-4	1	札幌	1	3歳以上500万下	(特指)(別定)	12	380	2	12	140	2	3	130	1	1.0	780	10.0	3-8	350	1	3-12	550.0	1.0	3-12	250	1.0	1-12	2,420	29.0	1-3	1,860	24.0					7.1 - 10.9 - 12.2 - 12.3 - 12.2 - 12.0 - 12.7 - 12.7 - 13.0	7.1 - 18.0 - 30.2 - 42.5 - 54.7 - 66.7 - 79.4 - 92.1 - 105.1 (7.1-7.1)									
200101010108	ダ	右	1000	晴	稍重	13:50	3歳以上500万下		2001-8-4	1	札幌	1	3歳以上500万下	(混)[指](別定)	3	370	2	3	160	2	1	870	10	7.0	220	3.0	1-3	7390	19	1-3	7770.0	24.0	1-3	1,750	20.0	3-7	600	5.0	1-7	2,950	32.0					12.4 - 10.6 - 11.1 - 11.8 - 12.3	12.4 - 23.0 - 34.1 - 45.9 - 58.2 (12.4-12.4)									
200101010109	芝	右	1500	晴	良	14:25	3歳以上500万下		2001-8-4	1	札幌	1	3歳以上500万下	[指](別定)	3	2660	10	3	610	10	5	400	7	7.0	160	2.0	3-5	10210	25	3-5	14770.0	44.0	3-5	3,370	44.0	3-7	1,320	19.0	5-7	1,080	13.0					6.9 - 11.7 - 11.5 - 11.5 - 11.8 - 12.0 - 12.1 - 12.2	6.9 - 18.6 - 30.1 - 41.6 - 53.4 - 65.4 - 77.5 - 89.7 (6.9-6.9)									
200101010110	芝	右	2000	晴	良	14:55	日高特別 		2001-8-4	1	札幌	1	3歳以上1000万下	(混)[指](ハンデ)	7	210	1	7	110	1	6	170	4	2.0	130	3.0	6-7	1070	4	6-7	1080.0	4.0	6-7	350	4.0	2-7	190	1.0	2-6	420	6.0					13.3 - 11.3 - 11.5 - 11.7 - 11.6 - 12.3 - 12.5 - 12.5 - 12.7 - 12.4	13.3 - 24.6 - 36.1 - 47.8 - 59.4 - 71.7 - 84.2 - 96.7 - 109.4 - 121.8 (13.3-13.3)									
200101010111	ダ	右	1700	晴	稍重	15:30	TVh賞 		2001-8-4	1	札幌	1	3歳以上1000万下	(混)(特指)(別定)	11	1290	6	11	490	6	9	240	4	4.0	360	5.0	6-7	2050	8	9-11	5670.0	21.0	9-11	1,650	22.0	4-11	1,640	21.0	4-9	1,120	11.0					6.9 - 11.1 - 12.1 - 12.5 - 11.8 - 11.9 - 12.6 - 12.9 - 12.9	6.9 - 18.0 - 30.1 - 42.6 - 54.4 - 66.3 - 78.9 - 91.8 - 104.7 (6.9-6.9)									
