	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200104010101	芝	直	1000	曇	良	10:00	3歳未勝利		2001-7-14	1	新潟	1	3歳未勝利	(混)(馬齢)	3	550	4	3	220	4	16	400	6	17.0	2,460	13.0	2-8	880	5	3-16	3170.0	14.0	3-16	970	9.0	3-17	7,480	56.0	16-17	12,730	80.0					12.1 - 10.4 - 11.5 - 10.1 - 12.6	12.1 - 22.5 - 34.0 - 44.1 - 56.7 (12.1-12.1)									
200104010102	ダ	左	1800	曇	良	10:25	3歳未勝利		2001-7-14	1	新潟	1	3歳未勝利	(父)(馬齢)	3	120	1	3	100	1	7	160	3	14.0	180	4.0	3-5	460	3	3-7	470.0	2.0	3-7	240	2.0	3-14	290	3.0	7-14	660	8.0					12.8 - 12.0 - 12.8 - 13.2 - 13.0 - 12.9 - 12.9 - 12.4 - 13.0	12.8 - 24.8 - 37.6 - 50.8 - 63.8 - 76.7 - 89.6 - 102.0 - 115.0 (12.8-12.8)									
200104010103	ダ	左	1200	曇	良	10:50	3歳未勝利		2001-7-14	1	新潟	1	3歳未勝利	(馬齢)	14	570	3	14	160	4	13	140	2	9.0	100	1.0	8-8	1310	5	13-14	1250.0	5.0	13-14	380	4.0	9-14	320	3.0	9-13	180	1.0					12.2 - 11.0 - 11.4 - 12.2 - 12.5 - 14.3	12.2 - 23.2 - 34.6 - 46.8 - 59.3 - 73.6 (12.2-12.2)									
200104010104	芝	左	2200	曇	良	11:20	3歳未勝利		2001-7-14	1	新潟	1	3歳未勝利	(混)(馬齢)	5	160	1	5	100	1	6	120	2	8.0	180	4.0	5-6	300	1	5-6	380.0	1.0	5-6	170	1.0	5-8	340	3.0	6-8	460	5.0					12.6 - 10.8 - 11.1 - 12.4 - 13.1 - 13.2 - 12.6 - 12.1 - 11.8 - 12.0 - 11.9	12.6 - 23.4 - 34.5 - 46.9 - 60.0 - 73.2 - 85.8 - 97.9 - 109.7 - 121.7 - 133.6 (12.6-12.6)									
200104010105	ダ	左	1200	曇	良	11:50	2歳新馬		2001-7-14	1	新潟	1	2歳新馬	(混)(馬齢)	11	260	1	11	120	1	5	130	2	3.0	1,040	12.0	4-7	370	1	5-11	530.0	1.0	5-11	250	1.0	3-11	2,880	38.0	3-5	2,260	31.0					12.6 - 11.2 - 11.8 - 13.1 - 12.7 - 13.2	12.6 - 23.8 - 35.6 - 48.7 - 61.4 - 74.6 (12.6-12.6)									
200104010106	芝	左	1200	曇	良	12:50	2歳新馬		2001-7-14	1	新潟	1	2歳新馬	(馬齢)	11	570	3	11	220	1	13	1,370	15	2.0	650	9.0	6-7	3680	20	11-13	16380.0	56.0	11-13	4,930	60.0	2-11	1,330	13.0	2-13	8,970	93.0					12.1 - 10.6 - 11.4 - 11.2 - 11.5 - 12.3	12.1 - 22.7 - 34.1 - 45.3 - 56.8 - 69.1 (12.1-12.1)									
200104010107	芝	左	1800	曇	良	13:20	3歳以上500万下		2001-7-14	1	新潟	1	3歳以上500万下	牝(別定)	7	450	1	7	170	1	4	190	2	8.0	2,320	15.0	2-4	900	1	4-7	940.0	1.0	4-7	390	1.0	7-8	4,940	60.0	4-8	7,280	67.0					12.8 - 11.4 - 11.5 - 12.0 - 12.2 - 12.2 - 11.5 - 10.5 - 11.8	12.8 - 24.2 - 35.7 - 47.7 - 59.9 - 72.1 - 83.6 - 94.1 - 105.9 (12.8-12.8)									
200104010108	ダ	左	1800	曇	良	13:55	3歳以上500万下		2001-7-14	1	新潟	1	3歳以上500万下	(混)(別定)	10	860	3	10	290	5	11	120	1	2.0	330	8.0	6-7	830	3	10-11	910.0	2.0	10-11	470	2.0	2-10	2,040	29.0	2-11	760	7.0					12.8 - 10.9 - 12.1 - 12.8 - 13.0 - 12.9 - 13.1 - 13.3 - 14.0	12.8 - 23.7 - 35.8 - 48.6 - 61.6 - 74.5 - 87.6 - 100.9 - 114.9 (12.8-12.8)									
200104010109	芝	直	1000	曇	良	14:30	閃光特別 		2001-7-14	1	新潟	1	3歳以上500万下	(混)(別定)	13	2060	9	13	600	9	11	200	2	9.0	200	3.0	6-7	3130	14	11-13	4570.0	19.0	11-13	1,430	16.0	9-13	1,620	21.0	9-11	700	3.0					12.0 - 10.1 - 11.0 - 10.1 - 11.8	12.0 - 22.1 - 33.1 - 43.2 - 55.0 (12.0-12.0)									
200104010110	芝	左	2000	曇	良	15:00	NiLS21S 		2001-7-14	1	新潟	1	3歳以上1600万下	(混)(ハンデ)	2	420	2	2	160	2	1	230	4	3.0	300	5.0	1-2	1390	7																	12.8 - 10.8 - 11.1 - 11.3 - 11.6 - 11.8 - 11.7 - 11.9 - 10.9 - 12.5	12.8 - 23.6 - 34.7 - 46.0 - 57.6 - 69.4 - 81.1 - 93.0 - 103.9 - 116.4 (12.8-12.8)									
