	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200110010101	ダ	右	1700	小雨	不良	09:50	3歳未勝利		2001-1-27	1	小倉	1	3歳未勝利	(混)[指](馬齢)	5	300	1	5	160	3	9	160	2	4.0	130	1.0	4-6	1590	9	5-9	1570.0	8.0	5-9	580	8.0	4-5	470	5.0	4-9	360	1.0					7.1 - 11.4 - 12.1 - 13.5 - 13.4 - 12.9 - 13.2 - 12.9 - 12.9	7.1 - 18.5 - 30.6 - 44.1 - 57.5 - 70.4 - 83.6 - 96.5 - 109.4 (7.1-7.1)									
200110010102	芝	右	1200	雨	稍重	10:15	3歳未勝利		2001-1-27	1	小倉	1	3歳未勝利	[指](馬齢)	4	620	3	4	250	5	6	150	1	15.0	350	7.0	2-3	1190	6	4-6	1200.0	3.0	4-6	460	2.0	4-15	1,580	21.0	6-15	840	10.0					12.2 - 10.7 - 11.3 - 11.6 - 11.7 - 12.2	12.2 - 22.9 - 34.2 - 45.8 - 57.5 - 69.7 (12.2-12.2)									
200110010103	芝	右	1800	雨	稍重	10:45	3歳未勝利		2001-1-27	1	小倉	1	3歳未勝利	(混)[指](馬齢)	9	220	1	9	130	2	10	130	1	3.0	250	6.0	5-5	350	1	9-10	340.0	1.0	9-10	160	1.0	3-9	360	3.0	3-10	520	9.0					12.6 - 11.1 - 12.2 - 12.3 - 12.2 - 12.3 - 12.4 - 12.6 - 12.6	12.6 - 23.7 - 35.9 - 48.2 - 60.4 - 72.7 - 85.1 - 97.7 - 110.3 (12.6-12.6)									
200110010104	芝	右	1800	雨	稍重	11:15	3歳新馬		2001-1-27	1	小倉	1	3歳新馬	[指](馬齢)	11	660	4	11	230	5	4	210	3	1.0	220	4.0	4-8	650	2	4-11	1580.0	6.0	4-11	610	7.0	1-11	1,060	15.0	1-4	530	4.0					12.7 - 11.7 - 13.5 - 13.3 - 12.8 - 12.2 - 12.2 - 12.6 - 12.8	12.7 - 24.4 - 37.9 - 51.2 - 64.0 - 76.2 - 88.4 - 101.0 - 113.8 (12.7-12.7)									
200110010105	ダ	右	1000	雨	不良	11:45	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	牝[指](別定)	7	270	1	7	140	1	13	290	6	4.0	520	7.0	5-8	640	3	7-13	1200.0	3.0	7-13	620	5.0	4-7	1,360	12.0	4-13	3,400	41.0					12.4 - 10.9 - 11.7 - 12.3 - 12.5	12.4 - 23.3 - 35.0 - 47.3 - 59.8 (12.4-12.4)									
200110010106	芝	右	1200	雨	稍重	12:45	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	(混)[指](別定)	5	850	3	5	200	3	1	120	1	16.0	350	6.0	1-3	620	2	1-5	770.0	2.0	1-5	370	2.0	5-16	1,850	23.0	1-16	860	7.0					12.1 - 10.6 - 11.3 - 11.7 - 12.5 - 12.7	12.1 - 22.7 - 34.0 - 45.7 - 58.2 - 70.9 (12.1-12.1)									
200110010107	ダ	右	1700	雨	不良	13:15	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	[指](別定)	13	260	1	13	130	1	4	190	3	14.0	230	5.0	3-7	610	1	4-13	770.0	1.0	4-13	370	2.0	13-14	450	3.0	4-14	760	8.0					7.1 - 11.3 - 12.1 - 13.1 - 12.7 - 12.6 - 12.5 - 12.8 - 13.5	7.1 - 18.4 - 30.5 - 43.6 - 56.3 - 68.9 - 81.4 - 94.2 - 107.7 (7.1-7.1)									
200110010108	芝	右	2000	雨	重	13:50	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	[指](別定)	2	520	3	2	170	3	8	130	1	14.0	160	2.0	1-4	810	3	2-8	900.0	3.0	2-8	350	2.0	2-14	380	3.0	8-14	300	1.0					12.4 - 11.1 - 11.5 - 12.9 - 13.0 - 13.2 - 13.2 - 13.0 - 12.5 - 12.3	12.4 - 23.5 - 35.0 - 47.9 - 60.9 - 74.1 - 87.3 - 100.3 - 112.8 - 125.1 (12.4-12.4)									
200110010109	芝	右	2000	雨	重	14:25	あすなろ賞 		2001-1-27	1	小倉	1	3歳500万下	(混)(特指)(馬齢)	1	1190	5	1	260	5	9	180	3	8.0	110	1.0	1-8	1590	7	1-9	2600.0	11.0	1-9	690	11.0	1-8	450	4.0	8-9	260	2.0					12.6 - 11.3 - 11.8 - 13.0 - 13.3 - 12.6 - 12.8 - 13.1 - 12.9 - 12.9	12.6 - 23.9 - 35.7 - 48.7 - 62.0 - 74.6 - 87.4 - 100.5 - 113.4 - 126.3 (12.6-12.6)									
200110010110	ダ	右	1700	雨	不良	14:55	筑前特別 		2001-1-27	1	小倉	1	4歳以上500万下	(混)[指](別定)	4	300	1	4	150	1	7	210	3	3.0	310	6.0	3-4	860	4	4-7	1020.0	2.0	4-7	430	2.0	3-4	730	8.0	3-7	1,330	14.0					7.2 - 11.3 - 11.7 - 12.5 - 12.6 - 12.8 - 12.8 - 13.3 - 13.6	7.2 - 18.5 - 30.2 - 42.7 - 55.3 - 68.1 - 80.9 - 94.2 - 107.8 (7.2-7.2)									
200110010111	芝	右	1200	雨	重	15:30	帆柱山特別 		2001-1-27	1	小倉	1	4歳以上900万下	(混)[指](ハンデ)	15	1000	6	15	320	5	7	1,290	14	8.0	560	8.0	4-7	4270	24	7-15	25130.0	70.0	7-15	6,450	69.0	8-15	2,040	25.0	7-8	10,300	102.0					12.0 - 10.6 - 11.2 - 12.0 - 12.3 - 12.7	12.0 - 22.6 - 33.8 - 45.8 - 58.1 - 70.8 (12.0-12.0)									
200110010112	芝	右	1800	雨	重	16:10	4歳以上500万下		2001-1-27	1	小倉	1	4歳以上500万下	(混)[指](別定)	1	4760	10	1	1,320	11	16	1,130	10	10.0	580	7.0	1-8	2510	11	1-16	78330.0	96.0	1-16	12,500	90.0	1-10	7,380	61.0	10-16	5,550	49.0					12.7 - 11.4 - 13.3 - 13.0 - 12.5 - 12.6 - 12.4 - 12.7 - 12.7	12.7 - 24.1 - 37.4 - 50.4 - 62.9 - 75.5 - 87.9 - 100.6 - 113.3 (12.7-12.7)									
200110010201	ダ	右	1000	曇	重	09:50	3歳未勝利		2001-1-28	1	小倉	2	3歳未勝利	(馬齢)	10	120	1	10	110	1	6	280	5	1.0	620	8.0	5-7	670	4	6-10	610.0	2.0	6-10	300	3.0	1-10	950	11.0	1-6	2,600	24.0					12.6 - 11.1 - 12.0 - 12.5 - 12.8	12.6 - 23.7 - 35.7 - 48.2 - 61.0 (12.6-12.6)									
200110010202	芝	右	2000	曇	稍重	10:15	3歳未勝利		2001-1-28	1	小倉	2	3歳未勝利	牝(馬齢)	3	1240	4	3	290	4	5	250	3	10.0	2,000	12.0	2-3	2140	9	3-5	2810.0	9.0	3-5	1,090	9.0	3-10	9,620	59.0	5-10	7,660	54.0					12.5 - 11.5 - 12.1 - 13.5 - 13.4 - 13.0 - 12.9 - 12.5 - 12.5 - 12.5	12.5 - 24.0 - 36.1 - 49.6 - 63.0 - 76.0 - 88.9 - 101.4 - 113.9 - 126.4 (12.5-12.5)									
200110010203	ダ	右	1700	曇	重	10:40	3歳新馬		2001-1-28	1	小倉	2	3歳新馬	(馬齢)	9	400	2	9	170	3	8	110	1	3.0	320	6.0	8-8	400	2	8-9	380.0	1.0	8-9	190	1.0	3-9	780	11.0	3-8	510	5.0					7.2 - 11.3 - 12.7 - 13.8 - 13.3 - 13.1 - 13.1 - 13.6 - 13.0	7.2 - 18.5 - 31.2 - 45.0 - 58.3 - 71.4 - 84.5 - 98.1 - 111.1 (7.2-7.2)									
