着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	---	1	1999107271	牝	2	458.0	4.0	53	77.7	0			414	5219	350004	45.0	200138081401
2	5	5	---	4	1999105941	牝	2	448.0	18.0	53	77.7	クビ			410	5218	219006	13.5	200138081401
3	6	6	---	6	1999101556	牝	2	436.0	-6.0	53	78.0	1.1/2			413	5153	x010a1	4.9	200138081401
4	2	2	---	5	1999104736	牝	2	400.0	-10.0	53	78.5	2.1/2			429	5027	x01308	2.2	200138081401
5	4	4	---	3	1999104809	牝	2	444.0	22.0	53	78.8	1.1/2			804	5218	219006	1.8	200138081401
6	1	1	---	2	1999101026	牡	2	464.0	4.0	54	79.4	3			5191	855	x005f6	0.0	200138081401
1	7	7	---	1	1999105692	牡	2	448.0	0.0	54	49.7	0			00423	05027	x01308	300.0	200138081402
2	4	4	---	4	1999107446	牡	2	450.0	0.0	54	50.8	6			00429	05124	346002	105.0	200138081402
3	1	1	---	5	1999102011	牡	2	436.0	0.0	54	50.8	クビ			00414	05219	122009	51.0	200138081402
4	2	2	---	2	1999107511	牝	2	410.0	0.0	53	51.2	2			00984	a0093	x00235	30.0	200138081402
5	3	3	---	6	1999100084	牡	2	478.0	0.0	54	51.2	クビ			05290	05100	x00241	24.0	200138081402
6	6	6	---	3	1999100249	牡	2	454.0	0.0	54	51.2	クビ			05191	00855	490800	0.0	200138081402
7	5	5	---	7	1999107535	牡	2	416.0	0.0	54	52.3	6			a0070	a0093	x002eb	0.0	200138081402
8	8	9	---	8	1999107382	牡	2	412.0	0.0	51	52.4	3/4			a01aa	05043	x00103	0.0	200138081402
9	8	8	---	9	1999107469	牡	2	396.0	0.0	54	54.8	大			05065	05267	913007	0.0	200138081402
1	4	4	---	1	1999105366	牝	2	486.0	0.0	53	48.6	0			00429	05124	570002	300.0	200138081403
2	3	3	---	3	1999106658	牝	2	474.0	0.0	53	49.9	7			05028	05211	x00609	105.0	200138081403
3	5	5	---	8	1999102785	牝	2	444.0	0.0	53	50.0	1/2			00423	05241	x0135f	51.0	200138081403
4	1	1	---	3	1999103478	牝	2	402.0	0.0	53	50.1	3/4			05107	05034	x002da	30.0	200138081403
5	2	2	---	5	1999105946	牡	2	504.0	0.0	54	50.3	1			00804	05218	219006	24.0	200138081403
6	6	6	---	7	1999105283	牝	2	410.0	0.0	53	50.3	ハナ			a0070	a0093	315030	0.0	200138081403
7	8	9	---	2	1999106504	牝	2	416.0	0.0	53	50.4	1/2			05146	05027	028007	0.0	200138081403
8	7	7	---	9	1999104450	牝	2	412.0	0.0	53	50.7	1.1/2			00413	05043	391007	0.0	200138081403
9	8	8	---	5	1999105375	牡	2	408.0	0.0	54	52.5	9			00410	05218	x0134e	0.0	200138081403
1	6	6	---	3	1999102242	牝	2	444.0	0.0	53	50.4	0			00413	05361	014007	300.0	200138081404
2	5	5	---	2	1999109468	牝	2	434.0	0.0	53	50.5	1/2			00804	05100	711002	105.0	200138081404
3	7	7	---	7	1999103416	牝	2	470.0	0.0	53	50.6	3/4			05125	05218	066008	51.0	200138081404
4	8	8	---	5	1999106127	牡	2	438.0	0.0	54	51.5	5			00423	05100	x0026a	30.0	200138081404
5	4	4	---	4	1999106171	牡	2	440.0	0.0	54	51.8	1.1/2			00410	05218	582006	24.0	200138081404
6	3	3	---	5	1999104898	牝	2	408.0	0.0	53	52.1	1.1/2			00414	a0091	201002	0.0	200138081404
7	1	1	---	1	1999100244	牝	2	398.0	0.0	53	52.4	1.1/2			05191	00855	490800	0.0	200138081404
8	2	2	---	8	1999105723	牝	2	432.0	0.0	53	53.0	3			05146	05153	207006	0.0	200138081404
9	8	9	---	8	1999103340	牝	2	426.0	0.0	53	53.2	1			a014a	05146	x021df	0.0	200138081404
