着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	2	2	---	6	1998501094	牝	3	433.0	3.0	55	87.7	0	1-2-3		a015a	a00c3	x00740	14.0	200152010401
2	4	4	---	2	1998500855	牝	3	407.0	-2.0	55	87.9	1	5-5-4		05347	a00c1	x00427	4.9	200152010401
3	6	6	---	1	1998500157	牝	3	406.0	1.0	55	88.5	3	2-1-1		a014c	a00ca	x01b9c	2.1	200152010401
4	5	5	---	3	1998500291	牝	3	413.0	0.0	52	88.6	3/4	6-6-2		a0199	a01d3	x00735	0.0	200152010401
5	1	1	---	4	1998501275	牝	3	398.0	3.0	55	88.7	クビ	4-3-5		a009a	a00c6	x0040e	0.0	200152010401
6	3	3	---	5	1998500383	牝	3	366.0	7.0	55	90.0	6	3-4-6		05404	a00c6	x0042d	0.0	200152010401
1	6	6	---	2	1998500805	牝	3	418.0	0.0	55	85.6	0	1-1-1		05348	a00c3	x00989	14.0	200152010402
2	5	5	---	3	1998501220	牝	3	407.0	-2.0	55	85.6	クビ	6-6-6		a0096	a00c2	x003ec	4.9	200152010402
3	4	4	---	6	1998500579	牝	3	419.0	7.0	55	85.7	3/4	2-3-3		a009a	a00c6	x003f0	2.1	200152010402
4	2	2	---	5	1998500379	牝	3	425.0	-3.0	55	85.7	アタマ	3-2-2		05340	a00c2	x003f4	0.0	200152010402
5	1	1	---	4	1998500685	牡	3	450.0	12.0	56	86.2	2.1/2	4-5-4		a0097	a00c4	874008	0.0	200152010402
6	3	3	---	1	1998501244	牝	3	426.0	-2.0	55	86.2	ハナ	5-4-5		05347	a00c1	x00419	0.0	200152010402
1	2	2	---	1	1997101204	牝	4	401.0	-3.0	52	82.8	0	3-3-2		a0199	a01d3	511009	12.0	200152010403
2	6	6	---	3	1997103184	牝	4	457.0	-8.0	55	82.8	ハナ	2-1-1		05404	a00cb	x0040b	4.2	200152010403
3	1	1	---	4	1998106655	牝	3	420.0	10.0	55	83.5	3	1-2-4		a0096	a00ca	x0073d	1.8	200152010403
4	3	3	---	2	1998101031	牝	3	411.0	-2.0	55	84.8	6	4-4-3		a014c	a00ca	x003ff	0.0	200152010403
5	4	4	---	4	1996102344	牝	5	416.0	3.0	55	84.9	1/2	5-5-5		a0097	a00c9	x0098d	0.0	200152010403
6	5	5	---	6	1997106075	牝	4	384.0	-4.0	52	86.3	7	6-6-6		a0192	a00c9	x003f2	0.0	200152010403
1	5	5	---	6	1995501701	牝	6	446.0	3.0	52	83.1	0	1-1-1		a0199	a00cc	x003f5	12.0	200152010404
2	4	4	---	1	1998501294	牝	3	398.0	3.0	55	83.1	ハナ	2-2-2		05340	a00c2	x003ec	4.2	200152010404
