着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	---	7	1998501293	牝	3	440.0	4.0	53.0	65.7	0			05160	5386	158007	33.0	200161123001
2	8	8	---	6	1998500417	牝	3	418.0	0.0	52.0	65.7	アタマ			05239	5287	487008	11.6	200161123001
3	4	4	---	9	1998500109	牝	3	442.0	-2.0	52.0	65.9	1			05343	5192	078008	5.7	200161123001
4	7	7	---	4	1998500574	牝	3	454.0	-2.0	53.0	65.9	アタマ			a016d	5300	303007	3.7	200161123001
5	5	5	---	1	1998500684	牡	3	466.0	-4.0	54.0	65.9	アタマ			a007d	5386	478005	2.4	200161123001
6	2	2	---	8	1998502091	牡	3	438.0	2.0	54.0	66.3	2			00839	5212	708007	0.0	200161123001
7	8	9	---	2	1998501060	牝	3	410.0	-12.0	53.0	66.4	1/2			05245	5287	x000be	0.0	200161123001
8	6	6	---	5	1998500706	牝	3	386.0	-2.0	50.0	66.5	1/2			05370	5178	x00cb3	0.0	200161123001
9	1	1	---	3	1998500894	牡	3	422.0	-4.0	54.0	66.6	1/2			a0035	5357	433009	0.0	200161123001
1	2	2	---	3	1998500049	牡	3	470.0	-2.0	54.0	64.4	0			05160	5588	110007	33.0	200161123002
2	3	3	---	5	1998500490	牝	3	372.0	-2.0	52.0	64.4	クビ			05343	5192	x000fb	11.6	200161123002
3	5	5	---	1	1998500254	牡	3	540.0	2.0	54.0	64.7	1.1/2			05195	865	x006e6	5.7	200161123002
4	8	8	---	2	1998500650	牝	3	440.0	0.0	53.0	64.9	1.1/2			05240	5408	x000d8	3.7	200161123002
5	8	9	---	7	1998500344	牡	3	470.0	2.0	54.0	65.0	1/2			05139	5185	x00351	2.4	200161123002
6	7	7	---	9	1998500552	牝	3	450.0	-4.0	53.0	65.0	アタマ			a007c	5178	352030	0.0	200161123002
7	6	6	---	6	1998500978	牡	3	474.0	-6.0	54.0	65.1	1/2			05086	5242	949008	0.0	200161123002
