	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200141010201	ダ	右	1500	晴	良	11:10	3歳　普通		2001-1-2	12	高崎	4																																								61458327.0	61854237.0	61852437.0		
200141012501	ダ	右	1400	曇	良	11:20	3歳　普通		2001-1-25	14	高崎	1																																								25473861.0	72834516.0	72485316.0		
200141012502	ダ	右	1400	曇	良	11:50	3歳　普通		2001-1-25	14	高崎	1																																								3-5,6,7,4,2,1	3-5,7,6,4,2,1	3567421.0		
200141012503	ダ	右	1400	曇	良	12:20	C4　普通		2001-1-25	14	高崎	1																																								351267421198101	3,5,12,(6,7),2,4,(10,9),11,8,1	356127210498111.0		
200141012504	ダ	右	1400	曇	良	12:50	C3　C4　普通		2001-1-25	14	高崎	1																																								10,5,11,1,8,3,7,(4,9),2,12,6	10,5,1,7,11,8,(3,4),9,2,6,12	101537411289612.0		
200141012505	ダ	右	1400	曇	良	13:20	C3　普通		2001-1-25	14	高崎	1																																								6,10,2,3,9,8,11,1,5,4-7,12	625310111841279	625310811171249.0		
200141012506	ダ	右	1400	曇	良	13:50	C1　C2　普通		2001-1-25	14	高崎	1																																								2,3,12,10,6-5,9,8,1,4,11,7	321261059811174	321261095811174.0		
200141012507	ダ	右	1500	曇	良	14:20	睦月特別 		2001-1-25	14	高崎	1																																								167894352	8,(6,7,9),5,1,4,3,2	567891432.0		
200141021801	ダ	右	1500	晴	良	11:20	3歳　普通		2001-2-18	16	高崎	2																																								24153.0	24513.0	24153.0		
200141030801	ダ	右	900	晴	良	11:20	3歳　普通		2001-3-8	16	高崎	5																																									392167854.0	392167854.0		
200141030802	ダ	右	1400	晴	良	11:50	C4　C5　普通		2001-3-8	16	高崎	5																																								1,11,8,10,2,9,4,3-6,7,5	1,11,2,10,9,8,3,4-6,7,5	1,10,11,2,9,8,3,4-6-7,5		
200141030803	ダ	右	1400	晴	良	12:20	C4　普通		2001-3-8	16	高崎	5																																								9,11,2,4,(1,8)-10,3,7,5,6	9,11,4,2,1,8-10,3,7,5,6	9,4,11,2,1,8,10,3,(5,7),6		
200141030804	ダ	右	1400	晴	良	12:50	C3　普通		2001-3-8	16	高崎	5																																								6,8,1,9,2,3,(5,7),4	689173254	681937425		
200141030805	ダ	右	1400	晴	良	13:20	C2　C3　普通		2001-3-8	16	高崎	5																																								124210111536978	12,4,1,2,(10,7),3,6,9,5,11,8	124127103695118		
200141030806	ダ	右	1400	曇	良	13:50	C1　普通		2001-3-8	16	高崎	5																																								111725104983.0	111475102839.0	111472851039.0		
200141030807	ダ	右	1500	曇	良	14:20	水仙特別 		2001-3-8	16	高崎	5																																								42106578931	(8,2,10),9,6,7,4,5,3-1	8,2,10,6,9,5,7,4,3-1		
200141030808	ダ	右	1400	曇	良	14:50	B2　B3　普通		2001-3-8	16	高崎	5																																								3611110927458	3,6,1,11,10,9,2,7,(4,5),8	3611110294578		
200141030809	ダ	右	1500	曇	良	15:25	マーチ特別 		2001-3-8	16	高崎	5																																								254912371611108	2,5,4,12,3,(9,1),6,7,11,10,8	254123196711108		
200141031101	ダ	右	1400	晴	良	11:20	3歳　普通		2001-3-11	17	高崎	2																																								3,6,4,10-2,8,1,7,5,9	3,(10,4),6,8,(1,7),2,9-5	34101682795		
200141031102	ダ	右	1400	晴	良	11:50	C4　普通		2001-3-11	17	高崎	2																																								1,12-9,5,8,6-4,3,2,7,11,10	1,12-9,(5,8),6,4,3,2,11,10,7	1-12,5,9,8,6,4,3,2,11,10,7		
200141031103	ダ	右	1400	晴	良	12:20	C3　C4　普通		2001-3-11	17	高崎	2																																								5114768910321	5,11,7,4,9,8,6,3,10,(2,1)	5117468932101		
200141031104	ダ	右	1400	晴	良	12:50	C3　普通		2001-3-11	17	高崎	2																																								1,11,3,8,6,7,5,12,9,4,10-2	1,11,8,3,7,6,(5,9,12,4),10-2	111386579412102		
200141031105	ダ	右	1500	晴	良	13:20	3歳　特別 		2001-3-11	17	高崎	2																																								2-10,6,7,11,8,3,5,4,9,1	2,10,6,7,3,11,5,8,4,9-1	2,10,6,7,3,11,8,5,4,9-1		
200141041501	ダ	右	1500	晴	良	11:20	A　B1　普通		2001-4-15	1	高崎	4																																								3,5,6,(2,4),7,1	3,5,2,4,(6,7),1	3524671		
200141041502	ダ	右	1400	晴	良	11:50	C4　C5　普通		2001-4-15	1	高崎	4																																								489126751011312	(4,9),12,5,7,8,6,3,10,11,2,1	941257863101211		
200141041503	ダ	右	1400	晴	良	12:20	3歳　普通		2001-4-15	1	高崎	4																																								6,9,7,1,2-4,8,3,5	6,1,9,7,2-4,3,5,8	169724358		
200141041504	ダ	右	1400	晴	良	12:50	C3　C4　普通		2001-4-15	1	高崎	4																																								10718952364	10,7-1,5,9,2,3,6,8,4	10,7-1,9,5,2,3,8,6,4		
200141041505	ダ	右	1400	晴	良	13:20	C2　C3　普通		2001-4-15	1	高崎	4																																								2,5,9,3,10,4,1,7-8,6	9,7,(2,10),5,(3,4),1-8-6	9,7,10,2,3,5,4,1,8-6		
200141041506	ダ	右	1400	晴	良	13:50	C1　C2　普通		2001-4-15	1	高崎	4																																								10,1,3,6,8-5,11,7,9,2,4	1083617592114	1083615792114		
200141041507	ダ	右	1400	晴	良	14:20	B3　普通		2001-4-15	1	高崎	4																																								11,12,9,8,5-2,1,10,7,3,6,4	111285912107634	111285193210764		
200141041508	ダ	右	1500	晴	良	14:50	桜草特別 		2001-4-15	1	高崎	4																																								2,1,4,9-6,10,3,5,7,8	2-1,9,4,10,3,7,6,5,8	2-1,9,4,10,3,6,7,5,8		
200141050501	ダ	右	1400	晴	稍重	11:00	3歳　普通		2001-5-5	2	高崎	3																																								658319742	6,(5,3),8,1,9,7,4,2	563819742		
